,tag,ct,cotag,cotag_u
0,1,218,380,38
1,2,44,66,19
2,3,116,130,41
3,4,22,24,11
4,5,304,390,57
5,6,21,34,13
6,7,18,32,21
7,8,154,292,34
8,9,15,23,7
9,10,60,95,29
10,11,509,515,37
11,12,10,18,8
12,13,48,84,36
13,14,16,23,9
14,15,20,37,17
15,16,20,37,15
16,17,4,8,6
17,18,284,383,46
18,19,11,20,10
19,20,28,35,14
20,21,16,26,14
21,22,5,11,7
22,23,358,272,36
23,24,510,780,58
24,25,23,30,13
25,26,13,29,8
26,27,18,26,14
27,28,9,12,9
28,29,180,219,26
29,30,7,9,6
30,31,65,122,38
31,32,20,31,15
32,33,6,9,5
33,34,9,12,11
34,35,47,43,19
35,36,6,16,13
36,37,36,49,24
37,38,2,4,4
38,39,10,19,14
39,40,25,33,18
40,41,25,51,23
41,42,5,5,5
42,43,117,166,40
43,44,210,227,34
44,45,79,103,29
45,46,108,148,22
46,47,6,14,8
47,48,32,55,25
48,49,55,88,26
49,50,112,170,31
50,51,36,49,21
51,52,43,77,22
52,53,11,20,13
53,54,2,3,3
54,55,3,5,5
55,56,74,101,25
56,57,8,10,8
57,58,2,1,1
58,59,15,28,12
59,60,14,24,12
60,61,13,20,10
61,62,10,13,10
62,63,15,31,11
63,64,5,13,11
64,65,56,108,25
65,66,22,36,8
66,67,27,30,21
67,68,7,9,8
68,69,33,31,7
69,70,4,6,5
70,71,7,12,10
71,72,3,6,6
72,73,10,10,5
73,74,3,2,2
74,75,12,16,8
75,76,3,6,5
76,77,5,10,4
77,78,2,6,6
78,79,2,4,3
79,80,2,4,4
80,81,2,4,4
81,82,1,2,2
82,83,1,2,2
83,84,1,2,2
