,tag,ct,cotag,cotag_u
0,1,47,88,43
1,2,1828,2646,191
2,3,226,432,92
3,4,27,80,39
4,5,126,203,77
5,6,4,11,9
6,7,4322,4926,204
7,8,2332,3101,200
8,9,581,906,128
9,10,919,1470,145
10,11,29,48,19
11,12,86,144,63
12,13,115,182,46
13,14,57,121,44
14,15,6,18,13
15,16,160,367,108
16,17,146,276,61
17,18,113,193,64
18,19,144,192,55
19,20,83,138,60
20,21,63,108,46
21,22,82,176,55
22,23,108,244,65
23,24,2011,2828,175
24,25,146,266,59
25,26,2226,3099,196
26,27,718,1338,135
27,28,112,146,51
28,29,178,288,74
29,30,1006,1801,159
30,31,300,490,88
31,32,36,77,31
32,33,228,337,73
33,34,91,129,31
34,35,68,98,41
35,36,112,217,62
36,37,14,33,22
37,38,8,22,15
38,39,89,190,48
39,40,68,127,52
40,41,4,8,7
41,42,94,197,61
42,43,161,289,68
43,44,890,1641,156
44,45,314,655,92
45,46,78,210,76
46,47,30,56,29
47,48,6,16,11
48,49,210,363,78
49,50,57,105,33
50,51,42,78,39
51,52,140,280,78
52,53,70,142,48
53,54,35,76,34
54,55,508,767,126
55,56,120,198,55
56,57,41,69,41
57,58,22,41,15
58,59,185,401,76
59,60,63,117,44
60,61,339,435,89
61,62,32,53,30
62,63,10,15,10
63,64,42,100,41
64,65,23,32,23
65,66,111,196,60
66,67,48,83,31
67,68,11,27,17
68,69,60,149,59
69,70,33,55,32
70,71,256,470,90
71,72,24,51,24
72,73,87,125,49
73,74,11,13,12
74,75,179,305,66
75,76,145,231,58
76,77,123,190,41
77,78,138,302,52
78,79,122,225,41
79,80,79,129,34
80,81,69,102,38
81,82,222,430,86
82,83,69,154,52
83,84,14,38,24
84,85,139,261,57
85,86,104,158,38
86,87,256,477,76
87,88,78,132,39
88,89,152,246,66
89,90,361,511,98
90,91,381,677,102
91,92,124,259,77
92,93,48,93,37
93,94,6,7,6
94,95,79,145,39
95,96,62,133,59
96,97,132,222,63
97,98,15,29,14
98,99,26,47,27
99,100,28,57,23
100,101,54,127,49
101,102,41,69,35
102,103,33,78,37
103,104,189,369,91
104,105,58,99,34
105,106,175,288,69
106,107,179,245,65
107,108,3,4,4
108,109,73,148,36
109,110,22,40,22
110,111,51,90,39
111,112,11,20,13
112,113,77,163,42
113,114,42,94,44
114,115,85,185,40
115,116,84,174,48
116,117,200,221,52
117,118,32,64,29
118,119,42,57,14
119,120,18,30,17
120,121,27,59,27
121,122,18,40,26
122,123,93,198,64
123,124,54,110,43
124,125,24,53,21
125,126,162,237,63
126,127,36,61,29
127,128,10,22,11
128,129,19,45,26
129,130,19,45,24
130,131,29,64,29
131,132,36,81,51
132,133,13,22,15
133,134,17,38,17
134,135,13,18,12
135,136,3,9,7
136,137,56,146,62
137,138,58,71,38
138,139,33,67,33
139,140,9,13,9
140,141,72,122,43
141,142,22,50,35
142,143,75,137,44
143,144,3,8,8
144,145,43,86,38
145,146,51,116,42
146,147,8,19,14
147,148,4,10,7
148,149,9,14,11
149,150,3,12,10
150,151,27,55,25
151,152,58,112,39
152,153,19,43,20
153,154,32,62,14
154,155,8,12,11
155,156,4,9,7
156,157,16,27,16
157,158,16,34,15
158,159,165,222,67
159,160,3,7,7
160,161,16,36,24
161,162,89,206,76
162,163,43,119,35
163,164,21,57,28
164,165,95,194,60
165,166,20,42,18
166,167,19,39,25
167,168,16,25,11
