,tag,ct,cotag,cotag_u
0,1,236,212,54
1,2,73,95,25
2,3,37,64,20
3,4,11,10,9
4,5,2,2,2
5,6,4,3,3
6,7,15,17,13
7,8,4,6,5
8,9,26,29,11
9,10,38,57,28
10,11,79,91,33
11,12,17,19,13
12,13,79,50,21
13,14,6,8,7
14,15,19,21,11
15,16,13,16,11
16,17,4,3,3
17,18,9,14,10
18,19,1,0,0
19,20,12,19,10
20,21,36,39,18
21,22,3,2,2
22,23,53,73,27
23,24,3,2,2
24,25,10,18,11
25,26,28,32,21
26,27,7,10,8
27,28,5,7,6
28,29,12,20,11
29,30,22,15,12
30,31,3,2,1
31,32,19,27,16
32,33,6,6,4
33,34,1,0,0
34,35,4,8,4
35,36,4,5,4
36,37,4,7,4
37,38,9,9,7
38,39,10,9,7
39,40,146,118,45
40,41,7,5,4
41,42,13,20,11
42,43,23,34,17
43,44,7,13,10
44,45,2,4,3
45,46,39,56,25
46,47,2,3,3
47,48,7,9,7
48,49,4,6,4
49,50,13,11,7
50,51,3,4,4
51,52,2,3,3
52,53,75,89,25
53,54,2,1,1
54,55,22,22,11
55,56,2,4,4
56,57,5,6,6
57,58,4,6,4
58,59,4,9,7
59,60,17,15,12
60,61,9,10,9
61,62,4,6,5
62,63,3,4,4
63,64,2,3,2
64,65,7,8,7
65,66,7,10,8
66,67,6,9,5
67,68,15,19,10
68,69,1,1,1
69,70,3,7,7
70,71,2,2,2
71,72,4,2,2
72,73,2,2,2
73,74,2,3,3
74,75,17,32,12
75,76,6,7,5
76,77,2,3,3
77,78,2,4,4
78,79,2,2,1
79,80,5,9,6
80,81,3,4,4
81,82,8,15,9
82,83,5,6,5
83,84,2,5,5
84,85,5,5,5
85,86,2,3,3
86,87,2,3,2
87,88,3,5,5
88,89,3,4,4
89,90,2,2,1
90,91,3,5,5
91,92,2,3,3
92,93,3,3,3
93,94,4,7,5
94,95,2,0,0
95,96,7,10,4
96,97,2,0,0
97,98,1,3,3
98,99,1,3,3
99,100,3,3,2
100,101,3,2,1
101,102,4,5,5
102,103,3,6,6
103,104,2,3,2
104,105,2,4,4
105,106,2,1,1
106,107,1,2,2
107,108,2,4,3
108,109,1,2,2
