,tag,ct,cotag,cotag_u
0,1,89,152,57
1,2,55,98,49
2,3,4,13,9
3,4,6,8,8
4,5,9,17,13
5,6,3,7,5
6,7,5,15,10
7,8,65,137,47
8,9,206,362,99
9,10,34,71,34
10,11,33,63,39
11,12,3,7,6
12,13,8,7,7
13,14,1,1,1
14,15,9,19,12
15,16,29,72,38
16,17,1,3,3
17,18,1,3,3
18,19,2,4,4
19,20,3,6,4
20,21,9,16,11
21,22,76,157,53
22,23,37,77,34
23,24,8,16,13
24,25,15,31,22
25,26,4,3,2
26,27,1,2,2
27,28,26,70,28
28,29,1,1,1
29,30,11,23,14
30,31,11,16,11
31,32,49,77,40
32,33,16,26,17
33,34,10,14,10
34,35,16,39,11
35,36,5,13,8
36,37,1,1,1
37,38,4,9,7
38,39,5,6,5
39,40,2,1,1
40,41,16,29,20
41,42,1,1,1
42,43,16,29,20
43,44,7,16,10
44,45,11,13,9
45,46,20,52,29
46,47,3,5,5
47,48,3,4,3
48,49,4,7,7
49,50,9,13,6
50,51,11,19,15
51,52,7,13,8
52,53,4,9,7
53,54,3,6,6
54,55,5,10,10
55,56,19,41,17
56,57,20,29,23
57,58,3,5,5
58,59,7,15,12
59,60,5,6,6
60,61,2,5,4
61,62,4,6,3
62,63,1,1,1
63,64,4,7,6
64,65,29,59,29
65,66,1,1,1
66,67,2,5,4
67,68,2,0,0
68,69,13,33,25
69,70,16,33,16
70,71,6,15,12
71,72,16,31,16
72,73,2,1,1
73,74,3,2,2
74,75,25,50,28
75,76,1,1,1
76,77,3,5,4
77,78,5,9,6
78,79,3,6,6
79,80,1,1,1
80,81,2,3,3
81,82,1,0,0
82,83,2,3,3
83,84,4,7,7
84,85,7,12,11
85,86,3,8,7
86,87,80,161,66
87,88,1,1,1
88,89,7,16,11
89,90,60,167,62
90,91,12,21,13
91,92,6,12,9
92,93,13,27,18
93,94,39,89,45
94,95,2,3,3
95,96,2,2,2
96,97,1,2,2
97,98,3,5,3
98,99,8,19,14
99,100,4,5,4
100,101,1,1,1
101,102,2,6,5
102,103,1,4,4
103,104,2,6,6
104,105,7,11,10
105,106,2,5,5
106,107,14,34,17
107,108,2,6,5
108,109,11,23,16
109,110,5,5,3
110,111,3,4,4
111,112,3,6,6
112,113,1,0,0
113,114,11,26,14
114,115,4,8,8
115,116,16,35,22
116,117,1,2,2
117,118,1,2,2
118,119,1,2,2
119,120,34,95,36
120,121,2,5,5
121,122,3,8,8
122,123,21,48,28
123,124,9,11,7
124,125,1,3,3
125,126,15,29,17
126,127,5,11,9
127,128,22,40,26
128,129,1,2,2
129,130,2,4,4
130,131,36,66,33
131,132,1,1,1
132,133,1,1,1
133,134,4,12,8
134,135,3,7,5
135,136,1,2,2
136,137,2,5,5
137,138,8,20,14
138,139,4,8,6
139,140,11,17,14
140,141,1,2,2
141,142,1,4,4
142,143,3,6,6
143,144,13,12,7
144,145,1,2,2
145,146,1,2,2
146,147,8,11,10
147,148,1,4,4
148,149,2,4,3
149,150,3,5,5
150,151,2,3,3
151,152,5,6,6
152,153,7,17,11
153,154,3,5,4
154,155,2,2,2
155,156,1,1,1
156,157,2,3,3
157,158,3,6,6
158,159,1,3,3
159,160,1,0,0
160,161,1,2,2
161,162,4,9,9
162,163,4,7,6
163,164,1,1,1
164,165,1,1,1
165,166,3,9,7
166,167,2,4,4
167,168,1,3,3
168,169,1,3,3
169,170,1,2,2
170,171,1,1,1
171,172,2,5,4
172,173,1,1,1
173,174,1,1,1
174,175,1,3,3
175,176,1,1,1
176,177,2,4,4
177,178,3,7,5
178,179,4,11,9
179,180,17,53,21
180,181,2,5,5
181,182,3,5,5
182,183,8,27,15
183,184,2,6,5
184,185,3,10,6
185,186,1,2,2
186,187,1,3,3
187,188,1,3,3
188,189,1,3,3
189,190,1,3,3
190,191,1,3,3
191,192,4,7,7
192,193,2,3,2
193,194,1,2,2
194,195,1,2,2
195,196,1,2,2
196,197,1,1,1
197,198,1,3,3
198,199,1,3,3
199,200,1,3,3
