,tag,ct,cotag,cotag_u
0,1,431,1060,197
1,2,108,241,79
2,3,391,875,157
3,4,35,79,41
4,5,10,27,17
5,6,85,194,71
6,7,40,97,51
7,8,8,16,12
8,9,33,78,44
9,10,11,25,16
10,11,3,7,7
11,12,5,10,10
12,13,63,180,64
13,14,89,158,53
14,15,8,24,18
15,16,225,387,115
16,17,39,91,44
17,18,62,134,64
18,19,60,143,68
19,20,60,174,59
20,21,19,48,30
21,22,8,24,17
22,23,11,19,11
23,24,14,35,19
24,25,27,49,22
25,26,75,198,82
26,27,74,165,75
27,28,11,19,14
28,29,17,46,24
29,30,17,44,28
30,31,35,75,43
31,32,39,78,41
32,33,18,49,32
33,34,14,37,15
34,35,10,29,23
35,36,66,175,55
36,37,6,14,7
37,38,24,62,14
38,39,47,115,30
39,40,120,324,93
40,41,44,110,43
41,42,56,144,66
42,43,45,130,47
43,44,13,34,21
44,45,19,41,21
45,46,8,20,15
46,47,16,31,17
47,48,27,37,25
48,49,21,39,28
49,50,158,372,114
50,51,30,63,32
51,52,10,21,14
52,53,27,60,34
53,54,21,43,28
54,55,17,45,30
55,56,213,482,127
56,57,6,12,11
57,58,30,85,47
58,59,7,19,13
59,60,52,110,49
60,61,188,313,91
61,62,13,33,23
62,63,17,29,19
63,64,17,38,27
64,65,3,8,5
65,66,4,14,8
66,67,13,25,18
67,68,20,44,18
68,69,56,127,66
69,70,9,25,18
70,71,116,252,55
71,72,3,10,9
72,73,110,180,48
73,74,12,24,18
74,75,60,153,67
75,76,45,115,51
76,77,2,8,6
77,78,4,13,10
78,79,4,13,10
79,80,89,234,79
80,81,50,134,54
81,82,105,209,60
82,83,52,144,52
83,84,13,33,17
84,85,26,53,22
85,86,12,12,7
86,87,11,30,20
87,88,33,67,32
88,89,15,34,12
89,90,20,44,25
90,91,19,52,26
91,92,19,53,27
92,93,18,55,28
93,94,16,42,23
94,95,12,28,14
95,96,5,13,7
96,97,3,6,6
97,98,1,1,1
98,99,6,16,12
99,100,6,11,8
100,101,23,56,35
101,102,7,17,12
102,103,206,345,106
103,104,4,10,8
104,105,12,26,19
105,106,14,37,15
106,107,41,89,43
107,108,18,51,33
108,109,17,49,25
109,110,103,263,99
110,111,9,21,16
111,112,27,65,33
112,113,18,45,29
113,114,5,16,11
114,115,12,39,21
115,116,4,7,7
116,117,1,3,3
117,118,16,35,29
118,119,10,29,15
119,120,27,81,37
120,121,16,34,25
121,122,1,1,1
122,123,4,11,7
123,124,2,5,3
124,125,25,60,38
125,126,23,53,39
126,127,30,82,40
127,128,2,3,3
128,129,17,59,23
129,130,7,13,11
130,131,12,33,21
131,132,20,55,23
132,133,17,34,21
133,134,10,24,15
134,135,23,77,31
135,136,13,37,27
136,137,2,6,4
137,138,66,118,40
138,139,7,21,16
139,140,25,60,42
140,141,2,4,4
141,142,6,14,12
142,143,3,8,7
143,144,3,6,6
144,145,6,12,10
145,146,5,13,9
146,147,5,10,9
147,148,4,14,10
148,149,25,69,39
149,150,12,27,17
150,151,22,53,37
151,152,27,65,33
152,153,3,10,5
153,154,20,50,28
154,155,7,19,14
155,156,10,32,19
156,157,2,4,4
157,158,28,65,33
158,159,43,85,46
159,160,18,41,32
160,161,7,14,11
161,162,26,69,33
162,163,23,48,25
163,164,11,24,18
164,165,8,15,13
165,166,7,19,12
166,167,58,96,33
167,168,3,5,4
168,169,3,8,7
169,170,3,8,7
170,171,11,23,15
171,172,44,108,51
172,173,8,24,13
173,174,2,8,6
174,175,9,19,16
175,176,4,14,9
176,177,7,17,11
177,178,17,30,20
178,179,4,7,6
179,180,11,32,18
180,181,14,42,20
181,182,3,5,5
182,183,16,37,25
183,184,9,27,20
184,185,9,17,11
185,186,5,8,6
186,187,4,10,8
187,188,11,29,21
188,189,4,10,8
189,190,1,3,3
190,191,5,16,12
191,192,3,9,9
192,193,11,33,16
193,194,7,21,18
194,195,7,15,12
195,196,7,14,10
196,197,8,21,16
197,198,3,9,6
198,199,1,2,2
199,200,2,4,3
200,201,6,9,7
201,202,10,22,15
202,203,16,46,25
203,204,3,5,4
204,205,6,13,6
205,206,5,19,13
206,207,1,3,3
207,208,14,40,23
208,209,3,7,6
209,210,17,38,27
210,211,2,8,8
211,212,17,45,18
212,213,8,16,10
213,214,15,34,17
214,215,2,6,5
215,216,2,6,5
216,217,6,19,16
217,218,9,24,12
218,219,2,6,5
219,220,3,9,8
220,221,3,8,6
221,222,2,4,3
222,223,9,17,8
223,224,5,7,6
224,225,5,12,10
225,226,8,21,15
226,227,9,28,17
227,228,4,7,6
228,229,2,6,5
229,230,5,13,10
230,231,4,11,7
231,232,11,32,20
232,233,3,6,4
233,234,3,4,4
234,235,4,4,4
235,236,2,5,4
236,237,6,11,7
237,238,8,16,10
238,239,9,24,11
239,240,3,8,6
240,241,3,8,5
241,242,2,3,3
242,243,13,35,24
243,244,3,8,8
244,245,3,8,6
245,246,11,30,24
246,247,3,6,5
247,248,4,7,6
248,249,1,3,3
249,250,11,32,26
250,251,2,5,4
251,252,3,12,9
252,253,4,7,5
253,254,2,5,5
254,255,4,7,4
255,256,28,71,15
256,257,2,5,5
257,258,2,7,4
258,259,2,7,4
259,260,2,4,4
260,261,1,3,3
261,262,3,6,4
262,263,2,3,3
263,264,4,4,4
264,265,2,3,3
265,266,2,3,3
266,267,5,13,12
267,268,5,5,4
268,269,2,6,6
269,270,3,6,5
270,271,2,3,3
271,272,1,3,3
272,273,2,5,4
273,274,2,6,6
274,275,3,6,6
275,276,3,7,6
276,277,1,3,3
277,278,1,2,2
278,279,1,1,1
279,280,1,2,2
280,281,2,6,6
281,282,1,2,2
282,283,1,0,0
283,284,3,6,6
284,285,1,2,2
285,286,1,2,2
286,287,1,3,3
287,288,1,2,2
288,289,1,2,2
289,290,1,3,3
290,291,1,3,3
291,292,1,3,3
