,tag,ct,cotag,cotag_u
0,1,452,700,84
1,2,34,40,21
2,3,180,235,51
3,4,43,45,15
4,5,167,300,72
5,6,39,72,45
6,7,14,19,13
7,8,176,230,65
8,9,78,152,35
9,10,58,100,33
10,11,29,51,26
11,12,34,60,34
12,13,207,291,46
13,14,129,222,37
14,15,31,51,17
15,16,39,92,35
16,17,4,11,8
17,18,293,504,84
18,19,84,110,42
19,20,91,162,49
20,21,49,98,35
21,22,17,38,18
22,23,11,19,17
23,24,92,165,49
24,25,10,17,8
25,26,44,73,31
26,27,13,22,14
27,28,9,18,12
28,29,51,64,22
29,30,76,118,29
30,31,7,12,9
31,32,31,61,27
32,33,195,257,53
33,34,26,46,18
34,35,12,26,12
35,36,29,41,19
36,37,58,74,20
37,38,58,64,17
38,39,11,20,13
39,40,10,17,16
40,41,8,13,11
41,42,38,58,33
42,43,49,70,33
43,44,26,48,24
44,45,54,82,31
45,46,25,37,19
46,47,7,11,5
47,48,15,15,9
48,49,18,24,11
49,50,7,12,9
50,51,57,103,30
51,52,44,82,20
52,53,37,50,30
53,54,57,71,26
54,55,39,57,28
55,56,20,29,14
56,57,10,15,10
57,58,4,6,5
58,59,7,9,9
59,60,21,46,22
60,61,14,14,10
61,62,82,163,56
62,63,8,11,7
63,64,23,25,14
64,65,12,22,14
65,66,8,14,12
66,67,3,2,2
67,68,8,13,8
68,69,69,128,47
69,70,15,30,14
70,71,52,94,43
71,72,7,8,7
72,73,29,40,17
73,74,14,25,11
74,75,3,1,1
75,76,1,1,1
76,77,2,2,1
77,78,9,9,4
78,79,6,6,5
79,80,14,37,22
80,81,1,2,2
81,82,4,5,3
82,83,2,0,0
83,84,7,13,12
84,85,26,45,21
85,86,4,8,7
86,87,26,39,23
87,88,17,24,16
88,89,22,36,25
89,90,27,45,19
90,91,11,23,14
91,92,7,12,10
92,93,30,40,22
93,94,18,40,17
94,95,15,25,15
95,96,19,27,16
96,97,3,2,2
97,98,8,9,9
98,99,1,1,1
99,100,28,22,17
100,101,1,1,1
101,102,8,6,4
102,103,5,7,5
103,104,1,2,2
104,105,5,11,11
105,106,2,4,4
106,107,1,1,1
107,108,4,5,3
108,109,34,48,20
109,110,26,42,29
110,111,4,3,3
111,112,6,7,7
112,113,13,21,17
113,114,7,10,10
114,115,5,6,6
115,116,6,8,7
116,117,9,12,11
117,118,4,7,7
118,119,2,3,3
119,120,7,11,9
120,121,6,8,6
121,122,2,3,2
122,123,1,1,1
123,124,1,2,2
124,125,2,5,4
125,126,1,3,3
126,127,2,4,3
127,128,4,7,6
128,129,3,4,3
129,130,4,2,2
130,131,4,10,9
131,132,1,1,1
132,133,1,2,2
133,134,1,3,3
