,tag,ct,cotag,cotag_u
0,1,35,63,34
1,2,59,120,40
2,3,7,13,10
3,4,97,143,56
4,5,30,62,32
5,6,15,24,11
6,7,43,84,35
7,8,138,221,66
8,9,178,316,83
9,10,101,203,64
10,11,15,34,14
11,12,4,12,6
12,13,6,12,8
13,14,17,29,13
14,15,111,190,54
15,16,59,91,50
16,17,18,29,23
17,18,108,155,56
18,19,64,114,37
19,20,30,65,29
20,21,35,80,39
21,22,98,176,51
22,23,11,18,10
23,24,21,41,27
24,25,9,12,11
25,26,45,72,40
26,27,58,83,36
27,28,65,132,51
28,29,7,10,8
29,30,5,8,8
30,31,3,3,3
31,32,36,73,34
32,33,13,32,14
33,34,19,34,25
34,35,27,55,36
35,36,81,162,48
36,37,29,75,31
37,38,19,42,18
38,39,22,50,24
39,40,114,185,68
40,41,46,98,45
41,42,10,29,21
42,43,6,9,9
43,44,3,6,5
44,45,53,109,40
45,46,25,50,30
46,47,7,14,13
47,48,39,99,33
48,49,5,11,10
49,50,7,14,14
50,51,20,48,30
51,52,42,67,36
52,53,5,10,9
53,54,10,8,8
54,55,7,15,14
55,56,47,85,44
56,57,3,2,2
57,58,43,86,35
58,59,4,7,3
59,60,30,55,28
60,61,8,13,9
61,62,11,18,10
62,63,4,8,5
63,64,1,2,2
64,65,25,58,34
65,66,8,15,13
66,67,4,9,7
67,68,7,11,9
68,69,94,171,49
69,70,67,129,43
70,71,19,35,23
71,72,4,5,5
72,73,76,129,53
73,74,3,5,5
74,75,7,15,14
75,76,13,23,17
76,77,6,9,6
77,78,3,7,7
78,79,4,9,9
79,80,3,6,5
80,81,22,30,15
81,82,5,12,9
82,83,9,12,6
83,84,31,44,29
84,85,6,5,5
85,86,3,3,2
86,87,34,68,34
87,88,8,19,19
88,89,8,15,9
89,90,12,22,8
90,91,3,4,4
91,92,2,2,2
92,93,3,6,6
93,94,16,32,18
94,95,10,15,10
95,96,3,8,7
96,97,15,26,19
97,98,7,15,11
98,99,12,18,13
99,100,7,9,7
100,101,18,21,16
101,102,6,8,5
102,103,25,48,22
103,104,20,46,28
104,105,2,5,4
105,106,3,7,6
106,107,3,1,1
107,108,2,3,3
108,109,7,13,9
109,110,2,5,4
110,111,2,5,4
111,112,7,14,9
112,113,3,4,4
113,114,4,3,3
114,115,2,3,3
115,116,4,7,6
116,117,3,9,8
117,118,3,2,2
118,119,5,11,7
119,120,67,153,43
120,121,2,1,1
121,122,7,3,3
122,123,11,13,10
123,124,5,8,4
124,125,3,7,3
125,126,20,39,20
126,127,4,5,4
127,128,2,5,4
128,129,2,0,0
129,130,4,9,3
130,131,4,8,7
131,132,5,18,10
132,133,11,24,10
133,134,5,11,8
134,135,6,15,13
135,136,6,8,7
136,137,6,8,5
137,138,5,8,6
138,139,3,7,4
139,140,1,0,0
140,141,3,6,3
141,142,11,22,17
142,143,7,9,6
143,144,2,6,4
144,145,2,6,4
145,146,5,8,5
146,147,2,6,4
147,148,2,5,3
148,149,2,5,4
149,150,3,5,4
150,151,4,9,7
151,152,6,12,8
152,153,6,13,7
153,154,4,6,3
154,155,12,21,15
155,156,3,7,4
156,157,1,1,1
157,158,2,3,3
158,159,2,3,2
159,160,1,1,1
160,161,8,12,4
161,162,2,4,4
162,163,1,1,1
163,164,1,1,1
164,165,1,3,3
165,166,1,3,3
166,167,1,2,2
167,168,1,1,1
168,169,3,4,4
169,170,1,2,2
170,171,1,3,3
171,172,1,2,2
172,173,1,2,2
173,174,1,0,0
