,tag,ct,cotag,cotag_u
0,1,17836,18363,468
1,2,2499,5870,634
2,3,1568,2962,332
3,4,72,187,78
4,5,7981,16162,834
5,6,1104,2667,346
6,7,438,1043,246
7,8,24016,33796,585
8,9,8922,17962,734
9,10,2350,5200,312
10,11,277,660,102
11,12,882,1575,340
12,13,76209,110145,1100
13,14,34628,46732,808
14,15,2557,4631,313
15,16,1435,2577,245
16,17,83504,145786,979
17,18,30655,37208,652
18,19,744,1320,175
19,20,29653,43620,823
20,21,5178,8930,753
21,22,4431,9063,749
22,23,667,899,153
23,24,33434,62236,895
24,25,2579,5457,338
25,26,1412,3166,282
26,27,642,1250,194
27,28,373,825,182
28,29,10972,20302,605
29,30,16179,24182,493
30,31,3000,4376,246
31,32,22527,38169,628
32,33,974,2098,417
33,34,1227,2011,226
34,35,1662,2900,271
35,36,898,1721,272
36,37,24089,49446,652
37,38,52047,91726,887
38,39,2315,4195,400
39,40,13167,29999,1250
40,41,7769,14521,690
41,42,8763,15957,653
42,43,3167,7250,398
43,44,4338,5280,399
44,45,148,251,88
45,46,380,681,171
46,47,84626,143182,950
47,48,747,1415,272
48,49,7902,15258,485
49,50,682,1300,199
50,51,26191,42467,807
51,52,2827,4705,369
52,53,11538,15519,606
53,54,717,1540,199
54,55,43690,82850,829
55,56,68,149,62
56,57,5536,7886,283
57,58,1819,3557,272
58,59,506,954,141
59,60,722,1708,271
60,61,345,736,159
61,62,677,1527,186
62,63,325,740,167
63,64,25526,53695,852
64,65,971,1600,225
65,66,452,989,128
66,67,1317,2374,267
67,68,15710,31882,593
68,69,3113,7063,618
69,70,39831,69066,830
70,71,489,1192,176
71,72,145,403,130
72,73,1952,4725,464
73,74,441,814,170
74,75,3039,5534,447
75,76,2694,5806,517
76,77,967,1901,254
77,78,1480,2503,234
78,79,12772,25278,482
79,80,29888,49182,734
80,81,1746,3281,180
81,82,7819,11151,471
82,83,123,297,62
83,84,19839,30563,723
84,85,1935,3757,484
85,86,319,618,132
86,87,2339,4661,286
87,88,2095,5526,366
88,89,1007,2013,210
89,90,13145,30164,613
90,91,18850,24287,588
91,92,443,785,129
92,93,113,236,63
93,94,31514,41286,740
94,95,7733,10748,664
95,96,3593,6319,358
96,97,647,1433,203
97,98,106,247,66
98,99,15935,29204,819
99,100,3746,7418,415
100,101,620,1462,198
101,102,3373,5632,285
102,103,1829,2963,285
103,104,2097,3705,295
104,105,2116,4341,433
105,106,3497,6546,481
106,107,566,1091,173
107,108,453,954,171
108,109,28,59,35
109,110,2163,3383,236
110,111,16501,24442,679
111,112,4376,8273,438
112,113,51,119,30
113,114,13,42,22
114,115,697,1907,265
115,116,175,305,73
116,117,9646,17525,420
117,118,407,810,129
118,119,361,795,94
119,120,1978,4431,311
120,121,159,377,59
121,122,91,242,40
122,123,833,1965,258
123,124,140,320,71
124,125,8725,19579,454
125,126,1259,2669,251
126,127,802,1778,348
127,128,1441,3074,281
128,129,2105,3136,299
129,130,2816,5813,319
130,131,11938,19202,518
131,132,33726,45198,783
132,133,463,816,82
133,134,548,890,132
134,135,69,139,55
135,136,62160,89200,817
136,137,1642,1955,223
137,138,5289,10300,445
138,139,4491,8454,503
139,140,127,250,96
140,141,18956,36009,712
141,142,3662,6469,359
142,143,1968,4109,280
143,144,3650,7588,518
144,145,14368,17884,624
145,146,343,636,94
146,147,27,50,16
147,148,2047,2792,291
148,149,3894,7837,416
149,150,12411,25249,731
150,151,1512,3064,250
151,152,475,1048,175
152,153,231,583,172
153,154,4490,8866,401
154,155,1283,2494,302
155,156,59,89,37
156,157,1727,3273,280
157,158,278,529,110
158,159,3851,6011,347
159,160,2661,3871,296
160,161,906,1932,247
161,162,1849,3754,288
162,163,6280,9963,496
163,164,562,1129,187
164,165,442,790,129
165,166,5597,11842,366
166,167,148,391,67
167,168,266,676,95
168,169,1519,2843,264
169,170,2929,5033,321
170,171,100,210,76
171,172,27503,33763,760
172,173,1078,2397,183
173,174,63,157,49
174,175,3657,6758,316
175,176,489,1035,232
176,177,4871,8962,460
177,178,3496,7112,343
178,179,3951,7137,288
179,180,2185,3968,291
180,181,187,398,144
181,182,648,1519,194
182,183,1064,2091,122
183,184,4473,8351,344
184,185,252,593,122
185,186,339,403,87
186,187,309,621,95
187,188,2152,3891,327
188,189,17978,32790,670
189,190,183,424,88
190,191,755,1329,275
191,192,3838,7225,489
192,193,5582,8792,430
193,194,20271,32514,803
194,195,750,1437,216
195,196,746,1016,164
196,197,549,1250,326
197,198,361,703,106
198,199,6597,12691,489
199,200,6389,9719,409
200,201,2247,3129,350
201,202,1013,1530,247
202,203,382,865,116
203,204,916,1679,178
204,205,8055,16222,423
205,206,1075,1831,240
206,207,372,801,133
207,208,319,774,79
208,209,40,97,39
209,210,1587,3013,197
210,211,4268,8729,364
211,212,5482,9741,548
212,213,4738,9354,505
213,214,326,518,81
214,215,17223,29288,709
215,216,4679,8960,299
216,217,1625,3619,291
217,218,379,781,87
218,219,1508,3109,260
219,220,29142,57649,776
220,221,6575,10360,400
221,222,447,1144,196
222,223,2770,6473,281
223,224,521,1141,143
224,225,8240,16622,528
225,226,103,166,46
226,227,205,478,103
227,228,2796,5702,443
228,229,187,433,85
229,230,4411,7794,360
230,231,1297,2348,309
231,232,271,544,116
232,233,65,167,61
233,234,147,318,71
234,235,117,312,87
235,236,1402,3198,164
236,237,327,656,117
237,238,10245,19052,610
238,239,500,838,122
239,240,1200,2735,241
240,241,257,630,104
241,242,346,699,162
242,243,481,971,270
243,244,58,75,43
244,245,3226,6709,363
245,246,228,428,104
246,247,26385,46883,645
247,248,1836,3870,332
248,249,280,506,58
249,250,293,600,116
250,251,857,1882,156
251,252,20768,35538,630
252,253,497,988,146
253,254,2412,3953,342
254,255,7747,17152,401
255,256,268,457,111
256,257,12826,22338,542
257,258,1115,1987,254
258,259,1280,2542,241
259,260,1823,3267,305
260,261,21197,35998,607
261,262,6512,14963,433
262,263,197,529,55
263,264,4913,10705,448
264,265,724,1444,201
265,266,3482,6301,361
266,267,332,756,114
267,268,1294,2588,185
268,269,4062,8834,436
269,270,622,1407,271
270,271,413,674,59
271,272,296,342,110
272,273,414,599,111
273,274,367,667,111
274,275,5188,9593,489
275,276,710,1252,212
276,277,23,32,11
277,278,77,191,51
278,279,547,1214,168
279,280,1183,2439,235
280,281,2955,6543,548
281,282,797,1468,221
282,283,108,247,71
283,284,161,363,78
284,285,1768,4148,336
285,286,2179,3654,207
286,287,502,1094,104
287,288,75,165,55
288,289,7742,13295,467
289,290,1420,3511,228
290,291,169,422,71
291,292,345,824,152
292,293,858,1808,220
293,294,482,1066,99
294,295,1344,3014,311
295,296,692,1563,184
296,297,4566,10376,316
297,298,146,410,167
298,299,455,793,201
299,300,3771,8552,334
300,301,45,106,56
301,302,2826,6731,272
302,303,424,932,133
303,304,148,238,60
304,305,1128,1887,127
305,306,111,233,67
306,307,2317,4551,368
307,308,429,1001,180
308,309,884,2309,135
309,310,216,392,69
310,311,2705,5363,250
311,312,237,536,88
312,313,29,59,34
313,314,240,614,82
314,315,45,105,25
315,316,1681,3478,368
316,317,360,847,90
317,318,1053,2104,284
318,319,12,29,8
319,320,369,943,97
320,321,2293,4616,301
321,322,78,142,46
322,323,3158,6735,251
323,324,1427,2742,244
324,325,48,107,50
325,326,3150,4966,176
326,327,737,1603,214
327,328,231,432,115
328,329,251,586,80
329,330,4065,8706,377
330,331,1073,2456,411
331,332,772,1369,165
332,333,503,981,106
333,334,399,867,110
334,335,478,977,148
335,336,97,240,45
336,337,1145,2571,174
337,338,3287,6464,234
338,339,5014,9964,435
339,340,971,2139,227
340,341,1162,1879,138
341,342,966,1798,173
342,343,838,1673,240
343,344,609,1290,174
344,345,4027,8815,376
345,346,145,251,31
346,347,124,278,83
347,348,64,118,59
348,349,9058,15660,506
349,350,422,1050,100
350,351,421,981,201
351,352,208,470,101
352,353,488,1202,119
353,354,48,102,37
354,355,468,977,164
355,356,180,411,79
356,357,149,266,54
