,tag,ct,cotag,cotag_u
0,1,30,55,24
1,2,35,83,36
2,3,24,55,26
3,4,230,415,86
4,5,103,184,52
5,6,94,220,72
6,7,53,100,39
7,8,52,92,44
8,9,57,144,44
9,10,499,1057,137
10,11,89,170,53
11,12,120,222,70
12,13,12,26,10
13,14,285,563,126
14,15,6,14,10
15,16,23,40,18
16,17,7,15,15
17,18,67,117,44
18,19,50,106,46
19,20,86,202,55
20,21,107,198,63
21,22,8,11,8
22,23,27,61,28
23,24,7,7,6
24,25,181,391,115
25,26,93,177,66
26,27,11,24,16
27,28,97,194,65
28,29,38,64,33
29,30,74,161,57
30,31,8,20,15
31,32,8,7,7
32,33,4,9,6
33,34,4,6,6
34,35,36,67,32
35,36,4,8,7
36,37,34,64,31
37,38,48,99,46
38,39,13,31,19
39,40,42,60,26
40,41,343,666,133
41,42,7,15,10
42,43,93,171,56
43,44,15,27,15
44,45,14,27,17
45,46,33,41,20
46,47,10,23,16
47,48,18,30,14
48,49,24,54,34
49,50,43,93,39
50,51,10,16,11
51,52,4,7,5
52,53,39,67,33
53,54,7,15,7
54,55,31,59,28
55,56,145,255,70
56,57,29,46,20
57,58,36,91,43
58,59,7,20,14
59,60,24,53,25
60,61,29,71,36
61,62,14,30,21
62,63,9,17,13
63,64,3,6,4
64,65,20,45,29
65,66,35,67,24
66,67,56,133,57
67,68,3,6,5
68,69,2,2,2
69,70,27,71,34
70,71,7,12,10
71,72,10,14,8
72,73,7,15,8
73,74,25,43,22
74,75,9,20,11
75,76,16,26,17
76,77,3,5,5
77,78,3,7,5
78,79,2,5,4
79,80,27,47,31
80,81,4,8,7
81,82,55,103,31
82,83,2,5,5
83,84,6,14,10
84,85,23,59,42
85,86,2,5,4
86,87,43,68,32
87,88,16,30,19
88,89,7,13,11
89,90,5,10,8
90,91,3,10,9
91,92,11,23,14
92,93,7,15,13
93,94,3,6,6
94,95,8,20,14
95,96,18,40,25
96,97,35,59,31
97,98,3,4,4
98,99,14,25,14
99,100,61,112,55
100,101,7,16,10
101,102,10,20,13
102,103,4,4,4
103,104,43,63,32
104,105,2,3,3
105,106,6,12,8
106,107,12,25,16
107,108,22,40,20
108,109,3,7,7
109,110,74,123,61
110,111,19,49,27
111,112,15,30,17
112,113,7,13,12
113,114,3,3,3
114,115,12,21,16
115,116,4,13,10
116,117,3,6,5
117,118,4,11,9
118,119,20,42,27
119,120,3,7,7
120,121,21,34,23
121,122,17,38,23
122,123,8,23,16
123,124,13,25,18
124,125,12,26,19
125,126,8,9,9
126,127,4,12,8
127,128,13,28,19
128,129,2,3,2
129,130,6,11,7
130,131,7,16,12
131,132,4,10,10
132,133,20,40,21
133,134,14,29,18
134,135,12,19,14
135,136,10,16,12
136,137,7,15,11
137,138,8,18,14
138,139,2,7,6
139,140,2,0,0
140,141,8,11,9
141,142,11,22,15
142,143,1,1,1
143,144,1,2,2
144,145,5,9,9
145,146,11,17,14
146,147,27,57,27
147,148,4,6,3
148,149,14,32,22
149,150,24,58,28
150,151,9,25,17
151,152,5,10,8
152,153,12,29,19
153,154,15,23,13
154,155,20,40,20
155,156,5,7,7
156,157,5,12,12
157,158,20,28,20
158,159,5,8,6
159,160,7,12,9
160,161,8,16,11
161,162,3,10,9
162,163,15,29,24
163,164,4,9,5
164,165,3,11,8
165,166,1,2,2
166,167,3,4,4
167,168,3,5,5
168,169,3,7,6
169,170,5,10,7
170,171,15,28,18
171,172,3,6,4
172,173,3,7,7
173,174,6,10,8
174,175,3,8,6
175,176,4,9,8
176,177,56,121,51
177,178,1,2,2
178,179,8,15,14
179,180,2,5,5
180,181,3,6,5
181,182,4,4,4
182,183,2,4,4
183,184,4,5,5
184,185,1,2,2
185,186,2,4,3
186,187,1,2,2
187,188,5,7,7
188,189,9,10,8
189,190,4,8,7
190,191,10,23,16
191,192,9,18,15
192,193,2,5,5
193,194,3,4,3
194,195,3,4,3
195,196,2,3,3
196,197,2,3,3
197,198,3,6,6
198,199,2,1,1
199,200,1,2,2
200,201,1,3,3
201,202,1,1,1
202,203,1,1,1
203,204,1,1,1
204,205,1,4,4
205,206,1,3,3
206,207,1,2,2
207,208,1,2,2
