,tag,ct,cotag,cotag_u
0,1,14015,26136,811
1,2,5443,11446,565
2,3,2088,4113,370
3,4,3844,7175,465
4,5,6228,12645,605
5,6,5280,9473,535
6,7,1782,4315,403
7,8,1330,2995,335
8,9,4325,9216,561
9,10,3510,6209,483
10,11,414,972,255
11,12,352,783,176
12,13,211,543,132
13,14,7,20,17
14,15,10084,19082,655
15,16,18,43,34
16,17,21,45,21
17,18,448,1170,287
18,19,1870,3841,413
19,20,3537,7518,539
20,21,350,860,131
21,22,35,46,18
22,23,577,1367,212
23,24,86,226,92
24,25,22,47,29
25,26,1542,3214,416
26,27,197,325,73
27,28,191,549,101
28,29,33,81,45
29,30,40,92,42
30,31,941,2048,196
31,32,30,63,33
32,33,41,97,29
33,34,129,298,70
34,35,648,1384,181
35,36,3055,6370,315
36,37,68,136,63
37,38,8,14,9
38,39,7,10,4
39,40,2006,4733,385
40,41,334,753,173
41,42,104,260,95
42,43,545,1152,284
43,44,116,302,81
44,45,87,244,69
45,46,347,839,128
46,47,76,205,50
47,48,583,1487,212
48,49,366,902,129
49,50,116,301,82
50,51,223,553,158
51,52,367,991,190
52,53,221,548,171
53,54,79,221,54
54,55,308,743,149
55,56,20,48,23
56,57,59,145,54
57,58,173,448,126
58,59,47,123,64
59,60,1339,2922,263
60,61,710,1877,295
61,62,5456,11545,551
62,63,198,532,117
63,64,166,387,106
64,65,359,837,162
65,66,10,17,12
66,67,447,1070,93
67,68,1554,3449,300
68,69,4,7,6
69,70,17,47,34
70,71,142,325,105
71,72,5249,11307,494
72,73,1280,2861,240
73,74,85,206,84
74,75,1484,3138,358
75,76,108,218,64
76,77,2695,4560,379
77,78,40,85,41
78,79,257,644,135
79,80,53,150,58
80,81,65,160,48
81,82,1720,4066,311
82,83,49,111,50
83,84,135,390,52
84,85,346,816,115
85,86,1455,3566,230
86,87,31,76,45
87,88,208,515,127
88,89,315,827,199
89,90,597,1606,218
90,91,647,1643,197
91,92,121,287,81
92,93,378,902,135
93,94,42,106,34
94,95,15,28,12
95,96,9,29,18
96,97,601,1156,190
97,98,70,224,66
98,99,3,7,6
99,100,16,40,12
100,101,197,497,117
101,102,1823,4343,344
102,103,921,2125,255
103,104,260,727,98
104,105,132,297,67
105,106,290,706,126
106,107,135,373,90
107,108,22,59,27
108,109,9,23,15
109,110,897,2368,342
110,111,3152,6053,279
111,112,411,889,146
112,113,889,2039,225
113,114,17,39,21
114,115,1180,2347,248
115,116,520,1209,144
116,117,959,1928,319
117,118,28,78,29
118,119,162,380,107
119,120,51,137,39
120,121,2307,5000,267
121,122,1639,3766,305
122,123,577,1506,197
123,124,157,445,113
124,125,290,788,116
125,126,51,126,58
126,127,88,165,67
127,128,105,223,73
128,129,347,841,150
129,130,127,207,47
130,131,695,1621,272
131,132,1318,3346,409
132,133,146,416,93
133,134,14,36,21
134,135,8867,21734,1093
135,136,310,686,147
136,137,45,122,70
137,138,608,1419,202
138,139,420,1100,171
139,140,209,503,97
140,141,77,155,56
141,142,1000,2130,294
142,143,448,1105,196
143,144,118,291,80
144,145,37,109,34
145,146,58,140,69
146,147,206,539,131
147,148,10,29,25
148,149,9,14,10
149,150,3,8,8
150,151,454,1076,210
151,152,200,483,92
152,153,189,458,114
153,154,35,93,52
154,155,54,141,64
155,156,7,26,18
156,157,890,1955,234
157,158,87,192,48
158,159,139,202,37
159,160,2350,5272,411
160,161,316,782,112
161,162,31,84,32
162,163,3318,6107,412
163,164,78,210,49
164,165,44,114,63
165,166,73,194,76
166,167,444,1089,212
167,168,2234,4899,394
168,169,161,412,107
169,170,524,1207,189
170,171,194,484,118
171,172,49,147,53
172,173,1469,3079,356
173,174,73,185,56
174,175,14,31,17
175,176,79,205,75
176,177,280,738,240
177,178,377,735,220
178,179,127,273,58
179,180,324,694,98
180,181,8,22,20
181,182,4,11,8
182,183,141,333,109
183,184,22,38,14
184,185,476,1096,143
185,186,1069,2753,255
186,187,111,287,64
187,188,17,43,13
188,189,8,26,21
189,190,72,172,77
190,191,68,177,54
191,192,217,447,133
192,193,1169,2440,193
193,194,106,255,43
194,195,1049,2411,312
195,196,11,32,18
196,197,48,133,31
197,198,24,48,31
198,199,199,380,139
199,200,848,2054,251
200,201,299,789,217
201,202,390,806,180
202,203,64,122,60
203,204,2606,5661,395
204,205,19,37,15
205,206,127,288,130
206,207,1441,3103,275
207,208,223,565,85
208,209,380,1000,103
209,210,590,1431,188
210,211,543,1281,181
211,212,246,646,183
212,213,98,249,61
213,214,50,120,32
214,215,105,258,117
215,216,141,313,95
216,217,37,86,42
217,218,5018,9842,477
218,219,28,87,22
219,220,32,76,41
220,221,64,142,56
221,222,289,731,190
222,223,118,298,97
223,224,34,92,24
