,tag,ct,cotag,cotag_u
0,1,8,10,9
1,2,76,116,37
2,3,68,76,35
3,4,26,45,30
4,5,2,2,2
5,6,8,9,8
6,7,4,4,3
7,8,39,59,23
8,9,36,56,19
9,10,80,131,43
10,11,7,6,6
11,12,3,5,3
12,13,33,57,24
13,14,42,72,31
14,15,31,51,23
15,16,8,14,11
16,17,4,4,4
17,18,20,36,17
18,19,17,31,16
19,20,9,24,18
20,21,1,1,1
21,22,2,2,1
22,23,11,11,10
23,24,46,82,32
24,25,41,92,38
25,26,17,22,15
26,27,2,1,1
27,28,4,7,7
28,29,5,9,7
29,30,11,15,11
30,31,29,66,25
31,32,8,22,15
32,33,25,60,26
33,34,9,16,12
34,35,7,17,10
35,36,15,30,15
36,37,8,9,8
37,38,9,20,11
38,39,14,27,17
39,40,3,3,3
40,41,5,7,3
41,42,4,2,2
42,43,5,11,8
43,44,24,38,20
44,45,7,15,13
45,46,2,5,5
46,47,3,3,3
47,48,6,5,5
48,49,7,17,10
49,50,5,6,6
50,51,26,51,33
51,52,8,15,12
52,53,5,9,8
53,54,8,15,11
54,55,2,2,2
55,56,5,8,7
56,57,5,7,6
57,58,22,47,25
58,59,5,9,7
59,60,3,4,3
60,61,29,39,23
61,62,3,8,8
62,63,8,18,13
63,64,17,21,15
64,65,2,3,3
65,66,12,27,13
66,67,3,9,6
67,68,1,0,0
68,69,4,7,7
69,70,3,4,3
70,71,2,5,3
71,72,7,9,8
