,tag,ct,cotag,cotag_u
0,1,16,36,23
1,2,124,276,111
2,3,6,7,6
3,4,102,188,70
4,5,25,24,18
5,6,33,71,37
6,7,11,14,13
7,8,1,1,1
8,9,14,31,17
9,10,26,50,30
10,11,62,122,51
11,12,12,32,15
12,13,10,14,10
13,14,79,135,44
14,15,5,10,6
15,16,15,21,9
16,17,97,189,70
17,18,32,71,27
18,19,47,101,29
19,20,34,78,23
20,21,21,55,24
21,22,122,273,89
22,23,6,10,9
23,24,2,6,6
24,25,58,146,50
25,26,27,57,27
26,27,12,23,19
27,28,2,6,5
28,29,76,140,69
29,30,1,2,2
30,31,51,83,36
31,32,1,2,2
32,33,23,44,33
33,34,33,61,33
34,35,4,8,8
35,36,1,1,1
36,37,6,6,6
37,38,9,10,6
38,39,5,8,6
39,40,53,117,48
40,41,15,27,19
41,42,41,91,23
42,43,99,186,38
43,44,139,264,58
44,45,10,25,13
45,46,72,124,44
46,47,3,7,7
47,48,1,1,1
48,49,4,4,4
49,50,3,6,6
50,51,24,53,32
51,52,5,4,4
52,53,55,117,47
53,54,6,12,7
54,55,47,81,35
55,56,21,57,24
56,57,28,48,25
57,58,3,4,4
58,59,28,63,30
59,60,3,6,3
60,61,5,6,6
61,62,404,683,141
62,63,80,138,60
63,64,133,216,43
64,65,3,3,2
65,66,7,13,9
66,67,1,2,2
67,68,6,12,8
68,69,87,157,65
69,70,7,8,7
70,71,4,5,4
71,72,39,79,44
72,73,12,34,23
73,74,4,4,4
74,75,21,20,15
75,76,1,2,2
76,77,2,5,5
77,78,13,22,14
78,79,6,11,5
79,80,1,1,1
80,81,14,37,17
81,82,2,3,3
82,83,6,9,9
83,84,28,65,36
84,85,4,8,7
85,86,57,72,36
86,87,38,52,21
87,88,2,5,5
88,89,7,12,10
89,90,7,8,7
90,91,2,2,1
91,92,17,29,13
92,93,6,18,14
93,94,6,9,8
94,95,7,15,10
95,96,2,4,3
96,97,11,20,7
97,98,20,34,18
98,99,9,11,10
99,100,13,20,16
100,101,9,13,12
101,102,23,50,21
102,103,22,31,16
103,104,7,13,6
104,105,36,55,38
105,106,400,724,138
106,107,63,101,53
107,108,17,38,26
108,109,1,1,1
109,110,31,63,31
110,111,12,17,13
111,112,63,109,59
112,113,3,4,2
113,114,60,123,45
114,115,3,10,7
115,116,1,3,3
116,117,2,6,6
117,118,1,3,3
118,119,20,29,22
119,120,5,10,9
120,121,9,13,12
121,122,16,36,21
122,123,8,22,11
123,124,61,93,44
124,125,58,98,52
125,126,168,301,93
126,127,2,8,8
127,128,17,38,25
128,129,5,15,11
129,130,9,11,10
130,131,41,74,50
131,132,2,3,3
132,133,1,3,3
133,134,11,23,16
134,135,3,9,8
135,136,12,20,12
136,137,6,16,12
137,138,13,21,12
