,tag,ct,cotag,cotag_u
0,1,31,48,36
1,2,41,47,28
2,3,1,0,0
3,4,13,25,15
4,5,44,66,45
5,6,3,5,5
6,7,129,139,62
7,8,11,7,4
8,9,4,0,0
9,10,1,1,1
10,11,135,177,52
11,12,112,192,66
12,13,106,122,45
13,14,11,13,12
14,15,9,9,7
15,16,3,6,6
16,17,19,27,23
17,18,8,8,7
18,19,4,5,4
19,20,32,56,25
20,21,41,65,30
21,22,76,103,43
22,23,61,70,40
23,24,72,82,30
24,25,8,15,11
25,26,4,5,4
26,27,7,7,7
27,28,2,3,3
28,29,3,3,3
29,30,28,44,24
30,31,17,19,15
31,32,11,18,13
32,33,44,46,25
33,34,11,16,8
34,35,6,3,3
35,36,6,9,9
36,37,2,1,1
37,38,15,31,23
38,39,11,18,14
39,40,196,224,76
40,41,3,2,2
41,42,16,31,19
42,43,19,25,14
43,44,103,149,46
44,45,18,23,18
45,46,18,25,18
46,47,22,32,20
47,48,5,2,2
48,49,3,5,5
49,50,9,14,12
50,51,5,12,10
51,52,59,74,35
52,53,19,24,14
53,54,139,160,40
54,55,70,84,33
55,56,11,19,14
56,57,2,3,3
57,58,27,33,22
58,59,8,11,10
59,60,1,1,1
60,61,10,15,13
61,62,3,3,2
62,63,4,4,3
63,64,4,5,5
64,65,4,5,2
65,66,9,13,10
66,67,3,5,5
67,68,6,7,7
68,69,1,1,1
69,70,13,25,12
70,71,6,13,7
71,72,1,2,2
72,73,61,100,42
73,74,5,13,9
74,75,5,17,10
75,76,6,17,9
76,77,8,12,11
77,78,1,2,2
78,79,12,21,16
79,80,1,1,1
80,81,2,6,6
81,82,3,3,3
82,83,1,0,0
83,84,9,14,14
84,85,3,3,3
85,86,2,3,3
86,87,2,4,4
87,88,1,1,1
88,89,9,13,9
89,90,31,40,21
90,91,1,2,2
91,92,4,4,4
92,93,6,8,8
93,94,26,29,22
94,95,1,4,4
95,96,1,4,4
96,97,1,4,4
97,98,1,4,4
98,99,1,1,1
99,100,37,54,22
100,101,1,1,1
101,102,7,7,7
102,103,11,19,15
103,104,9,15,10
104,105,3,7,5
105,106,2,6,4
106,107,1,3,3
107,108,1,1,1
108,109,1,2,2
109,110,3,2,2
110,111,11,23,14
111,112,7,9,7
112,113,11,16,10
113,114,8,13,11
114,115,11,21,17
115,116,2,2,2
116,117,24,41,28
117,118,629,525,76
118,119,2,2,2
119,120,5,7,7
120,121,11,20,15
121,122,71,84,30
122,123,2,4,4
123,124,42,62,23
124,125,8,8,5
125,126,35,51,28
126,127,12,23,15
127,128,1,0,0
128,129,49,71,26
129,130,6,8,6
130,131,1,0,0
131,132,4,8,6
132,133,7,7,5
133,134,10,9,4
134,135,20,31,18
135,136,2,5,3
136,137,2,2,2
137,138,2,3,3
138,139,16,28,16
139,140,1,1,1
140,141,1,1,1
141,142,1,3,3
142,143,2,2,2
143,144,1,1,1
144,145,38,64,19
145,146,1,3,3
146,147,16,20,15
147,148,7,14,8
148,149,9,16,15
149,150,1,2,2
150,151,3,5,4
151,152,12,14,10
152,153,2,3,2
153,154,3,4,3
154,155,31,43,25
155,156,3,3,3
156,157,4,11,7
157,158,1,3,3
158,159,71,92,19
159,160,15,25,17
160,161,17,21,14
161,162,2,4,3
162,163,15,30,17
163,164,4,6,5
164,165,4,3,3
165,166,2,2,2
166,167,7,11,7
167,168,3,2,2
168,169,1,1,1
169,170,3,2,2
170,171,6,6,6
171,172,6,7,5
172,173,20,16,11
173,174,6,7,6
174,175,14,18,13
175,176,18,28,14
176,177,4,3,3
177,178,5,5,4
178,179,3,2,2
179,180,4,2,1
180,181,2,3,3
181,182,1,2,2
182,183,4,4,3
183,184,9,17,10
184,185,2,2,1
185,186,7,11,7
186,187,6,9,9
187,188,1,1,1
188,189,1,1,1
189,190,19,28,18
190,191,2,4,4
191,192,3,5,5
192,193,1,0,0
193,194,1,1,1
194,195,9,16,13
195,196,1,0,0
196,197,3,3,3
197,198,1,1,1
198,199,5,5,4
199,200,7,13,7
200,201,1,3,3
201,202,1,3,3
202,203,1,3,3
203,204,3,2,2
204,205,1,1,1
205,206,5,5,5
206,207,3,4,4
207,208,3,8,8
208,209,2,3,3
209,210,3,0,0
210,211,6,9,8
211,212,3,7,5
212,213,2,5,4
213,214,2,5,5
214,215,1,2,2
215,216,1,3,3
216,217,1,3,3
217,218,1,2,2
218,219,1,2,2
219,220,2,4,3
220,221,1,0,0
221,222,1,1,1
222,223,1,2,2
223,224,1,2,2
224,225,1,2,2
225,226,1,2,2
226,227,1,3,3
227,228,1,2,2
228,229,2,2,2
229,230,1,1,1
230,231,1,1,1
231,232,1,1,1
232,233,1,1,1
