,tag,ct,cotag,cotag_u
0,1,438,641,134
1,2,13,26,21
2,3,9,18,17
3,4,154,222,74
4,5,108,204,83
5,6,1,2,2
6,7,110,170,61
7,8,14,35,23
8,9,1,3,3
9,10,1,3,3
10,11,12,24,10
11,12,15,22,8
12,13,4,5,5
13,14,35,58,25
14,15,3,8,7
15,16,14,13,8
16,17,16,26,20
17,18,2,1,1
18,19,15,29,20
19,20,2,5,5
20,21,24,47,22
21,22,15,19,8
22,23,10,21,12
23,24,8,17,13
24,25,4,13,9
25,26,46,53,30
26,27,3,3,3
27,28,26,38,25
28,29,2,1,1
29,30,2,3,3
30,31,6,8,3
31,32,8,19,11
32,33,4,9,8
33,34,62,123,47
34,35,14,24,15
35,36,8,20,15
36,37,57,100,52
37,38,20,34,21
38,39,31,58,31
39,40,15,34,27
40,41,8,17,12
41,42,6,12,8
42,43,13,18,13
43,44,32,67,30
44,45,4,6,3
45,46,3,6,3
46,47,7,13,8
47,48,5,12,10
48,49,3,6,6
49,50,13,20,14
50,51,1,1,1
51,52,28,53,21
52,53,12,25,13
53,54,8,19,9
54,55,42,73,43
55,56,4,5,5
56,57,1,2,2
57,58,13,17,12
58,59,3,6,4
59,60,2,6,6
60,61,22,42,25
61,62,21,43,23
62,63,24,25,12
63,64,4,8,7
64,65,10,27,16
65,66,13,16,3
66,67,6,12,8
67,68,41,77,36
68,69,1,0,0
69,70,9,18,8
70,71,9,16,3
71,72,15,31,17
72,73,5,11,6
73,74,10,20,8
74,75,20,33,14
75,76,19,40,26
76,77,9,18,14
77,78,1,2,2
78,79,6,12,6
79,80,20,39,18
80,81,7,12,7
81,82,8,12,9
82,83,8,12,4
83,84,21,40,13
84,85,21,46,13
85,86,4,8,5
86,87,3,9,6
87,88,6,10,8
88,89,2,4,3
89,90,2,2,2
90,91,9,12,4
91,92,16,32,15
92,93,2,3,2
93,94,118,188,83
94,95,14,22,14
95,96,4,6,6
96,97,5,9,6
97,98,1,2,2
98,99,2,3,2
99,100,2,3,2
100,101,3,5,5
101,102,1,3,3
102,103,1,3,3
103,104,17,32,20
104,105,2,3,2
105,106,2,3,2
106,107,8,13,10
107,108,24,49,18
108,109,9,14,9
109,110,20,46,15
110,111,5,15,11
111,112,10,14,10
112,113,13,24,19
113,114,2,5,3
114,115,1,1,1
115,116,3,5,3
116,117,2,5,3
117,118,3,7,4
118,119,1,2,2
119,120,9,9,8
120,121,4,5,2
121,122,11,19,8
122,123,8,24,16
123,124,7,14,5
124,125,9,20,16
125,126,6,10,9
126,127,3,4,4
127,128,8,13,6
128,129,3,4,2
129,130,10,16,5
130,131,6,12,3
131,132,2,2,2
132,133,1,2,2
133,134,1,2,2
134,135,2,6,4
135,136,3,7,5
136,137,1,1,1
137,138,1,1,1
138,139,3,3,1
139,140,1,1,1
140,141,16,40,11
141,142,8,18,14
142,143,3,7,4
143,144,7,15,10
144,145,2,4,3
145,146,1,3,3
146,147,1,3,3
147,148,2,5,3
148,149,4,1,1
149,150,1,0,0
150,151,3,6,5
151,152,3,5,5
152,153,2,3,3
153,154,8,15,7
154,155,1,3,3
155,156,3,3,1
156,157,11,21,14
157,158,5,10,8
158,159,6,14,10
159,160,1,0,0
160,161,4,8,5
161,162,2,3,2
162,163,3,5,3
163,164,4,6,4
164,165,6,15,5
165,166,2,4,4
166,167,7,13,8
167,168,7,8,2
168,169,4,7,5
169,170,3,4,2
170,171,3,2,2
171,172,11,27,15
172,173,1,3,3
173,174,2,0,0
174,175,8,17,9
175,176,3,2,2
176,177,2,2,1
177,178,1,2,2
178,179,7,11,9
179,180,7,14,8
180,181,6,10,7
181,182,4,8,3
182,183,6,12,10
183,184,3,6,4
184,185,4,8,8
185,186,1,1,1
186,187,3,5,4
187,188,12,21,15
188,189,16,27,18
189,190,2,2,1
190,191,8,11,5
191,192,4,11,11
192,193,4,8,8
193,194,4,8,6
194,195,3,6,4
195,196,3,8,7
196,197,4,11,11
197,198,3,4,4
198,199,7,11,7
199,200,3,3,1
200,201,4,6,5
201,202,15,14,11
202,203,19,41,13
203,204,2,3,3
204,205,2,6,5
205,206,3,3,3
206,207,11,20,6
207,208,5,18,7
208,209,5,18,7
209,210,5,18,7
210,211,2,5,3
211,212,4,9,5
212,213,4,10,6
213,214,3,6,6
214,215,4,3,3
215,216,3,6,5
216,217,3,6,4
217,218,1,2,2
218,219,2,4,4
219,220,3,10,6
220,221,3,3,1
221,222,3,7,7
222,223,4,3,2
223,224,2,3,3
224,225,2,3,3
225,226,2,6,5
226,227,2,5,4
227,228,4,9,8
228,229,2,4,4
229,230,3,3,1
230,231,3,3,1
231,232,3,4,2
232,233,2,4,3
233,234,3,2,2
234,235,2,2,1
235,236,2,2,2
236,237,2,5,4
237,238,1,1,1
238,239,1,4,4
239,240,1,2,2
240,241,2,1,1
241,242,1,1,1
242,243,5,8,7
243,244,6,13,11
244,245,1,1,1
245,246,3,5,4
246,247,2,7,7
247,248,1,4,4
248,249,3,5,3
249,250,2,5,5
250,251,5,15,11
251,252,1,3,3
252,253,1,2,2
253,254,1,3,3
254,255,1,3,3
255,256,1,1,1
256,257,4,5,5
257,258,1,1,1
258,259,2,5,4
259,260,5,12,7
260,261,1,2,2
261,262,1,3,3
262,263,4,7,4
263,264,1,1,1
264,265,2,3,2
265,266,1,2,2
266,267,1,4,4
267,268,1,4,4
268,269,2,3,2
269,270,1,2,2
