,tag,ct,cotag,cotag_u
0,1,2387,3910,248
1,2,416,938,130
2,3,157,377,93
3,4,118,245,83
4,5,45,87,26
5,6,77,181,57
6,7,29,72,32
7,8,54,108,52
8,9,3,4,4
9,10,136,245,47
10,11,115,214,59
11,12,87,194,51
12,13,4,11,7
13,14,10,24,16
14,15,5,13,7
15,16,2,5,3
16,17,201,381,79
17,18,1,2,2
18,19,4,8,7
19,20,111,236,77
20,21,64,112,50
21,22,19,38,20
22,23,70,137,64
23,24,21,37,23
24,25,231,427,98
25,26,22,57,33
26,27,38,95,31
27,28,31,68,29
28,29,10,23,13
29,30,9,18,14
30,31,39,81,17
31,32,81,182,42
32,33,33,59,25
33,34,40,75,32
34,35,83,202,59
35,36,30,68,24
36,37,40,63,28
37,38,17,43,26
38,39,32,54,21
39,40,34,68,32
40,41,3,6,5
41,42,491,960,142
42,43,25,36,13
43,44,9,20,14
44,45,10,21,14
45,46,52,100,46
46,47,8,12,10
47,48,17,36,15
48,49,15,25,10
49,50,114,223,66
50,51,111,213,52
51,52,10,25,17
52,53,71,107,36
53,54,36,85,34
54,55,26,63,25
55,56,22,45,21
56,57,9,21,13
57,58,31,76,37
58,59,45,108,43
59,60,8,23,18
60,61,2,6,6
61,62,31,78,32
62,63,55,110,52
63,64,8,16,11
64,65,59,119,45
65,66,8,14,13
66,67,61,117,40
67,68,34,93,54
68,69,71,130,59
69,70,33,40,16
70,71,22,40,27
71,72,38,102,28
72,73,9,21,15
73,74,12,31,17
74,75,42,70,28
75,76,88,183,44
76,77,25,50,23
77,78,5,14,8
78,79,62,106,47
79,80,7,13,9
80,81,46,84,29
81,82,12,15,14
82,83,52,103,37
83,84,19,33,21
84,85,7,9,6
85,86,2,4,2
86,87,26,58,19
87,88,21,33,13
88,89,14,34,15
89,90,17,34,13
90,91,6,8,4
91,92,175,313,76
92,93,85,169,67
93,94,4,11,9
94,95,64,162,64
95,96,34,81,29
96,97,7,19,10
97,98,102,191,44
98,99,30,60,26
99,100,130,242,83
100,101,5,15,9
101,102,2,6,3
102,103,4,11,6
103,104,4,6,5
104,105,1,2,2
105,106,26,44,16
106,107,84,168,54
107,108,22,46,31
108,109,3,5,4
109,110,35,65,40
110,111,15,23,13
111,112,43,116,37
112,113,27,45,16
113,114,18,42,20
114,115,39,57,19
115,116,26,37,14
116,117,50,95,45
117,118,79,129,41
118,119,7,15,14
119,120,5,6,6
120,121,30,60,17
121,122,19,36,16
122,123,8,22,13
123,124,5,20,15
124,125,18,50,26
125,126,17,36,17
126,127,23,40,18
127,128,49,90,38
128,129,91,168,59
129,130,57,113,42
130,131,10,15,9
131,132,11,27,12
132,133,6,15,12
133,134,13,35,15
134,135,11,29,14
135,136,18,47,30
136,137,60,139,45
137,138,78,127,34
138,139,31,20,11
139,140,5,9,6
140,141,8,10,9
141,142,6,15,9
142,143,8,20,11
143,144,12,24,16
144,145,5,11,9
145,146,37,72,26
146,147,27,51,22
147,148,3,5,5
148,149,4,11,6
149,150,7,11,6
150,151,16,28,20
151,152,18,31,16
152,153,14,26,16
153,154,5,10,9
154,155,110,248,62
155,156,7,18,11
156,157,4,8,4
157,158,13,24,8
158,159,19,44,22
159,160,4,11,5
160,161,7,14,7
161,162,26,54,18
162,163,35,74,34
163,164,17,27,18
164,165,4,6,6
165,166,167,151,23
166,167,2,4,3
167,168,31,55,23
168,169,11,27,19
169,170,23,42,24
170,171,8,17,11
171,172,58,69,21
172,173,4,13,7
173,174,6,17,8
174,175,10,18,12
175,176,13,33,18
176,177,24,44,19
177,178,14,34,14
178,179,2,5,4
179,180,34,85,31
180,181,12,22,7
181,182,23,52,21
182,183,2,8,7
183,184,5,8,5
184,185,3,6,5
185,186,6,11,10
186,187,13,27,13
187,188,51,125,50
188,189,6,15,9
189,190,5,13,7
190,191,20,18,13
191,192,2,6,6
192,193,8,14,10
193,194,22,48,27
194,195,3,5,4
195,196,8,16,11
196,197,3,5,4
197,198,1,3,3
198,199,6,11,5
199,200,2,6,4
200,201,3,4,2
201,202,4,7,5
202,203,7,14,10
203,204,2,6,5
204,205,67,43,18
205,206,3,10,8
206,207,6,15,9
207,208,9,24,13
208,209,128,12,9
209,210,11,22,9
210,211,10,21,9
211,212,7,17,12
212,213,5,3,3
213,214,2,3,2
214,215,22,46,22
215,216,5,7,3
216,217,14,30,12
217,218,8,21,15
218,219,33,84,28
219,220,6,13,10
220,221,2,3,3
