,tag,ct,cotag,cotag_u
0,1,180,441,80
1,2,163,281,73
2,3,1,2,2
3,4,42,65,36
4,5,4,9,9
5,6,64,102,41
6,7,42,76,32
7,8,37,72,39
8,9,7,10,9
9,10,3,5,4
10,11,8,17,13
11,12,66,166,55
12,13,26,43,32
13,14,46,83,31
14,15,497,912,122
15,16,121,239,60
16,17,59,118,61
17,18,3,4,3
18,19,79,172,56
19,20,378,743,104
20,21,83,179,53
21,22,11,9,9
22,23,9,15,12
23,24,87,174,73
24,25,24,48,25
25,26,13,30,21
26,27,13,16,13
27,28,26,53,27
28,29,104,202,51
29,30,10,18,14
30,31,80,154,52
31,32,66,165,51
32,33,36,66,37
33,34,103,217,61
34,35,33,45,31
35,36,8,18,13
36,37,15,16,11
37,38,94,191,54
38,39,34,41,18
39,40,16,36,18
40,41,6,11,7
41,42,26,31,16
42,43,74,177,70
43,44,7,9,9
44,45,138,289,73
45,46,55,124,33
46,47,76,153,59
47,48,27,57,23
48,49,7,18,14
49,50,39,80,32
50,51,102,200,61
51,52,3,8,8
52,53,170,366,71
53,54,4,11,8
54,55,7,10,8
55,56,2,3,2
56,57,4,5,5
57,58,24,51,38
58,59,2,4,4
59,60,15,36,22
60,61,9,18,13
61,62,8,13,10
62,63,139,272,71
63,64,5,13,9
64,65,10,12,8
65,66,34,68,33
66,67,7,13,12
67,68,3,4,4
68,69,20,40,25
69,70,12,17,13
70,71,11,29,16
71,72,6,12,10
72,73,9,18,10
73,74,32,41,22
74,75,6,13,10
75,76,12,22,17
76,77,18,35,24
77,78,11,19,12
78,79,4,9,7
79,80,124,267,69
80,81,39,98,38
81,82,19,33,18
82,83,52,115,54
83,84,4,4,4
84,85,3,4,4
85,86,31,59,32
86,87,14,30,18
87,88,7,12,10
88,89,7,13,10
89,90,3,7,7
90,91,23,40,26
91,92,8,18,8
92,93,6,13,12
93,94,4,6,6
94,95,13,33,20
95,96,1,0,0
96,97,1,1,1
97,98,82,192,44
98,99,19,44,16
99,100,8,19,13
100,101,79,141,43
101,102,8,20,15
102,103,4,10,10
103,104,24,60,34
104,105,6,13,11
105,106,14,24,18
106,107,7,10,9
107,108,7,13,9
108,109,1,1,1
109,110,17,24,12
110,111,22,56,25
111,112,3,4,4
112,113,8,13,10
113,114,17,38,18
114,115,2,2,1
115,116,4,7,6
116,117,104,210,59
117,118,5,12,12
118,119,12,25,13
119,120,12,22,17
120,121,17,33,21
121,122,7,11,7
122,123,1,1,1
123,124,2,3,3
124,125,13,34,18
125,126,2,4,4
126,127,32,69,31
127,128,9,19,14
128,129,10,24,14
129,130,3,4,3
130,131,3,6,5
131,132,3,6,6
132,133,5,9,5
133,134,25,59,32
134,135,8,24,16
135,136,4,4,4
136,137,9,20,13
137,138,1,2,2
138,139,2,5,5
139,140,2,5,4
140,141,11,21,12
141,142,6,13,8
142,143,8,20,12
143,144,6,13,9
144,145,2,4,4
145,146,2,5,5
146,147,12,18,10
147,148,7,13,13
148,149,3,9,7
149,150,8,16,15
150,151,8,17,12
151,152,3,10,8
152,153,2,5,4
153,154,2,1,1
154,155,1,2,2
155,156,6,9,6
156,157,4,9,7
157,158,3,5,4
158,159,2,2,2
159,160,15,32,24
160,161,1,2,2
161,162,7,11,10
162,163,8,16,11
163,164,1,4,4
164,165,8,18,10
165,166,8,18,14
166,167,1,3,3
167,168,1,0,0
168,169,12,26,16
169,170,1,3,3
170,171,12,17,13
171,172,6,14,11
172,173,6,14,8
173,174,5,13,13
174,175,3,6,6
175,176,1,2,2
176,177,5,10,9
177,178,1,2,2
178,179,1,2,2
179,180,1,1,1
180,181,2,7,6
181,182,4,10,8
182,183,2,1,1
183,184,1,1,1
184,185,1,1,1
185,186,1,2,2
186,187,4,7,4
187,188,1,2,2
188,189,1,2,2
189,190,1,3,3
190,191,1,2,2
191,192,2,5,3
192,193,1,0,0
193,194,1,4,4
194,195,1,1,1
195,196,1,1,1
