,tag,ct,cotag,cotag_u
0,1,55,113,42
1,2,16,36,20
2,3,491,1124,228
3,4,91,199,73
4,5,60,73,28
5,6,18,47,30
6,7,287,617,149
7,8,53,127,59
8,9,5,9,8
9,10,78,192,55
10,11,11,31,16
11,12,49,99,55
12,13,59,71,34
13,14,194,362,112
14,15,71,131,43
15,16,35,54,19
16,17,523,1083,221
17,18,82,153,54
18,19,58,112,41
19,20,474,957,220
20,21,181,428,113
21,22,16,41,21
22,23,66,147,38
23,24,10,29,8
24,25,294,619,137
25,26,89,106,45
26,27,37,84,36
27,28,8,27,19
28,29,6,17,12
29,30,110,184,67
30,31,57,101,57
31,32,21,31,14
32,33,16,26,14
33,34,59,145,61
34,35,83,188,76
35,36,67,143,47
36,37,16,32,12
37,38,44,92,48
38,39,20,36,17
39,40,15,29,19
40,41,97,233,91
41,42,26,67,43
42,43,21,47,28
43,44,4,9,7
44,45,121,232,67
45,46,63,144,71
46,47,56,121,62
47,48,30,60,33
48,49,54,112,44
49,50,36,63,29
50,51,82,193,103
51,52,110,235,56
52,53,96,154,45
53,54,48,94,40
54,55,56,125,59
55,56,19,34,9
56,57,30,26,16
57,58,11,24,18
58,59,18,40,15
59,60,51,87,40
60,61,29,63,35
61,62,39,100,56
62,63,11,23,16
63,64,141,240,66
64,65,5,14,9
65,66,75,127,45
66,67,28,62,32
67,68,15,39,23
68,69,13,39,22
69,70,61,102,44
70,71,14,26,13
71,72,64,98,41
72,73,56,116,52
73,74,3,7,5
74,75,293,596,98
75,76,2,0,0
76,77,30,61,41
77,78,18,43,28
78,79,44,88,34
79,80,20,55,26
80,81,36,75,45
81,82,11,19,14
82,83,5,9,5
83,84,41,42,25
84,85,34,73,37
85,86,14,24,13
86,87,45,101,32
87,88,30,55,25
88,89,37,79,56
89,90,3,7,5
90,91,28,58,20
91,92,16,44,19
92,93,30,63,36
93,94,9,18,8
94,95,26,51,22
95,96,7,19,15
96,97,4,7,5
97,98,12,25,16
98,99,54,124,52
99,100,262,573,95
100,101,55,117,29
101,102,21,51,20
102,103,19,46,12
103,104,26,49,28
104,105,42,104,24
105,106,47,96,43
106,107,39,44,23
107,108,31,69,42
108,109,3,6,3
109,110,4,8,8
110,111,10,31,18
111,112,14,35,21
112,113,18,50,27
113,114,76,145,56
114,115,60,151,66
115,116,39,88,40
116,117,40,70,33
117,118,104,157,55
118,119,26,59,35
119,120,13,26,21
120,121,21,29,16
121,122,76,155,72
122,123,7,19,11
123,124,59,99,47
124,125,6,13,4
125,126,90,155,58
126,127,169,408,138
127,128,18,45,27
128,129,39,74,20
129,130,9,10,10
130,131,4,9,6
131,132,24,46,23
132,133,42,100,52
133,134,14,26,15
134,135,5,9,7
135,136,6,16,13
136,137,3,7,5
137,138,2,6,5
138,139,17,31,17
139,140,20,34,20
140,141,12,17,13
141,142,23,60,34
142,143,18,27,18
143,144,20,42,26
144,145,7,10,7
145,146,59,146,75
146,147,11,21,11
147,148,5,10,6
148,149,30,46,23
149,150,6,10,8
150,151,19,41,21
151,152,23,53,21
152,153,3,4,2
153,154,6,12,9
154,155,98,250,85
155,156,4,10,7
156,157,2,3,3
157,158,17,25,15
158,159,6,14,10
159,160,17,43,17
160,161,7,21,9
161,162,8,18,10
162,163,10,23,13
163,164,4,7,7
164,165,9,24,16
165,166,12,13,10
166,167,4,10,7
167,168,9,21,14
168,169,5,11,8
169,170,15,36,26
170,171,11,13,11
171,172,21,55,31
172,173,8,22,18
173,174,3,4,4
174,175,9,11,7
175,176,3,4,3
176,177,43,92,54
177,178,105,254,95
178,179,98,218,94
179,180,26,49,28
180,181,21,58,29
181,182,7,11,5
182,183,2,7,6
183,184,15,33,28
184,185,10,19,9
185,186,49,97,40
186,187,17,36,19
187,188,17,24,9
188,189,15,25,15
189,190,5,13,8
190,191,18,28,19
191,192,15,26,14
192,193,4,6,4
193,194,19,39,16
194,195,5,11,6
195,196,23,43,27
196,197,15,38,16
197,198,3,7,3
198,199,21,43,21
199,200,7,13,6
200,201,5,7,4
201,202,106,229,52
202,203,41,111,30
203,204,21,52,15
204,205,4,12,5
205,206,29,57,21
206,207,5,12,9
207,208,16,35,16
208,209,19,55,26
209,210,2,3,3
210,211,9,24,14
211,212,12,16,14
212,213,8,18,16
213,214,54,107,56
214,215,5,13,9
215,216,5,10,9
216,217,69,132,72
217,218,35,78,41
218,219,20,38,18
219,220,40,43,25
220,221,8,11,9
221,222,4,11,7
