,tag,ct,cotag,cotag_u
0,1,1619,2614,161
1,2,945,1893,139
2,3,151,359,55
3,4,435,893,87
4,5,60,142,28
5,6,11,27,14
6,7,243,380,102
7,8,228,408,53
8,9,1837,2857,153
9,10,702,1494,158
10,11,188,403,86
11,12,17,33,23
12,13,7,10,7
13,14,323,647,94
14,15,21,42,24
15,16,66,149,34
16,17,34,60,19
17,18,74,145,26
18,19,32,65,19
19,20,68,169,30
20,21,4,7,5
21,22,13,21,14
22,23,14,19,15
23,24,38,89,21
24,25,234,502,86
25,26,14,30,17
26,27,81,195,49
27,28,48,99,23
28,29,98,250,51
29,30,47,109,32
30,31,160,296,51
31,32,86,141,48
32,33,27,49,25
33,34,365,724,81
34,35,31,73,20
35,36,8,15,11
36,37,24,47,18
37,38,25,51,29
38,39,2,7,6
39,40,126,245,57
40,41,16,28,15
41,42,20,36,15
42,43,54,95,21
43,44,382,773,76
44,45,21,49,23
45,46,15,34,13
46,47,38,74,19
47,48,24,65,18
48,49,92,238,43
49,50,51,137,31
50,51,16,42,25
51,52,32,66,22
52,53,45,106,32
53,54,39,75,17
54,55,44,114,31
55,56,24,45,29
56,57,96,171,46
57,58,70,143,46
58,59,57,109,40
59,60,37,68,22
60,61,136,309,66
61,62,27,46,24
62,63,17,42,17
63,64,38,94,39
64,65,13,27,13
65,66,34,81,29
66,67,18,39,21
67,68,54,90,37
68,69,47,98,27
69,70,13,33,13
70,71,51,86,34
71,72,8,17,7
72,73,9,21,12
73,74,52,98,39
74,75,17,32,15
75,76,9,21,8
76,77,90,125,41
77,78,5,10,6
78,79,22,43,15
79,80,34,42,25
80,81,23,45,25
81,82,62,125,47
82,83,32,74,31
83,84,7,10,9
84,85,19,40,22
85,86,9,21,17
86,87,12,31,17
87,88,124,272,53
88,89,30,68,26
89,90,5,12,8
90,91,6,14,9
91,92,36,79,20
92,93,34,93,25
93,94,38,84,18
94,95,14,28,16
95,96,15,32,20
96,97,28,48,16
97,98,7,19,6
98,99,60,107,40
99,100,24,63,32
100,101,13,32,22
101,102,16,27,17
102,103,16,45,15
103,104,3,7,4
104,105,50,92,27
105,106,4,8,6
106,107,30,51,18
107,108,21,50,22
108,109,30,61,20
109,110,7,10,9
110,111,15,32,13
111,112,22,48,22
112,113,17,36,19
113,114,12,24,13
114,115,2,5,3
115,116,2,5,4
116,117,11,22,11
117,118,7,20,10
118,119,7,18,13
119,120,31,81,22
120,121,4,7,5
121,122,2,2,2
122,123,27,68,23
123,124,105,196,55
124,125,25,46,19
125,126,42,102,29
126,127,27,59,20
127,128,3,4,4
128,129,11,26,11
129,130,1,1,1
130,131,17,34,18
131,132,32,69,25
132,133,4,11,9
133,134,27,66,24
134,135,3,6,5
135,136,9,27,10
136,137,1,2,2
137,138,1,2,2
138,139,6,15,10
139,140,12,32,15
140,141,20,30,17
141,142,72,117,21
142,143,10,18,10
143,144,5,10,6
144,145,1,4,4
145,146,7,12,8
146,147,2,4,4
147,148,1,2,2
148,149,26,44,14
149,150,8,19,10
150,151,3,8,5
151,152,20,43,21
152,153,19,29,16
153,154,26,36,18
154,155,4,11,5
155,156,6,13,11
156,157,12,29,17
157,158,24,55,22
158,159,3,5,4
159,160,5,14,9
160,161,2,6,6
161,162,6,18,13
162,163,6,11,7
163,164,11,18,8
164,165,39,69,19
165,166,52,89,25
166,167,20,44,23
167,168,23,52,21
168,169,9,16,9
169,170,29,62,16
170,171,7,13,9
171,172,7,16,13
172,173,2,3,2
173,174,2,3,2
174,175,4,7,4
175,176,109,235,53
176,177,24,50,20
177,178,19,39,19
178,179,11,19,12
179,180,2,5,4
180,181,36,86,35
181,182,1,1,1
182,183,18,38,18
183,184,3,5,5
184,185,2,6,5
185,186,5,10,6
186,187,2,6,5
187,188,10,17,7
188,189,2,4,3
189,190,14,29,6
190,191,19,38,9
191,192,8,17,10
192,193,6,8,7
193,194,24,37,12
194,195,1,3,3
195,196,6,14,12
196,197,1,1,1
197,198,1,2,2
198,199,6,11,5
199,200,2,5,3
200,201,3,6,4
201,202,11,25,15
202,203,17,28,17
203,204,1,4,4
204,205,25,56,16
205,206,3,6,6
206,207,16,38,24
207,208,12,18,12
208,209,3,4,3
209,210,1,2,2
210,211,4,6,4
211,212,1,4,4
212,213,1,1,1
213,214,8,13,10
214,215,9,24,10
215,216,2,4,4
216,217,12,31,19
217,218,4,10,8
218,219,21,39,18
219,220,1,3,3
220,221,21,41,16
221,222,6,22,10
222,223,8,16,8
223,224,8,14,6
224,225,9,19,13
225,226,6,8,5
226,227,19,25,11
227,228,3,4,4
228,229,6,11,6
229,230,1,2,2
230,231,3,11,6
231,232,20,37,13
232,233,6,11,7
233,234,1,1,1
234,235,4,7,4
235,236,2,3,2
236,237,6,17,8
237,238,13,28,19
238,239,2,4,3
239,240,3,7,6
240,241,2,3,3
241,242,7,15,8
242,243,5,14,11
243,244,17,38,19
244,245,5,6,5
245,246,1,2,2
246,247,2,3,3
247,248,1,2,2
248,249,5,11,6
249,250,2,4,3
250,251,3,6,4
251,252,1,2,2
252,253,2,4,3
253,254,1,2,2
254,255,2,3,3
255,256,3,6,5
256,257,1,4,4
257,258,1,2,2
258,259,1,2,2
259,260,1,2,2
260,261,1,3,3
261,262,1,3,3
262,263,1,2,2
