,tag,ct,cotag,cotag_u
0,1,945,1962,246
1,2,400,857,151
2,3,682,1195,163
3,4,1141,1752,235
4,5,128,261,94
5,6,33,57,38
6,7,66,148,63
7,8,43,75,34
8,9,27,53,24
9,10,13,33,22
10,11,25,52,28
11,12,25,50,26
12,13,1982,2757,240
13,14,824,1697,228
14,15,609,1085,239
15,16,63,136,63
16,17,11,26,20
17,18,313,545,151
18,19,168,260,84
19,20,308,547,124
20,21,450,804,171
21,22,44,64,32
22,23,26,53,28
23,24,433,855,164
24,25,22,48,27
25,26,5,8,8
26,27,348,686,141
27,28,20,62,26
28,29,211,442,110
29,30,200,416,116
30,31,133,245,77
31,32,69,152,56
32,33,149,298,73
33,34,11,17,10
34,35,110,193,64
35,36,178,278,101
36,37,212,404,119
37,38,241,529,116
38,39,38,85,40
39,40,63,118,43
40,41,122,268,94
41,42,17,37,27
42,43,83,167,52
43,44,17,33,16
44,45,906,1758,208
45,46,75,189,75
46,47,89,179,63
47,48,36,60,35
48,49,3,3,3
49,50,21,36,21
50,51,76,145,48
51,52,215,411,109
52,53,15,39,25
53,54,73,130,65
54,55,289,509,127
55,56,55,115,44
56,57,67,153,50
57,58,53,114,32
58,59,9,21,20
59,60,68,131,33
60,61,96,215,77
61,62,109,257,74
62,63,341,715,132
63,64,135,278,79
64,65,44,90,41
65,66,44,97,51
66,67,5,11,6
67,68,52,90,51
68,69,63,117,56
69,70,29,66,41
70,71,46,83,52
71,72,30,68,26
72,73,8,13,11
73,74,32,84,42
74,75,32,73,36
75,76,64,106,62
76,77,57,123,40
77,78,13,35,18
78,79,91,182,66
79,80,23,49,21
80,81,17,22,16
81,82,10,25,16
82,83,33,63,41
83,84,310,515,137
84,85,58,112,51
85,86,6,15,8
86,87,69,141,57
87,88,52,108,55
88,89,19,47,23
89,90,30,77,33
90,91,201,410,110
91,92,21,52,29
92,93,97,225,73
93,94,9,24,20
94,95,417,451,88
95,96,125,253,74
96,97,12,21,15
97,98,36,72,33
98,99,105,269,68
99,100,8,19,13
100,101,96,214,81
101,102,88,161,77
102,103,33,65,34
103,104,31,62,31
104,105,77,184,44
105,106,40,79,49
106,107,151,290,97
107,108,50,113,42
108,109,57,92,37
109,110,64,116,65
110,111,8,15,11
111,112,30,51,33
112,113,63,154,62
113,114,10,27,25
114,115,51,114,56
115,116,77,162,48
116,117,44,93,44
117,118,118,232,82
118,119,17,32,24
119,120,24,57,33
120,121,22,40,27
121,122,24,61,29
122,123,36,76,34
123,124,22,42,24
124,125,78,146,63
125,126,23,50,24
126,127,16,32,23
127,128,26,58,33
128,129,286,496,111
129,130,16,45,24
130,131,70,180,61
131,132,14,34,24
132,133,572,1152,181
133,134,9,18,18
134,135,28,69,24
135,136,127,264,88
136,137,90,188,75
137,138,8,21,13
138,139,83,175,71
139,140,10,23,19
140,141,15,34,17
141,142,52,99,48
142,143,41,65,28
143,144,12,25,22
144,145,20,48,29
145,146,47,117,43
146,147,15,29,10
147,148,47,123,52
148,149,8,16,7
149,150,25,53,19
150,151,39,76,28
151,152,6,7,6
152,153,9,22,18
153,154,32,87,36
154,155,15,21,12
155,156,30,53,33
156,157,37,51,36
157,158,17,35,21
158,159,29,65,34
159,160,98,250,75
160,161,57,153,60
161,162,28,51,24
162,163,7,21,15
163,164,15,32,23
164,165,35,83,49
165,166,31,68,35
166,167,99,171,71
167,168,22,41,29
168,169,5,11,6
169,170,3,7,3
170,171,27,55,25
171,172,24,47,16
172,173,20,35,24
173,174,41,79,47
174,175,67,175,82
175,176,23,46,29
176,177,54,95,40
177,178,14,33,19
178,179,15,23,15
179,180,18,40,24
180,181,69,115,46
181,182,15,28,19
182,183,40,81,32
183,184,10,18,16
184,185,8,20,9
185,186,110,253,79
186,187,69,153,53
187,188,10,24,14
188,189,15,36,15
189,190,27,48,30
190,191,3,5,5
191,192,13,32,17
192,193,48,105,49
193,194,9,19,12
194,195,62,132,58
195,196,21,38,22
196,197,13,32,14
197,198,7,20,15
198,199,89,177,57
199,200,67,126,60
200,201,16,39,17
201,202,34,68,43
202,203,21,43,30
203,204,14,33,20
204,205,7,0,0
205,206,6,14,12
206,207,14,33,18
207,208,17,40,28
208,209,22,57,25
209,210,7,11,9
210,211,11,24,20
211,212,26,61,30
212,213,18,52,30
213,214,42,91,34
214,215,8,20,12
215,216,3,9,9
216,217,22,58,31
217,218,30,73,34
218,219,19,50,29
219,220,39,97,44
220,221,153,276,65
221,222,24,58,38
222,223,18,37,28
223,224,8,16,10
224,225,25,42,31
225,226,4,10,9
226,227,50,107,47
227,228,19,36,16
228,229,7,15,8
229,230,24,61,26
230,231,17,34,19
231,232,119,258,77
232,233,5,9,7
233,234,8,18,7
234,235,16,39,31
235,236,7,15,10
236,237,4,11,7
237,238,2,5,5
238,239,192,405,86
239,240,38,71,42
240,241,54,94,49
241,242,43,79,47
242,243,28,54,23
243,244,10,27,17
244,245,39,88,37
245,246,11,18,6
246,247,9,18,12
247,248,69,146,66
248,249,30,66,23
249,250,35,63,10
250,251,34,63,29
251,252,90,161,25
252,253,25,53,30
253,254,55,116,68
254,255,58,169,76
255,256,6,11,5
256,257,10,19,18
257,258,14,24,21
258,259,3,7,6
259,260,5,5,3
260,261,6,19,13
261,262,25,30,21
262,263,25,46,19
263,264,13,32,16
264,265,7,11,9
265,266,21,53,23
266,267,16,32,23
267,268,49,121,47
268,269,24,49,40
269,270,14,28,18
270,271,3,7,6
271,272,110,227,64
272,273,12,29,18
273,274,10,21,12
274,275,3,4,3
275,276,28,67,27
276,277,59,112,45
277,278,5,12,12
278,279,9,18,12
279,280,19,48,24
280,281,3,8,8
281,282,14,29,21
282,283,1,4,4
283,284,50,88,35
284,285,2,1,1
285,286,10,29,21
286,287,2,3,3
287,288,10,17,11
288,289,20,36,19
289,290,10,23,18
290,291,2,5,5
291,292,4,9,6
292,293,7,14,12
293,294,2,4,4
294,295,7,8,8
295,296,9,21,11
296,297,37,86,36
297,298,45,70,22
298,299,6,11,7
299,300,21,42,5
300,301,10,24,21
301,302,11,34,23
302,303,37,80,43
303,304,3,8,7
304,305,29,61,38
305,306,63,132,50
306,307,13,25,20
307,308,2,7,7
308,309,16,38,26
309,310,15,32,22
310,311,8,16,14
311,312,2,7,7
312,313,13,28,20
313,314,8,18,18
314,315,26,37,22
315,316,3,5,4
316,317,19,38,21
317,318,36,67,29
318,319,6,15,11
319,320,2,5,5
320,321,15,24,18
321,322,4,8,6
322,323,4,9,7
323,324,3,4,4
324,325,25,58,38
325,326,11,22,19
326,327,6,7,7
327,328,7,13,11
328,329,9,21,12
329,330,4,11,8
330,331,5,12,11
331,332,12,23,13
332,333,13,28,14
333,334,7,22,14
334,335,1,1,1
335,336,9,19,12
336,337,7,25,24
337,338,11,25,17
338,339,7,16,11
339,340,6,20,16
340,341,7,16,11
341,342,25,50,33
342,343,14,37,21
343,344,3,4,3
344,345,2,4,4
345,346,8,16,13
346,347,13,39,12
347,348,5,11,9
348,349,16,33,21
349,350,4,12,9
350,351,20,34,25
351,352,8,16,13
352,353,10,17,9
353,354,6,16,9
354,355,13,21,14
355,356,23,61,20
356,357,5,11,6
357,358,3,6,4
358,359,5,11,10
359,360,3,9,7
360,361,5,10,10
361,362,2,5,5
362,363,23,40,28
363,364,3,1,1
364,365,4,10,10
365,366,13,22,14
366,367,19,41,14
367,368,1,1,1
368,369,10,15,10
