,tag,ct,cotag,cotag_u
0,1,611,1449,264
1,2,22,68,26
2,3,16,39,31
3,4,20,62,26
4,5,10,34,15
5,6,274,651,171
6,7,139,353,119
7,8,113,262,103
8,9,145,348,153
9,10,4,10,9
10,11,294,674,221
11,12,203,428,152
12,13,177,421,147
13,14,16,40,26
14,15,2492,5959,479
15,16,175,381,118
16,17,1359,3139,445
17,18,226,392,116
18,19,150,350,128
19,20,18,43,17
20,21,21,45,26
21,22,893,2111,316
22,23,616,1405,264
23,24,175,401,104
24,25,413,795,210
25,26,167,416,138
26,27,161,366,103
27,28,14,34,17
28,29,244,608,165
29,30,157,386,135
30,31,105,271,106
31,32,81,202,73
32,33,379,886,229
33,34,149,293,89
34,35,577,1349,297
35,36,1018,1991,314
36,37,703,1516,298
37,38,17,38,25
38,39,654,1576,290
39,40,240,611,157
40,41,30,74,34
41,42,90,174,83
42,43,51,95,61
43,44,27,52,36
44,45,18,19,14
45,46,181,436,169
46,47,48,98,63
47,48,524,1326,241
48,49,141,412,102
49,50,26,69,43
50,51,12,27,21
51,52,453,1100,241
52,53,290,759,159
53,54,401,1019,181
54,55,170,418,151
55,56,357,733,262
56,57,81,210,86
57,58,22,55,37
58,59,434,906,225
59,60,39,93,46
60,61,43,95,53
61,62,26,62,39
62,63,63,152,71
63,64,21,57,27
64,65,764,1894,409
65,66,5,16,12
66,67,52,120,61
67,68,209,544,126
68,69,15,45,31
69,70,597,1342,266
70,71,28,54,31
71,72,30,75,35
72,73,287,718,175
73,74,2062,4970,543
74,75,506,1296,290
75,76,56,115,49
76,77,42,93,48
77,78,14,32,14
78,79,12,24,16
79,80,105,247,110
80,81,21,55,36
81,82,8,14,12
82,83,76,193,73
83,84,26,55,39
84,85,48,123,43
85,86,441,1027,224
86,87,20,40,28
87,88,88,246,68
88,89,117,288,99
89,90,144,387,95
90,91,731,1698,340
91,92,234,527,166
92,93,65,161,78
93,94,74,179,71
94,95,36,77,52
95,96,159,364,150
96,97,72,155,89
97,98,144,296,120
98,99,102,190,64
99,100,47,112,62
100,101,59,100,49
101,102,360,869,260
102,103,133,272,107
103,104,55,155,79
104,105,64,153,64
105,106,56,143,88
106,107,61,98,42
107,108,103,218,93
108,109,556,1270,296
109,110,61,145,83
110,111,83,199,103
111,112,177,319,122
112,113,169,478,127
113,114,355,843,234
114,115,7,14,7
115,116,306,698,141
116,117,36,84,35
117,118,9,14,3
118,119,118,189,61
119,120,166,285,83
120,121,53,122,57
121,122,151,379,138
122,123,23,53,30
123,124,27,57,33
124,125,366,734,184
125,126,9,17,10
126,127,72,135,60
127,128,16,25,18
128,129,35,59,34
129,130,64,140,54
130,131,189,445,154
131,132,104,233,80
132,133,197,518,133
133,134,66,160,60
134,135,71,189,86
135,136,24,55,19
136,137,52,135,42
137,138,152,294,92
138,139,16,37,22
139,140,155,434,134
140,141,52,137,61
141,142,21,62,31
142,143,439,1086,251
143,144,30,78,27
144,145,3,8,8
145,146,259,661,177
146,147,246,621,190
147,148,8,12,12
148,149,30,69,40
149,150,149,356,155
150,151,1660,4058,509
151,152,279,586,182
152,153,190,420,175
153,154,117,332,101
154,155,73,156,85
155,156,107,312,88
156,157,24,60,28
157,158,45,64,36
158,159,47,79,40
159,160,45,92,46
160,161,18,40,25
161,162,32,47,34
162,163,32,95,43
163,164,159,332,130
164,165,118,312,130
165,166,178,490,122
166,167,93,216,84
167,168,66,172,69
168,169,25,59,43
169,170,664,1654,336
170,171,2,7,5
171,172,4,12,11
172,173,38,84,51
173,174,268,570,168
174,175,59,160,79
175,176,137,335,167
176,177,5,11,9
177,178,145,332,118
178,179,28,75,46
179,180,53,103,54
180,181,22,58,34
181,182,16,43,30
182,183,15,49,28
183,184,404,939,331
184,185,205,537,154
185,186,7,14,9
186,187,72,142,61
187,188,65,144,52
188,189,33,85,34
189,190,193,340,136
190,191,26,47,22
191,192,12,29,14
192,193,97,285,71
193,194,20,53,32
194,195,224,576,197
195,196,132,307,131
196,197,17,33,19
197,198,24,60,33
198,199,94,207,84
199,200,40,107,64
200,201,19,43,21
201,202,183,376,116
202,203,2,5,3
203,204,51,107,64
204,205,34,70,47
205,206,100,234,98
206,207,45,113,58
207,208,94,237,83
208,209,171,392,131
209,210,61,154,72
210,211,70,183,72
211,212,15,35,18
212,213,2,2,2
213,214,27,55,31
214,215,131,325,118
215,216,35,63,27
216,217,11,17,14
217,218,2,2,2
218,219,113,253,117
219,220,134,340,122
220,221,31,78,30
221,222,105,207,74
222,223,26,58,35
223,224,29,50,41
224,225,110,245,92
225,226,90,215,88
226,227,40,87,54
227,228,124,238,80
228,229,25,31,23
229,230,187,382,176
230,231,49,117,49
231,232,227,565,144
232,233,71,186,87
233,234,97,236,97
234,235,38,97,56
235,236,40,84,49
236,237,27,68,42
237,238,11,21,14
238,239,56,148,58
239,240,89,226,82
240,241,72,136,47
241,242,207,514,123
242,243,9,24,15
243,244,109,276,85
244,245,4,8,8
245,246,50,130,89
246,247,52,90,52
247,248,30,66,33
248,249,116,255,144
249,250,123,289,121
250,251,35,90,36
251,252,4,9,8
252,253,46,115,47
253,254,34,69,38
254,255,7,15,10
255,256,156,444,116
256,257,8,22,17
257,258,12,22,12
258,259,4,12,8
259,260,65,140,71
260,261,40,109,69
261,262,44,109,45
262,263,21,43,24
263,264,83,196,90
264,265,193,488,187
265,266,5,11,8
266,267,9,14,11
267,268,22,57,35
268,269,73,202,58
269,270,7,18,12
270,271,51,130,48
271,272,49,121,49
272,273,12,24,20
273,274,38,87,28
274,275,249,703,132
275,276,58,145,57
276,277,35,85,41
277,278,30,68,36
278,279,132,352,122
279,280,138,297,69
280,281,19,50,27
281,282,53,111,53
282,283,72,156,59
283,284,30,79,46
284,285,50,115,59
285,286,14,29,22
286,287,53,169,59
287,288,13,42,27
288,289,8,24,15
289,290,122,261,86
290,291,34,62,27
291,292,23,54,25
292,293,96,204,53
293,294,27,65,45
294,295,28,60,37
295,296,63,149,73
296,297,15,31,20
297,298,26,69,45
298,299,8,11,11
299,300,96,221,113
300,301,25,61,32
301,302,62,142,56
302,303,11,26,17
303,304,7,18,14
304,305,47,131,53
305,306,18,40,19
306,307,33,82,43
307,308,55,138,65
308,309,6,12,10
309,310,49,113,53
310,311,7,13,12
311,312,257,594,190
312,313,61,135,71
313,314,52,124,55
314,315,23,54,20
315,316,198,513,168
316,317,68,201,72
317,318,28,55,34
318,319,7,20,13
319,320,11,27,12
320,321,9,19,18
321,322,165,354,161
322,323,7,22,13
323,324,20,47,29
324,325,68,172,90
325,326,13,37,21
326,327,35,105,55
327,328,7,7,6
328,329,17,21,10
329,330,87,221,87
330,331,15,33,25
331,332,126,272,106
332,333,31,45,27
333,334,24,51,33
334,335,18,47,24
335,336,32,75,46
336,337,19,31,20
337,338,99,245,105
338,339,13,24,13
339,340,250,604,217
340,341,48,103,59
341,342,44,112,43
342,343,28,66,24
343,344,29,78,46
344,345,149,351,138
345,346,14,34,27
346,347,123,306,125
347,348,35,87,57
348,349,31,72,37
349,350,65,155,74
350,351,73,185,85
351,352,20,38,22
352,353,23,55,44
353,354,35,98,53
354,355,24,46,29
355,356,93,235,90
356,357,12,29,21
357,358,123,332,72
358,359,43,77,28
359,360,9,21,13
360,361,2,5,5
361,362,7,10,7
362,363,69,143,59
363,364,3,4,3
364,365,7,7,7
365,366,67,155,87
366,367,6,16,13
367,368,32,75,33
368,369,9,24,12
369,370,22,54,28
370,371,17,25,14
371,372,52,110,42
372,373,5,7,7
373,374,33,67,45
374,375,60,173,61
375,376,5,12,9
376,377,52,131,62
377,378,7,16,12
378,379,42,98,62
379,380,151,391,162
380,381,83,234,83
381,382,8,26,12
382,383,29,59,27
383,384,41,84,64
384,385,29,80,34
385,386,5,5,4
386,387,19,25,21
387,388,27,60,43
388,389,87,225,91
389,390,88,218,100
390,391,2,6,5
391,392,28,70,41
392,393,5,11,8
393,394,15,39,27
394,395,17,33,15
395,396,5,6,5
396,397,38,78,44
397,398,17,39,16
398,399,200,416,132
399,400,15,46,24
400,401,32,55,33
401,402,46,105,56
402,403,102,190,93
403,404,30,82,52
404,405,17,45,31
405,406,29,53,38
406,407,171,362,116
407,408,14,28,25
408,409,14,50,15
409,410,7,26,13
410,411,13,30,22
411,412,18,53,26
412,413,50,113,56
413,414,4,9,8
414,415,33,79,42
415,416,22,53,23
416,417,40,102,37
417,418,5,16,8
418,419,2,4,3
419,420,8,20,15
420,421,19,31,27
421,422,33,74,39
422,423,61,146,86
423,424,70,157,101
424,425,17,44,28
425,426,50,120,54
426,427,87,230,117
427,428,94,246,122
428,429,28,73,49
429,430,13,31,14
430,431,35,71,34
431,432,5,11,10
432,433,10,19,17
433,434,18,46,27
434,435,6,19,12
435,436,17,54,26
436,437,9,21,17
437,438,21,37,20
438,439,89,240,85
439,440,17,46,34
440,441,7,15,12
441,442,12,17,10
442,443,8,20,13
443,444,18,38,19
444,445,28,69,35
445,446,37,78,49
446,447,24,68,45
447,448,30,83,45
448,449,5,8,8
449,450,48,86,29
450,451,5,9,8
451,452,43,92,40
452,453,73,181,54
453,454,5,10,8
454,455,24,44,20
455,456,5,8,7
456,457,155,385,152
457,458,12,24,11
458,459,23,56,29
459,460,74,185,88
460,461,18,44,29
461,462,3,6,5
462,463,54,142,66
463,464,33,72,47
464,465,3,10,6
465,466,4,14,9
466,467,7,13,8
467,468,4,12,8
468,469,42,92,59
469,470,25,58,30
470,471,48,119,55
471,472,24,62,40
472,473,43,87,43
473,474,21,54,35
474,475,36,86,43
475,476,58,130,56
476,477,55,118,65
477,478,3,7,6
478,479,59,139,65
479,480,42,108,68
480,481,56,119,52
481,482,210,541,174
482,483,13,31,22
483,484,17,33,26
484,485,11,24,14
485,486,15,39,17
486,487,106,240,95
487,488,43,110,64
488,489,32,72,43
489,490,26,70,49
490,491,26,58,45
491,492,27,65,44
492,493,12,27,14
493,494,14,35,23
494,495,17,45,24
495,496,18,34,27
496,497,18,48,25
497,498,50,123,63
498,499,16,45,36
499,500,17,39,22
500,501,17,48,29
501,502,18,44,25
502,503,19,54,29
503,504,39,81,33
504,505,17,38,33
505,506,10,24,12
506,507,8,17,10
507,508,23,63,26
508,509,14,27,20
509,510,25,51,20
510,511,22,41,24
511,512,26,57,27
512,513,2,4,4
513,514,11,23,8
514,515,36,92,56
515,516,62,163,74
516,517,20,56,39
517,518,84,170,82
518,519,33,67,32
519,520,55,133,56
520,521,3,8,6
521,522,83,191,93
522,523,15,30,21
523,524,94,199,86
524,525,97,244,72
525,526,22,62,38
526,527,13,27,17
527,528,40,91,25
528,529,39,74,43
529,530,11,32,17
530,531,40,70,46
531,532,15,39,19
532,533,21,45,33
533,534,44,114,69
534,535,3,7,5
535,536,53,121,52
536,537,2,7,5
537,538,5,15,9
538,539,19,43,32
539,540,50,133,51
540,541,4,11,7
541,542,53,130,61
542,543,10,29,21
543,544,8,18,10
544,545,29,88,39
545,546,11,26,20
546,547,33,67,44
547,548,3,9,7
548,549,47,124,58
549,550,3,2,2
550,551,10,22,17
551,552,41,100,45
552,553,24,56,33
553,554,2,3,3
554,555,2,6,5
555,556,49,126,52
556,557,60,136,78
557,558,27,64,30
558,559,32,88,43
559,560,4,10,9
560,561,10,18,15
561,562,13,38,30
562,563,22,61,36
563,564,8,21,12
564,565,2,4,3
565,566,45,111,53
566,567,13,21,17
567,568,92,260,95
568,569,3,5,4
569,570,40,110,31
570,571,38,81,31
571,572,13,28,22
572,573,32,67,35
573,574,8,25,21
574,575,17,36,31
575,576,11,24,15
576,577,4,5,5
577,578,29,72,33
578,579,38,82,48
579,580,15,31,22
580,581,5,14,10
581,582,3,7,5
582,583,36,78,48
583,584,22,53,34
584,585,1,1,1
585,586,8,13,12
586,587,17,45,28
587,588,99,239,102
588,589,7,12,11
589,590,73,144,93
590,591,178,498,110
591,592,5,14,8
592,593,7,12,8
593,594,21,51,34
594,595,3,5,5
595,596,12,25,19
596,597,29,68,29
597,598,8,18,12
598,599,5,12,11
599,600,32,68,45
600,601,17,35,25
601,602,12,27,15
602,603,12,24,13
603,604,14,33,22
604,605,36,88,56
605,606,23,47,32
606,607,12,21,16
607,608,27,52,32
608,609,6,18,16
609,610,9,21,14
610,611,62,168,71
611,612,13,31,25
612,613,8,15,12
613,614,27,67,31
614,615,22,62,35
615,616,10,29,14
616,617,26,48,29
617,618,13,28,21
618,619,37,74,48
619,620,25,55,33
620,621,7,10,9
621,622,9,26,21
622,623,16,36,25
623,624,9,20,11
624,625,13,27,22
625,626,5,15,9
626,627,7,12,10
627,628,7,24,11
628,629,121,338,65
629,630,8,23,18
630,631,29,52,36
631,632,3,7,4
632,633,10,13,11
633,634,13,38,30
634,635,31,83,47
635,636,33,88,51
636,637,3,11,9
637,638,3,7,5
638,639,17,39,22
639,640,16,27,22
640,641,17,35,18
641,642,7,14,9
642,643,6,21,12
643,644,23,47,33
644,645,11,27,19
645,646,6,19,14
646,647,13,26,20
647,648,24,54,29
648,649,19,45,29
649,650,13,22,17
650,651,12,28,12
651,652,15,34,24
652,653,288,716,257
653,654,125,266,106
654,655,26,56,37
655,656,10,20,17
656,657,17,31,23
657,658,54,152,80
658,659,44,111,39
659,660,13,27,14
660,661,117,269,126
661,662,55,137,58
662,663,3,7,6
663,664,14,29,18
664,665,3,8,5
665,666,13,32,13
666,667,5,12,11
667,668,8,13,6
668,669,111,289,110
669,670,7,19,13
670,671,2,3,3
671,672,19,57,34
672,673,8,13,10
673,674,8,24,15
674,675,86,204,109
675,676,11,20,19
676,677,2,7,6
677,678,5,17,13
678,679,11,25,20
679,680,4,8,6
680,681,60,160,86
681,682,6,19,16
682,683,13,24,13
683,684,8,18,10
684,685,14,32,16
685,686,8,21,18
686,687,4,10,10
687,688,5,13,12
688,689,18,42,24
689,690,51,100,63
690,691,4,11,8
691,692,5,15,13
692,693,3,6,4
693,694,9,18,14
694,695,20,38,17
695,696,18,37,26
696,697,32,82,42
697,698,5,15,11
698,699,22,66,39
699,700,14,35,26
700,701,15,29,14
701,702,3,9,9
702,703,9,24,14
703,704,15,37,26
704,705,12,34,21
705,706,20,60,34
706,707,4,11,10
707,708,37,99,58
708,709,45,116,49
709,710,94,223,112
710,711,21,42,25
711,712,8,16,13
712,713,18,41,25
713,714,20,57,20
714,715,31,75,43
715,716,25,47,29
716,717,28,71,53
717,718,5,9,8
718,719,8,15,15
719,720,140,352,171
720,721,15,48,37
721,722,11,22,19
722,723,16,40,22
723,724,7,20,16
724,725,3,10,9
725,726,19,48,28
726,727,9,24,20
727,728,74,192,72
728,729,6,11,10
729,730,9,26,23
730,731,12,17,14
731,732,135,301,139
732,733,4,9,8
733,734,9,26,18
734,735,141,330,136
735,736,15,32,19
736,737,67,134,51
737,738,4,8,6
738,739,22,61,37
739,740,22,49,32
740,741,23,47,24
741,742,45,125,60
742,743,3,7,7
743,744,17,44,24
744,745,7,17,11
745,746,30,68,32
746,747,14,38,21
747,748,3,8,7
748,749,23,55,22
749,750,34,76,40
750,751,5,10,9
751,752,11,30,25
752,753,20,43,28
753,754,24,50,43
754,755,33,95,58
755,756,2,4,4
756,757,9,25,19
757,758,24,71,33
758,759,16,42,24
759,760,17,41,21
760,761,7,13,8
761,762,39,90,46
762,763,14,26,20
763,764,5,17,10
764,765,10,13,10
765,766,7,23,17
766,767,16,34,13
767,768,10,30,19
768,769,16,41,25
769,770,3,5,4
770,771,7,16,13
771,772,7,15,8
772,773,5,14,6
773,774,12,41,20
774,775,17,34,23
775,776,22,39,27
776,777,15,34,29
777,778,11,24,12
778,779,4,6,3
779,780,4,8,8
780,781,6,14,12
781,782,17,49,37
782,783,4,11,10
783,784,21,61,35
784,785,12,37,28
785,786,11,25,21
786,787,12,34,13
787,788,6,12,7
788,789,5,14,11
789,790,9,19,17
790,791,11,29,17
791,792,31,78,37
792,793,11,28,17
793,794,11,21,13
794,795,18,39,25
795,796,13,33,24
796,797,13,25,17
797,798,8,18,13
798,799,6,13,9
799,800,7,16,13
800,801,45,99,40
801,802,3,9,9
802,803,2,6,5
803,804,1,3,3
804,805,9,26,21
805,806,87,216,77
806,807,9,23,15
807,808,5,13,12
808,809,4,8,8
809,810,8,19,14
810,811,7,22,17
811,812,82,191,109
812,813,3,6,3
813,814,9,21,15
814,815,3,7,6
815,816,14,29,16
816,817,18,48,40
817,818,6,10,8
818,819,6,14,12
819,820,103,185,76
820,821,6,14,14
821,822,5,17,12
822,823,2,5,5
823,824,7,20,12
824,825,9,27,15
825,826,2,5,4
826,827,4,9,8
827,828,22,53,35
828,829,19,53,22
829,830,56,157,63
830,831,4,8,6
831,832,8,17,15
832,833,16,32,24
833,834,20,60,31
834,835,35,86,44
835,836,9,20,8
836,837,11,29,19
837,838,19,39,33
838,839,2,6,6
839,840,4,8,8
840,841,5,13,10
841,842,8,19,16
842,843,3,7,6
843,844,11,28,18
844,845,20,53,29
845,846,4,7,7
846,847,72,195,103
847,848,7,16,11
848,849,9,25,18
849,850,2,6,5
850,851,3,8,5
851,852,10,22,12
852,853,6,10,7
853,854,2,4,3
854,855,10,22,22
855,856,15,33,24
856,857,7,19,12
857,858,11,28,16
858,859,5,12,12
859,860,14,42,22
860,861,6,13,9
861,862,3,7,7
862,863,14,38,27
863,864,20,47,33
864,865,15,36,19
865,866,14,38,23
866,867,6,11,10
867,868,27,61,50
868,869,24,66,35
869,870,17,42,30
870,871,4,11,8
871,872,7,16,11
872,873,34,83,43
873,874,26,68,40
874,875,84,172,80
875,876,17,32,24
876,877,14,38,28
877,878,13,29,13
878,879,3,7,7
879,880,36,98,60
880,881,17,35,24
881,882,7,16,13
882,883,8,18,15
883,884,17,34,20
884,885,13,31,21
885,886,28,57,39
886,887,11,31,20
887,888,10,25,18
888,889,33,59,39
889,890,3,10,6
890,891,14,42,23
891,892,23,68,51
892,893,5,11,5
893,894,6,13,7
894,895,2,6,6
895,896,18,42,22
896,897,5,11,9
897,898,3,8,7
898,899,6,18,14
899,900,7,15,13
900,901,16,27,19
901,902,18,46,28
902,903,4,8,5
903,904,2,8,5
904,905,5,10,8
905,906,8,22,20
906,907,9,25,15
907,908,19,48,32
908,909,6,14,12
909,910,11,27,24
910,911,5,12,7
911,912,2,6,6
912,913,70,191,94
913,914,23,61,22
914,915,28,57,22
915,916,12,32,17
916,917,10,14,13
917,918,1,2,2
918,919,1,2,2
919,920,8,13,10
920,921,1,3,3
921,922,2,7,5
922,923,14,33,25
923,924,8,18,15
924,925,3,7,6
925,926,1,3,3
926,927,3,11,8
927,928,6,15,9
928,929,25,64,34
929,930,32,83,48
930,931,2,5,5
931,932,2,4,4
932,933,33,88,48
933,934,1,3,3
934,935,35,100,38
935,936,6,14,12
936,937,3,7,5
937,938,2,6,5
938,939,71,170,87
939,940,3,10,10
940,941,16,40,28
941,942,3,9,7
942,943,4,12,9
943,944,1,3,3
944,945,2,5,5
945,946,3,6,6
946,947,3,7,5
947,948,41,106,59
948,949,11,24,21
949,950,1,4,4
950,951,69,118,60
951,952,36,64,31
952,953,6,18,16
953,954,177,435,79
954,955,12,36,22
955,956,15,42,19
956,957,58,158,86
957,958,4,7,7
958,959,7,12,11
959,960,4,12,12
960,961,8,21,15
961,962,1,3,3
962,963,7,18,15
963,964,5,14,13
964,965,19,51,24
965,966,23,60,43
966,967,3,11,11
967,968,2,6,6
968,969,2,5,4
969,970,52,124,67
970,971,7,10,7
971,972,38,97,67
972,973,6,16,8
973,974,10,27,17
974,975,5,10,9
975,976,4,4,4
976,977,16,49,25
977,978,4,10,8
978,979,8,28,18
979,980,5,15,14
980,981,4,8,8
981,982,24,63,38
982,983,8,20,17
983,984,12,27,18
984,985,1,4,4
985,986,5,12,11
986,987,41,101,45
987,988,11,27,18
988,989,67,173,91
989,990,71,152,77
990,991,2,5,5
991,992,4,10,9
992,993,17,41,32
993,994,19,48,34
994,995,20,41,33
995,996,2,6,5
996,997,2,6,6
997,998,3,8,7
998,999,6,16,12
999,1000,8,17,12
1000,1001,1,0,0
1001,1002,2,6,6
1002,1003,2,5,5
1003,1004,1,1,1
1004,1005,12,25,17
1005,1006,7,10,6
1006,1007,1,2,2
1007,1008,9,21,13
1008,1009,1,2,2
1009,1010,9,18,16
1010,1011,4,14,11
1011,1012,3,9,8
1012,1013,38,82,47
1013,1014,7,24,21
1014,1015,16,40,36
1015,1016,12,37,27
1016,1017,3,6,4
1017,1018,7,21,15
1018,1019,6,21,15
1019,1020,11,28,18
1020,1021,4,11,11
1021,1022,3,11,11
1022,1023,5,5,4
1023,1024,2,4,3
1024,1025,27,69,53
1025,1026,4,9,8
1026,1027,7,20,12
1027,1028,3,7,6
1028,1029,9,18,12
1029,1030,21,61,40
1030,1031,5,17,12
1031,1032,5,17,9
1032,1033,5,14,8
1033,1034,5,10,5
1034,1035,12,23,16
1035,1036,2,5,5
1036,1037,11,32,17
1037,1038,2,2,1
1038,1039,4,8,7
1039,1040,6,22,15
1040,1041,9,20,13
1041,1042,6,13,9
1042,1043,3,5,5
1043,1044,10,24,18
1044,1045,4,9,8
1045,1046,5,16,12
1046,1047,8,25,17
1047,1048,4,8,8
1048,1049,21,43,24
1049,1050,2,3,3
1050,1051,8,22,16
1051,1052,5,8,7
1052,1053,2,4,3
1053,1054,4,11,8
1054,1055,4,12,10
1055,1056,34,83,58
1056,1057,12,33,28
1057,1058,5,12,10
1058,1059,7,14,12
1059,1060,2,7,6
1060,1061,5,9,8
1061,1062,2,4,3
1062,1063,4,6,6
1063,1064,2,5,5
1064,1065,3,10,8
1065,1066,5,13,9
1066,1067,9,21,17
1067,1068,3,8,6
1068,1069,5,9,8
1069,1070,2,5,5
1070,1071,6,11,9
1071,1072,2,5,4
1072,1073,3,3,3
1073,1074,3,5,4
1074,1075,14,33,19
1075,1076,3,3,3
1076,1077,32,61,32
1077,1078,3,6,6
1078,1079,9,25,21
1079,1080,7,15,12
1080,1081,2,6,6
1081,1082,3,7,7
1082,1083,8,15,12
1083,1084,3,7,6
1084,1085,2,6,6
1085,1086,4,10,9
1086,1087,3,5,4
1087,1088,4,6,6
1088,1089,16,40,22
1089,1090,16,35,21
1090,1091,3,9,7
1091,1092,15,34,21
1092,1093,10,22,9
1093,1094,2,5,5
1094,1095,8,17,12
1095,1096,4,7,4
1096,1097,3,7,6
1097,1098,5,10,8
1098,1099,4,8,5
1099,1100,6,13,11
1100,1101,2,6,6
1101,1102,2,5,3
1102,1103,1,3,3
1103,1104,4,9,8
1104,1105,5,12,11
1105,1106,1,2,2
1106,1107,40,83,50
1107,1108,3,6,6
1108,1109,3,8,8
1109,1110,12,34,27
1110,1111,2,7,6
1111,1112,1,2,2
1112,1113,1,2,2
1113,1114,2,4,4
1114,1115,1,3,3
1115,1116,2,5,5
1116,1117,1,3,3
1117,1118,1,1,1
1118,1119,1,1,1
1119,1120,1,2,2
1120,1121,1,2,2
1121,1122,1,2,2
1122,1123,1,3,3
1123,1124,1,3,3
1124,1125,1,3,3
1125,1126,1,4,4
1126,1127,1,2,2
1127,1128,3,6,6
1128,1129,1,1,1
1129,1130,1,2,2
1130,1131,2,5,5
1131,1132,2,4,3
1132,1133,1,0,0
1133,1134,1,1,1
1134,1135,1,2,2
1135,1136,1,3,3
1136,1137,1,3,3
1137,1138,1,2,2
1138,1139,1,1,1
1139,1140,1,2,2
1140,1141,1,2,2
1141,1142,1,1,1
