,tag,ct,cotag,cotag_u
0,1,46,73,32
1,2,29,46,28
2,3,12,19,16
3,4,12,29,21
4,5,1032,2215,200
5,6,98,205,86
6,7,96,153,68
7,8,8,11,11
8,9,7,16,13
9,10,98,181,55
10,11,203,355,77
11,12,124,269,88
12,13,925,2007,203
13,14,14,31,15
14,15,16,27,24
15,16,61,103,37
16,17,63,125,60
17,18,9,15,13
18,19,103,227,63
19,20,58,136,53
20,21,21,41,27
21,22,21,59,28
22,23,234,474,101
23,24,286,622,139
24,25,93,212,79
25,26,90,123,46
26,27,95,142,53
27,28,56,88,23
28,29,29,71,36
29,30,12,0,0
30,31,16,27,17
31,32,15,26,19
32,33,148,293,83
33,34,33,70,42
34,35,25,61,40
35,36,28,38,25
36,37,24,47,26
37,38,85,150,72
38,39,24,40,31
39,40,20,33,23
40,41,72,122,48
41,42,5,9,6
42,43,6,10,10
43,44,12,16,12
44,45,82,204,68
45,46,16,31,21
46,47,64,123,53
47,48,148,294,77
48,49,15,28,22
49,50,17,28,25
50,51,281,599,132
51,52,9,14,11
52,53,176,333,103
53,54,10,20,18
54,55,402,832,143
55,56,62,135,45
56,57,19,33,25
57,58,4,12,7
58,59,53,119,59
59,60,19,44,28
60,61,37,77,43
61,62,50,105,63
62,63,24,49,33
63,64,62,145,63
64,65,13,25,19
65,66,60,114,47
66,67,7,19,15
67,68,2,1,1
68,69,4,6,6
69,70,108,213,80
70,71,33,55,35
71,72,42,88,54
72,73,14,28,20
73,74,5,6,5
74,75,9,22,15
75,76,55,108,52
76,77,10,16,14
77,78,41,89,41
78,79,7,9,8
79,80,5,8,7
80,81,141,354,68
81,82,133,280,91
82,83,9,18,14
83,84,11,17,14
84,85,23,51,33
85,86,37,107,30
86,87,58,117,45
87,88,48,83,40
88,89,48,70,38
89,90,20,43,30
90,91,21,42,29
91,92,200,389,89
92,93,57,121,43
93,94,53,139,38
94,95,103,235,90
95,96,17,28,20
96,97,15,27,14
97,98,38,92,47
98,99,68,149,60
99,100,6,11,10
100,101,59,86,44
101,102,12,30,24
102,103,10,26,21
103,104,45,70,39
104,105,18,42,18
105,106,39,96,40
106,107,5,6,6
107,108,158,356,104
108,109,27,71,35
109,110,453,480,76
110,111,28,52,38
111,112,6,9,9
112,113,48,93,46
113,114,5,16,13
114,115,26,48,29
115,116,12,19,17
116,117,34,72,38
117,118,3,5,3
118,119,5,7,4
119,120,50,91,40
120,121,53,136,61
121,122,39,96,43
122,123,28,63,33
123,124,3,7,7
124,125,6,14,13
125,126,6,16,14
126,127,31,51,25
127,128,21,40,32
128,129,38,88,43
129,130,41,95,56
130,131,29,72,35
131,132,11,26,21
132,133,16,17,15
133,134,9,21,18
134,135,8,19,16
135,136,5,7,5
136,137,20,38,27
137,138,3,4,4
138,139,16,23,21
139,140,53,90,40
140,141,10,27,11
141,142,22,46,33
142,143,6,16,14
143,144,40,73,17
144,145,4,7,6
145,146,6,7,7
146,147,73,191,38
147,148,21,29,22
148,149,31,71,38
149,150,9,17,12
150,151,19,49,27
151,152,183,442,63
152,153,3,5,5
153,154,19,34,27
154,155,8,15,10
155,156,31,56,36
156,157,20,36,25
157,158,16,31,26
158,159,50,98,45
159,160,26,56,37
160,161,14,25,20
161,162,5,11,10
162,163,11,22,18
163,164,5,9,8
164,165,16,42,26
165,166,13,34,20
166,167,9,14,14
167,168,90,241,69
168,169,8,21,16
169,170,19,43,25
170,171,7,16,14
171,172,22,24,18
172,173,11,32,14
173,174,45,75,52
174,175,177,283,67
175,176,9,14,7
176,177,136,334,70
177,178,148,292,104
178,179,40,95,53
179,180,12,21,18
180,181,9,25,11
181,182,10,29,19
182,183,21,46,26
183,184,19,50,25
184,185,7,20,11
185,186,11,24,17
186,187,26,68,39
187,188,6,16,11
188,189,8,20,18
189,190,3,7,6
190,191,2,6,6
191,192,13,23,20
192,193,12,27,17
193,194,8,16,6
194,195,25,70,26
195,196,1,3,3
196,197,7,21,18
197,198,11,23,14
198,199,11,27,13
199,200,1,3,3
200,201,5,10,9
201,202,9,16,16
202,203,13,30,26
203,204,24,46,17
204,205,11,15,11
205,206,11,19,9
206,207,14,28,18
207,208,15,31,23
208,209,5,12,11
209,210,50,63,23
210,211,6,18,14
211,212,6,16,14
212,213,2,2,2
213,214,11,25,19
214,215,34,67,20
215,216,7,19,11
216,217,6,9,8
217,218,10,20,17
218,219,53,93,41
219,220,59,68,20
220,221,1,3,3
221,222,3,9,8
222,223,3,3,2
223,224,7,15,13
224,225,3,7,5
225,226,3,9,7
226,227,5,14,13
227,228,5,13,12
228,229,13,29,15
229,230,26,37,17
230,231,2,5,4
231,232,1,1,1
232,233,2,4,4
233,234,4,10,8
234,235,4,10,6
235,236,4,15,8
236,237,2,4,4
237,238,4,13,11
238,239,15,31,14
239,240,3,6,6
240,241,9,22,20
241,242,2,6,5
242,243,10,34,18
243,244,5,12,11
244,245,4,5,3
245,246,23,64,20
246,247,1,3,3
247,248,5,13,13
248,249,5,6,4
249,250,2,6,5
250,251,4,6,6
251,252,2,2,2
252,253,3,6,4
253,254,1,2,2
254,255,3,5,4
255,256,4,9,7
256,257,3,7,5
257,258,1,2,2
258,259,1,1,1
259,260,1,2,2
260,261,2,3,3
261,262,2,5,5
262,263,3,7,5
263,264,2,6,5
264,265,1,2,2
265,266,1,4,4
266,267,1,4,4
267,268,1,3,3
268,269,1,3,3
269,270,1,3,3
270,271,1,2,2
