,tag,ct,cotag,cotag_u
0,1,59,59,26
1,2,129,222,60
2,3,162,324,83
3,4,93,222,74
4,5,26,56,35
5,6,18,28,19
6,7,17,43,29
7,8,215,344,72
8,9,85,179,62
9,10,25,44,23
10,11,12,28,11
11,12,6,12,8
12,13,6,11,7
13,14,7,10,7
14,15,145,288,76
15,16,17,35,20
16,17,109,202,67
17,18,13,32,20
18,19,100,216,73
19,20,8,17,8
20,21,195,396,80
21,22,8,12,11
22,23,143,273,75
23,24,23,52,28
24,25,13,33,19
25,26,29,58,29
26,27,3,7,5
27,28,2,3,3
28,29,78,157,53
29,30,328,595,109
30,31,17,31,15
31,32,70,129,50
32,33,43,79,42
33,34,35,34,17
34,35,2,4,4
35,36,10,19,9
36,37,13,26,20
37,38,2,1,1
38,39,90,144,48
39,40,75,137,53
40,41,6,6,6
41,42,37,44,28
42,43,16,16,14
43,44,6,9,8
44,45,180,282,66
45,46,27,49,25
46,47,86,99,38
47,48,19,33,17
48,49,26,47,28
49,50,17,20,13
50,51,15,29,22
51,52,51,97,51
52,53,203,381,75
53,54,12,21,19
54,55,5,5,5
55,56,21,57,31
56,57,60,104,43
57,58,29,57,29
58,59,5,7,6
59,60,15,23,16
60,61,38,69,38
61,62,68,115,49
62,63,7,14,9
63,64,3,4,3
64,65,51,104,45
65,66,19,37,20
66,67,5,13,8
67,68,60,67,30
68,69,19,32,19
69,70,12,19,7
70,71,28,55,25
71,72,11,29,17
72,73,20,33,14
73,74,152,258,71
74,75,4,6,4
75,76,10,13,9
76,77,5,9,8
77,78,41,38,14
78,79,22,37,25
79,80,15,19,11
80,81,17,35,21
81,82,4,6,4
82,83,3,5,4
83,84,17,29,19
84,85,15,20,14
85,86,45,95,34
86,87,50,80,43
87,88,42,72,35
88,89,8,16,11
89,90,23,47,31
90,91,5,17,11
91,92,7,15,10
92,93,19,41,22
93,94,15,13,8
94,95,26,48,29
95,96,9,15,13
96,97,23,34,27
97,98,8,14,12
98,99,12,17,13
99,100,24,60,29
100,101,6,11,9
101,102,14,21,14
102,103,15,36,22
103,104,2,3,3
104,105,34,63,22
105,106,5,12,9
106,107,7,17,10
107,108,28,53,36
108,109,22,32,20
109,110,34,66,27
110,111,3,7,5
111,112,9,15,13
112,113,22,38,23
113,114,10,14,12
114,115,68,127,57
115,116,7,16,13
116,117,5,8,8
117,118,5,11,9
118,119,6,10,8
119,120,2,6,5
120,121,9,13,12
121,122,50,100,40
122,123,2,2,1
123,124,2,6,6
124,125,4,4,3
125,126,2,2,1
126,127,7,13,10
127,128,31,59,36
128,129,5,7,5
129,130,9,12,8
130,131,5,11,10
131,132,15,21,18
132,133,5,12,10
133,134,16,23,14
134,135,3,4,4
135,136,14,16,11
136,137,88,95,32
137,138,11,13,12
138,139,9,18,13
139,140,6,9,5
140,141,2,5,5
141,142,24,48,28
142,143,19,39,27
143,144,8,18,13
144,145,4,7,5
145,146,55,112,54
146,147,103,162,42
147,148,3,4,3
148,149,2,2,2
149,150,2,3,3
150,151,9,17,15
151,152,1,0,0
152,153,21,43,30
153,154,12,23,15
154,155,5,2,2
155,156,2,2,2
156,157,45,100,39
157,158,6,11,8
158,159,5,9,9
159,160,5,9,9
160,161,6,4,3
161,162,6,9,9
162,163,10,24,15
163,164,17,23,12
164,165,3,4,4
165,166,18,33,20
166,167,4,5,4
167,168,4,6,5
168,169,2,3,3
169,170,9,12,10
170,171,9,21,13
171,172,9,23,16
172,173,5,7,6
173,174,4,13,11
174,175,6,10,8
175,176,5,12,9
176,177,3,5,5
177,178,4,8,7
178,179,4,8,5
179,180,1,3,3
180,181,12,15,13
181,182,2,6,6
182,183,3,5,5
183,184,4,8,7
184,185,7,0,0
185,186,3,6,6
186,187,1,0,0
187,188,3,6,5
188,189,4,10,9
189,190,1,2,2
190,191,1,3,3
191,192,1,3,3
192,193,1,3,3
