,tag,ct,cotag,cotag_u
0,1,157,220,80
1,2,108,171,50
2,3,131,165,52
3,4,39,72,38
4,5,102,207,28
5,6,186,225,48
6,7,2081,3089,148
7,8,138,268,48
8,9,409,731,80
9,10,24,22,4
10,11,146,90,27
11,12,41,75,27
12,13,753,1054,91
13,14,13,17,11
14,15,15,24,10
15,16,162,337,54
16,17,101,161,52
17,18,11,8,4
18,19,1508,1900,132
19,20,78,108,31
20,21,15,20,6
21,22,12,21,7
22,23,78,96,34
23,24,38,56,20
24,25,39,47,9
25,26,351,601,64
26,27,82,162,46
27,28,550,831,80
28,29,74,106,40
29,30,59,66,43
30,31,3796,4083,101
31,32,9,13,10
32,33,235,372,46
33,34,24,31,14
34,35,891,1685,58
35,36,5,9,6
36,37,583,1164,94
37,38,17,27,12
38,39,54,63,17
39,40,16,21,12
40,41,135,256,53
41,42,56,80,29
42,43,103,150,16
43,44,1018,1353,100
44,45,28,44,31
45,46,44,79,20
46,47,564,884,92
47,48,87,175,30
48,49,153,296,48
49,50,19,28,13
50,51,61,107,35
51,52,5,7,3
52,53,192,370,70
53,54,23,34,24
54,55,14,19,7
55,56,82,192,30
56,57,29,38,19
57,58,53,74,24
58,59,19,17,8
59,60,2,2,2
60,61,46,59,32
61,62,30,44,26
62,63,3,4,2
63,64,79,141,45
64,65,13,20,11
65,66,3,6,3
66,67,70,104,39
67,68,14,26,13
68,69,727,1249,113
69,70,11,16,14
70,71,181,214,30
71,72,208,301,41
72,73,21,24,11
73,74,869,1187,99
74,75,8,12,8
75,76,27,44,19
76,77,29,59,17
77,78,1004,1853,79
78,79,38,78,39
79,80,1247,2115,92
80,81,15,20,11
81,82,53,50,20
82,83,146,176,40
83,84,44,90,22
84,85,23,54,10
85,86,7,16,6
86,87,410,440,58
87,88,7,7,6
88,89,365,686,61
89,90,988,1550,104
90,91,263,520,61
91,92,68,114,40
92,93,130,176,32
93,94,26,37,15
94,95,91,165,39
95,96,233,487,57
96,97,115,182,41
97,98,63,120,50
98,99,472,482,56
99,100,42,51,25
100,101,15,36,14
101,102,125,248,58
102,103,19,40,9
103,104,25,39,21
104,105,106,236,46
105,106,72,79,26
106,107,28,46,19
107,108,258,489,80
108,109,112,185,38
109,110,37,60,23
110,111,19,26,14
111,112,26,30,19
112,113,14,13,7
113,114,656,1376,82
114,115,78,139,40
115,116,44,105,23
116,117,391,758,70
117,118,9,14,10
118,119,194,263,54
119,120,92,162,40
120,121,8,10,6
121,122,50,111,27
122,123,150,253,53
123,124,9,21,13
124,125,6,5,3
125,126,61,115,46
126,127,154,252,41
127,128,50,119,27
128,129,32,58,27
129,130,2,4,4
130,131,14,32,8
131,132,15,24,12
132,133,12,31,17
133,134,16,33,8
134,135,43,74,29
135,136,3,8,4
136,137,2,6,4
137,138,7,10,8
138,139,19,37,11
139,140,12,15,14
140,141,13,32,22
141,142,3,2,1
142,143,5,8,7
143,144,5,12,4
144,145,21,33,20
145,146,2,3,3
146,147,29,47,24
147,148,17,25,19
148,149,9,23,8
149,150,11,15,12
150,151,2,4,2
151,152,209,271,35
152,153,6,12,7
153,154,12,25,13
154,155,251,482,84
155,156,4,11,9
156,157,86,179,45
157,158,17,33,11
158,159,26,59,21
159,160,13,21,16
160,161,28,42,23
161,162,38,78,13
162,163,144,342,38
163,164,30,49,15
164,165,4,11,7
165,166,3,9,8
166,167,13,30,15
167,168,15,27,16
168,169,30,60,25
169,170,71,134,36
170,171,4,5,4
171,172,22,20,5
172,173,8,16,6
173,174,40,53,23
174,175,4,8,4
175,176,4,3,2
176,177,2,6,4
177,178,12,27,15
178,179,49,69,19
179,180,39,97,33
180,181,25,58,30
181,182,5,13,5
182,183,5,11,6
183,184,21,64,14
184,185,9,15,5
185,186,8,15,5
186,187,4,6,5
187,188,15,27,10
188,189,9,15,5
189,190,1,3,3
190,191,10,13,9
191,192,1,1,1
192,193,8,14,9
193,194,1,2,2
194,195,13,22,13
195,196,1,1,1
196,197,2,3,3
197,198,4,4,3
198,199,1,1,1
199,200,1,3,3
200,201,2,3,2
201,202,1,3,3
202,203,1,1,1
203,204,3,8,7
204,205,1,1,1
205,206,1,1,1
206,207,1,3,3
207,208,1,1,1
208,209,7,23,8
