,tag,ct,cotag,cotag_u
0,1,26,39,25
1,2,3,6,5
2,3,17,34,15
3,4,28,55,21
4,5,11,21,9
5,6,72,141,46
6,7,98,181,52
7,8,3,5,4
8,9,122,237,70
9,10,5,9,7
10,11,9,13,8
11,12,3,8,7
12,13,5,10,9
13,14,1,2,2
14,15,45,75,36
15,16,39,55,26
16,17,9,18,12
17,18,44,110,42
18,19,10,25,11
19,20,2,4,3
20,21,11,29,13
21,22,16,34,14
22,23,18,40,19
23,24,23,55,28
24,25,1,2,2
25,26,1,2,2
26,27,7,19,14
27,28,2,5,4
28,29,36,74,31
29,30,10,21,15
30,31,1,0,0
31,32,33,68,29
32,33,5,7,6
33,34,2,5,5
34,35,6,15,8
35,36,15,26,18
36,37,13,26,16
37,38,9,15,10
38,39,23,61,31
39,40,8,12,8
40,41,24,50,26
41,42,129,235,69
42,43,6,11,6
43,44,25,39,21
44,45,3,7,6
45,46,1,3,3
46,47,6,11,8
47,48,29,52,37
48,49,1,1,1
49,50,16,45,16
50,51,1,3,3
51,52,2,4,4
52,53,9,21,15
53,54,2,4,4
54,55,22,57,19
55,56,1,1,1
56,57,5,11,8
57,58,17,34,17
58,59,21,29,12
59,60,4,9,6
60,61,8,12,10
61,62,8,15,5
62,63,2,6,4
63,64,22,43,21
64,65,29,47,25
65,66,22,40,21
66,67,15,39,23
67,68,16,13,8
68,69,9,22,12
69,70,1,3,3
70,71,6,9,7
71,72,2,7,4
72,73,3,10,6
73,74,9,17,12
74,75,3,10,8
75,76,7,13,11
76,77,17,33,20
77,78,5,14,10
78,79,2,4,4
79,80,3,7,7
80,81,3,4,3
81,82,4,8,6
82,83,2,5,5
83,84,5,8,7
84,85,7,14,10
85,86,1,2,2
86,87,8,15,9
87,88,1,3,3
88,89,10,23,11
89,90,3,8,6
90,91,5,6,4
91,92,11,14,5
92,93,3,8,7
93,94,4,10,7
94,95,4,11,8
95,96,2,3,3
96,97,3,5,5
97,98,2,4,4
98,99,1,2,2
99,100,3,4,4
100,101,6,8,7
101,102,5,12,10
102,103,4,9,8
103,104,2,6,6
104,105,5,13,9
105,106,1,4,4
106,107,1,4,4
107,108,2,5,5
108,109,9,14,11
109,110,9,20,10
110,111,1,4,4
111,112,11,30,9
112,113,2,5,5
113,114,1,2,2
114,115,1,3,3
115,116,6,9,7
116,117,1,3,3
117,118,1,3,3
118,119,2,5,4
119,120,4,8,7
120,121,2,6,4
121,122,1,2,2
122,123,11,24,15
123,124,3,7,6
124,125,3,8,6
125,126,18,38,18
126,127,7,13,13
127,128,5,6,3
128,129,1,2,2
129,130,1,1,1
130,131,1,4,4
131,132,1,2,2
132,133,3,9,7
133,134,2,4,4
134,135,2,3,3
135,136,1,2,2
136,137,3,5,5
137,138,2,5,5
138,139,1,2,2
139,140,1,2,2
140,141,2,3,3
141,142,1,1,1
142,143,1,1,1
143,144,5,6,4
144,145,1,2,2
145,146,2,3,3
146,147,1,1,1
147,148,1,2,2
148,149,1,1,1
149,150,1,2,2
150,151,2,2,2
151,152,1,4,4
152,153,1,1,1
153,154,1,1,1
