,tag,ct,cotag,cotag_u
0,1,111,218,95
1,2,131,265,74
2,3,43,84,30
3,4,174,357,110
4,5,11,8,7
5,6,714,1315,172
6,7,45,97,53
7,8,2237,3997,268
8,9,2136,4080,305
9,10,89,199,70
10,11,1141,2425,253
11,12,212,396,139
12,13,449,1054,153
13,14,1060,2146,259
14,15,211,458,118
15,16,187,335,119
16,17,19,36,29
17,18,499,901,123
18,19,110,225,85
19,20,469,936,159
20,21,83,200,83
21,22,320,597,116
22,23,424,837,164
23,24,257,383,110
24,25,271,509,126
25,26,114,212,56
26,27,192,382,74
27,28,80,183,37
28,29,91,192,63
29,30,1551,3183,258
30,31,19,33,18
31,32,241,520,145
32,33,937,1834,211
33,34,176,415,115
34,35,66,141,71
35,36,64,97,52
36,37,36,62,34
37,38,36,65,29
38,39,790,1395,188
39,40,203,352,128
40,41,2,4,3
41,42,518,969,144
42,43,186,405,113
43,44,311,620,108
44,45,84,173,79
45,46,19,37,22
46,47,96,181,83
47,48,19,38,22
48,49,155,314,119
49,50,7,12,10
50,51,54,90,46
51,52,273,551,130
52,53,54,92,48
53,54,233,413,104
54,55,54,105,49
55,56,123,239,81
56,57,156,288,98
57,58,723,1280,191
58,59,799,1551,227
59,60,84,155,62
60,61,178,371,125
61,62,234,495,145
62,63,58,120,60
63,64,89,185,75
64,65,10,25,17
65,66,3,9,5
66,67,7,12,11
67,68,170,338,97
68,69,56,122,62
69,70,108,194,67
70,71,570,1267,238
71,72,4,6,4
72,73,14,25,15
73,74,178,335,67
74,75,10,19,15
75,76,6,12,8
76,77,12,23,16
77,78,210,492,120
78,79,29,36,23
79,80,622,1194,159
80,81,404,864,198
81,82,7,18,10
82,83,176,364,100
83,84,45,86,44
84,85,87,171,72
85,86,99,226,56
86,87,5257,10371,446
87,88,123,228,56
88,89,425,749,132
89,90,226,483,137
90,91,243,525,99
91,92,8,18,16
92,93,52,99,59
93,94,34,72,32
94,95,241,504,98
95,96,27,41,25
96,97,91,171,74
97,98,135,246,77
98,99,335,592,160
99,100,141,251,92
100,101,259,496,123
101,102,185,391,83
102,103,94,175,74
103,104,6,10,8
104,105,44,102,31
105,106,19,32,17
106,107,259,534,110
107,108,24,60,31
108,109,258,549,108
109,110,461,985,138
110,111,61,132,56
111,112,121,217,77
112,113,19,39,29
113,114,14,23,15
114,115,18,46,25
115,116,3,8,7
116,117,4,10,8
117,118,2,5,4
118,119,72,158,57
119,120,101,184,55
