,tag,ct,cotag,cotag_u
0,1,7,7,7
1,2,404,801,126
2,3,67,107,46
3,4,3,4,4
4,5,7,9,9
5,6,149,301,89
6,7,405,804,128
7,8,154,340,90
8,9,110,256,68
9,10,12,33,15
10,11,61,129,69
11,12,6,9,7
12,13,21,47,34
13,14,67,174,53
14,15,185,423,86
15,16,158,335,67
16,17,93,146,59
17,18,169,315,80
18,19,141,315,90
19,20,416,731,104
20,21,34,56,37
21,22,440,939,163
22,23,63,116,37
23,24,3,7,7
24,25,22,39,25
25,26,85,201,53
26,27,20,44,22
27,28,25,57,29
28,29,105,211,81
29,30,17,38,25
30,31,8,20,15
31,32,81,122,43
32,33,65,127,54
33,34,7,16,12
34,35,61,136,48
35,36,202,412,76
36,37,56,139,50
37,38,3,11,11
38,39,2,3,2
39,40,2,3,2
40,41,276,513,122
41,42,2,3,3
42,43,336,556,95
43,44,37,86,26
44,45,31,69,44
45,46,26,54,40
46,47,7,14,10
47,48,81,162,47
48,49,18,43,20
49,50,64,117,45
50,51,27,72,32
51,52,79,142,38
52,53,6,9,6
53,54,12,31,24
54,55,7,15,11
55,56,10,13,13
56,57,15,31,21
57,58,42,86,41
58,59,14,37,21
59,60,14,22,11
60,61,20,31,15
61,62,27,58,33
62,63,14,22,15
63,64,32,55,34
64,65,68,139,57
65,66,15,34,23
66,67,4,8,6
67,68,16,22,17
68,69,8,13,11
69,70,31,76,40
70,71,211,368,112
71,72,126,295,60
72,73,7,12,12
73,74,220,442,89
74,75,13,38,15
75,76,3,3,3
76,77,18,30,22
77,78,25,47,26
78,79,59,128,52
79,80,18,32,20
80,81,45,96,27
81,82,5,12,11
82,83,12,20,14
83,84,90,169,50
84,85,44,93,39
85,86,4,3,3
86,87,29,66,30
87,88,98,194,53
88,89,14,26,14
89,90,373,741,99
90,91,33,67,36
91,92,141,288,66
92,93,170,371,81
93,94,32,66,35
94,95,30,56,34
95,96,28,47,25
96,97,40,88,44
97,98,15,36,23
98,99,13,27,20
99,100,3,4,4
100,101,12,19,12
101,102,42,82,36
102,103,56,128,39
103,104,4,12,12
104,105,5,14,11
105,106,85,195,71
106,107,86,202,51
107,108,37,73,31
108,109,5,9,8
109,110,17,35,23
110,111,26,52,31
111,112,38,66,20
112,113,2,0,0
113,114,8,15,15
114,115,18,25,21
115,116,73,148,56
116,117,17,37,22
117,118,4,9,9
118,119,79,194,75
119,120,8,21,14
120,121,21,38,24
121,122,54,125,46
122,123,4,10,5
123,124,4,10,10
124,125,56,135,61
125,126,43,70,20
126,127,125,124,33
127,128,46,92,47
128,129,2,5,5
129,130,49,114,57
130,131,2,4,4
131,132,43,92,36
132,133,9,14,8
133,134,73,158,37
134,135,4,7,7
135,136,1,2,2
136,137,64,156,36
137,138,22,33,21
138,139,47,107,30
139,140,63,133,36
140,141,99,191,60
141,142,55,131,37
142,143,11,22,20
143,144,3,7,7
144,145,7,21,18
145,146,67,149,46
146,147,9,16,13
147,148,5,8,7
148,149,39,90,36
149,150,4,8,7
150,151,23,50,32
151,152,10,21,14
152,153,34,69,26
153,154,13,28,21
154,155,31,49,19
155,156,21,45,18
156,157,6,9,6
157,158,44,93,38
158,159,11,18,10
159,160,16,38,25
160,161,6,13,11
161,162,2,0,0
162,163,34,73,34
163,164,30,56,28
164,165,10,16,9
165,166,15,31,24
166,167,6,6,5
167,168,25,46,27
168,169,5,9,7
169,170,25,45,30
170,171,25,51,33
171,172,15,18,12
172,173,38,79,33
173,174,16,44,20
174,175,7,4,2
175,176,21,37,20
176,177,19,32,22
177,178,9,12,8
178,179,5,9,6
179,180,49,68,19
180,181,3,3,1
181,182,6,15,6
182,183,9,13,13
183,184,106,248,73
184,185,27,61,35
185,186,8,17,11
186,187,8,16,10
187,188,67,176,57
188,189,56,119,26
189,190,16,30,14
190,191,3,4,3
191,192,6,13,8
192,193,4,6,6
193,194,8,14,6
194,195,23,45,16
195,196,12,22,12
196,197,7,16,15
197,198,3,6,6
198,199,9,19,10
199,200,15,32,15
200,201,8,21,14
201,202,13,32,23
202,203,21,26,21
203,204,19,43,26
204,205,34,83,32
205,206,5,8,8
206,207,19,38,26
207,208,7,10,8
208,209,24,57,33
209,210,1,1,1
210,211,2,4,4
211,212,3,8,7
212,213,8,13,9
213,214,7,17,15
214,215,32,66,34
215,216,2,6,6
216,217,7,12,10
217,218,4,11,8
218,219,4,12,9
219,220,3,12,10
220,221,7,19,16
221,222,2,7,5
222,223,36,79,35
223,224,9,23,17
224,225,18,50,22
225,226,13,38,16
226,227,9,25,17
227,228,16,39,27
228,229,6,16,15
229,230,2,7,7
230,231,5,9,9
231,232,7,14,9
232,233,2,5,5
233,234,3,9,6
234,235,2,7,4
235,236,3,8,7
236,237,3,6,6
237,238,11,25,14
238,239,7,20,14
239,240,2,2,2
240,241,1,1,1
241,242,1,1,1
242,243,1,4,4
243,244,2,7,7
244,245,1,4,4
245,246,1,4,4
246,247,1,4,4
247,248,1,1,1
248,249,1,1,1
249,250,1,3,3
250,251,2,6,6
251,252,1,3,3
