,tag,ct,cotag,cotag_u
0,1,5397,9058,404
1,2,4364,7886,364
2,3,74,161,86
3,4,8,20,10
4,5,439,601,170
5,6,629,1173,222
6,7,177,334,119
7,8,21,12,9
8,9,8,20,16
9,10,624,1438,207
10,11,337,802,116
11,12,24,35,19
12,13,152,241,105
13,14,210,385,126
14,15,10,19,12
15,16,2555,3757,324
16,17,306,796,109
17,18,12,23,11
18,19,6,13,9
19,20,11,15,13
20,21,78,178,65
21,22,131,284,82
22,23,181,269,76
23,24,9,17,10
24,25,274,592,126
25,26,4,2,2
26,27,303,623,143
27,28,303,618,151
28,29,22,48,27
29,30,1213,2389,316
30,31,297,552,112
31,32,20,42,21
32,33,1050,2362,324
33,34,5,5,3
34,35,3,4,2
35,36,194,367,119
36,37,275,550,151
37,38,84,184,65
38,39,26,42,23
39,40,5,7,3
40,41,1106,2392,254
41,42,8,18,11
42,43,4,8,5
43,44,61,116,56
44,45,202,423,104
45,46,15,30,18
46,47,24,14,11
47,48,61,122,64
48,49,13,32,19
49,50,1248,2869,305
50,51,4,3,2
51,52,2,3,3
52,53,142,292,70
53,54,12,28,20
54,55,10,14,8
55,56,68,164,65
56,57,182,342,107
57,58,10,16,12
58,59,11,22,17
59,60,76,114,32
60,61,48,84,32
61,62,622,1445,217
62,63,42,89,53
63,64,4262,8882,365
64,65,7,10,7
65,66,329,811,123
66,67,41,93,40
67,68,120,127,44
68,69,11,14,5
69,70,11,16,14
70,71,655,1325,228
71,72,371,928,229
72,73,53,88,44
73,74,92,201,74
74,75,38,81,25
75,76,57,140,63
76,77,28,33,21
77,78,47,106,54
78,79,175,353,96
79,80,8,17,11
80,81,185,359,133
81,82,144,397,118
82,83,381,1032,201
83,84,221,548,105
84,85,150,327,104
85,86,80,168,78
86,87,69,125,59
87,88,454,879,163
88,89,54,80,41
89,90,65,118,51
90,91,49,57,29
91,92,171,388,93
92,93,116,256,82
93,94,4,8,8
94,95,30,55,29
95,96,52,87,43
96,97,18,37,23
97,98,78,173,79
98,99,41,75,33
99,100,17,39,22
100,101,7,18,10
101,102,3,8,6
102,103,77,156,62
103,104,38,84,47
104,105,17,37,19
105,106,56,122,46
106,107,19,39,23
107,108,251,375,79
108,109,98,202,91
109,110,202,470,143
110,111,69,140,66
111,112,27,67,29
112,113,24,30,17
113,114,2,2,2
114,115,29,61,35
115,116,3,3,3
116,117,4,5,3
117,118,157,218,86
118,119,22,37,26
119,120,39,103,40
120,121,50,93,26
121,122,21,47,30
122,123,61,131,47
123,124,22,54,25
124,125,14,16,16
125,126,922,1978,307
126,127,362,868,179
127,128,19,44,27
128,129,297,621,139
129,130,368,900,108
130,131,55,84,39
131,132,75,171,70
132,133,14,20,15
133,134,6,12,10
134,135,4,7,7
135,136,49,110,43
136,137,502,1150,222
137,138,56,124,65
138,139,6,16,14
139,140,2,2,2
140,141,183,408,100
141,142,250,524,91
142,143,177,434,100
143,144,174,428,88
144,145,49,106,48
145,146,45,43,27
146,147,12,31,22
147,148,8,19,16
148,149,39,91,43
149,150,153,390,102
150,151,135,306,66
151,152,43,96,46
152,153,2,1,1
153,154,18,39,23
154,155,8,21,14
155,156,266,569,136
156,157,13,33,15
157,158,83,139,49
158,159,17,42,27
159,160,8,12,9
160,161,10,19,12
161,162,91,151,65
162,163,115,224,91
163,164,3,3,3
164,165,204,504,113
165,166,9,13,11
166,167,5,8,7
167,168,5,9,9
168,169,8,18,13
169,170,8,19,13
170,171,4,0,0
171,172,54,48,34
172,173,15,15,9
173,174,7,3,3
174,175,2,2,1
175,176,4,2,1
176,177,12,15,13
177,178,176,327,129
178,179,11,26,17
179,180,47,100,48
180,181,27,52,36
181,182,46,113,56
182,183,52,99,44
183,184,3,2,2
184,185,12,23,19
185,186,5,12,6
186,187,133,278,88
187,188,38,96,29
188,189,17,50,19
189,190,7,23,20
190,191,7,11,11
191,192,53,116,65
192,193,159,361,77
193,194,3,4,4
194,195,350,781,128
195,196,289,253,101
196,197,5,4,4
197,198,1506,3097,256
198,199,42,74,30
199,200,19,46,27
200,201,16,26,17
201,202,4,9,6
202,203,7,20,13
203,204,15,31,16
204,205,2,3,3
205,206,316,497,86
206,207,13,21,8
207,208,9,21,9
208,209,32,55,18
209,210,80,151,59
210,211,14,12,8
211,212,23,15,11
212,213,48,73,20
213,214,64,78,26
214,215,46,62,31
215,216,38,86,42
216,217,15,30,19
217,218,95,206,44
