,tag,ct,cotag,cotag_u
0,1,81,127,50
1,2,11,14,11
2,3,7,9,6
3,4,9,17,12
4,5,24,26,18
5,6,66,54,26
6,7,32,62,31
7,8,10,9,6
8,9,24,40,23
9,10,1,2,2
10,11,10,14,10
11,12,69,112,39
12,13,225,158,48
13,14,22,43,29
14,15,6,16,13
15,16,4,10,8
16,17,2,4,4
17,18,6,13,11
18,19,11,19,12
19,20,4,11,8
20,21,5,16,12
21,22,1,4,4
22,23,28,25,14
23,24,9,15,12
24,25,21,42,22
25,26,19,27,18
26,27,9,18,14
27,28,5,8,5
28,29,1,2,2
29,30,4,8,8
30,31,13,14,12
31,32,10,13,11
32,33,4,9,8
33,34,3,8,8
34,35,1,2,2
35,36,8,17,16
36,37,9,18,11
37,38,8,12,9
38,39,8,14,8
39,40,3,6,6
40,41,6,9,9
41,42,43,64,23
42,43,45,46,18
43,44,2,2,2
44,45,15,17,10
45,46,44,39,17
46,47,21,19,10
47,48,8,18,8
48,49,4,9,7
49,50,4,9,8
50,51,9,3,2
51,52,49,44,18
52,53,4,9,8
53,54,1,2,2
54,55,2,4,3
55,56,2,5,5
56,57,2,4,4
57,58,4,7,4
58,59,5,12,12
59,60,2,5,4
60,61,2,5,4
61,62,3,6,5
62,63,3,5,5
63,64,4,3,3
64,65,29,25,15
65,66,8,0,0
66,67,3,5,4
67,68,3,7,4
68,69,3,8,7
69,70,2,5,5
70,71,15,24,10
71,72,3,6,6
72,73,11,9,7
73,74,1,1,1
74,75,5,7,6
75,76,6,10,8
76,77,2,5,5
77,78,2,4,4
78,79,2,4,3
79,80,1,1,1
80,81,3,9,7
81,82,3,7,5
82,83,6,11,11
83,84,1,4,4
84,85,2,5,5
85,86,2,4,2
86,87,2,3,3
87,88,2,3,3
88,89,7,8,7
89,90,5,6,5
90,91,4,3,1
91,92,7,10,4
92,93,2,4,4
93,94,1,1,1
94,95,5,8,7
95,96,3,3,2
96,97,2,2,1
97,98,2,3,2
98,99,1,4,4
99,100,3,7,7
100,101,2,6,5
101,102,1,1,1
102,103,1,2,2
103,104,2,3,3
104,105,1,2,2
105,106,1,4,4
106,107,1,4,4
107,108,1,3,3
108,109,1,4,4
109,110,1,4,4
110,111,1,4,4
111,112,1,2,2
112,113,2,6,6
113,114,1,1,1
