,tag,ct,cotag,cotag_u
0,1,381,520,117
1,2,1066,2471,330
2,3,2022,4303,515
3,4,532,1229,266
4,5,192,423,129
5,6,314,712,197
6,7,478,1159,283
7,8,779,1466,266
8,9,3729,7262,619
9,10,23588,46408,1202
10,11,809,1596,345
11,12,171,366,154
12,13,577,1390,292
13,14,69,139,93
14,15,271,660,223
15,16,1494,3368,509
16,17,146,329,127
17,18,152,315,125
18,19,855,1819,292
19,20,14280,26872,973
20,21,433,1028,199
21,22,170,403,135
22,23,264,526,154
23,24,162,265,111
24,25,237,520,126
25,26,1181,2177,316
26,27,306,569,142
27,28,639,1090,275
28,29,481,1070,246
29,30,194,373,142
30,31,173,407,134
31,32,16,32,22
32,33,122,253,107
33,34,20,37,28
34,35,5391,10314,583
35,36,454,906,258
36,37,102,276,115
37,38,981,1985,372
38,39,333,774,171
39,40,359,613,144
40,41,3,6,6
41,42,3227,6255,511
42,43,941,1887,303
43,44,54,118,52
44,45,621,1218,327
45,46,113,245,115
46,47,1814,3866,469
47,48,57,124,66
48,49,250,481,115
49,50,300,677,159
50,51,263,517,138
51,52,198,474,160
52,53,21,46,28
53,54,243,530,129
54,55,103,236,83
55,56,454,951,238
56,57,641,1234,272
57,58,313,715,228
58,59,1269,2694,438
59,60,567,1242,314
60,61,29,47,32
61,62,1176,2506,297
62,63,60,145,55
63,64,494,1240,203
64,65,84,175,54
65,66,1177,1865,356
66,67,10,22,11
67,68,221,453,162
68,69,486,1059,210
69,70,175,311,87
70,71,404,863,231
71,72,381,920,250
72,73,453,1110,190
73,74,36,87,40
74,75,74,151,75
75,76,3279,7338,617
76,77,339,777,182
77,78,373,823,187
78,79,305,598,177
79,80,128,227,112
80,81,71,124,68
81,82,687,1237,265
82,83,337,764,251
83,84,92,220,81
84,85,124,256,88
85,86,159,343,107
86,87,1078,1807,284
87,88,186,415,123
88,89,244,507,132
89,90,117,296,93
90,91,135,227,74
91,92,142,345,141
92,93,624,1426,292
93,94,127,228,81
94,95,21,56,44
95,96,24,47,35
96,97,482,746,177
97,98,16,27,17
98,99,23,36,21
99,100,300,755,148
100,101,124,347,101
101,102,83,199,81
102,103,673,1705,248
103,104,62,157,66
104,105,1024,2558,332
105,106,14,25,17
106,107,190,462,163
107,108,61,148,91
108,109,42,102,44
109,110,451,961,175
110,111,179,453,128
111,112,98,214,74
112,113,14,29,19
113,114,9,20,17
114,115,137,346,139
115,116,665,1544,213
116,117,719,1700,265
117,118,154,387,116
118,119,3,3,3
119,120,5,7,7
120,121,101,206,85
121,122,54,126,50
122,123,8,16,13
123,124,527,1239,195
124,125,61,141,69
125,126,299,567,162
126,127,36,75,35
127,128,710,1569,344
128,129,28,74,33
129,130,609,1396,283
130,131,196,516,163
131,132,24,56,35
132,133,95,191,103
133,134,626,1145,258
134,135,613,1322,183
135,136,58,112,54
136,137,19,39,29
137,138,19,46,31
138,139,104,213,99
139,140,77,159,78
140,141,9,17,14
141,142,438,845,245
142,143,103,191,80
143,144,147,364,113
144,145,299,568,132
145,146,56,130,48
146,147,323,755,239
147,148,103,207,114
148,149,80,171,63
149,150,64,181,61
150,151,189,512,117
151,152,345,850,203
152,153,67,170,77
153,154,8,14,9
154,155,29,68,30
155,156,28,44,28
156,157,229,501,128
157,158,33,90,44
158,159,57,118,59
159,160,165,317,104
160,161,22,43,18
161,162,46,93,67
162,163,328,629,179
163,164,164,378,60
164,165,73,153,44
165,166,243,552,140
166,167,227,410,118
167,168,291,652,198
168,169,58,115,64
169,170,391,907,220
170,171,113,261,57
171,172,726,1549,306
172,173,46,95,47
173,174,319,774,243
174,175,451,990,253
175,176,79,192,101
