,tag,ct,cotag,cotag_u
0,1,63,106,49
1,2,6,11,5
2,3,25,51,31
3,4,77,147,58
4,5,19,35,21
5,6,23,45,26
6,7,4,12,11
7,8,105,228,82
8,9,82,135,63
9,10,75,149,65
10,11,32,65,34
11,12,19,32,18
12,13,24,37,21
13,14,2,2,2
14,15,432,811,172
15,16,65,140,61
16,17,8,15,14
17,18,132,262,76
18,19,602,1340,150
19,20,43,103,41
20,21,39,69,34
21,22,762,1691,184
22,23,88,210,52
23,24,405,835,143
24,25,42,96,42
25,26,128,306,81
26,27,17,44,23
27,28,56,140,61
28,29,93,150,57
29,30,173,349,58
30,31,7,10,8
31,32,705,1303,178
32,33,20,46,18
33,34,33,61,42
34,35,25,50,35
35,36,276,549,101
36,37,135,243,87
37,38,102,138,51
38,39,503,1153,164
39,40,61,121,50
40,41,12,31,21
41,42,24,51,30
42,43,449,998,134
43,44,28,49,30
44,45,13,25,21
45,46,45,84,51
46,47,257,624,108
47,48,196,471,100
48,49,427,926,188
49,50,697,1271,168
50,51,112,255,53
51,52,81,199,79
52,53,11,8,3
53,54,128,302,100
54,55,22,27,22
55,56,8,13,11
56,57,53,130,52
57,58,2,6,4
58,59,233,547,139
59,60,16,34,22
60,61,151,353,84
61,62,88,132,57
62,63,48,89,39
63,64,5,12,9
64,65,19,31,22
65,66,82,141,57
66,67,149,259,97
67,68,132,290,93
68,69,119,301,79
69,70,27,33,17
70,71,9,13,11
71,72,235,536,128
72,73,84,163,50
73,74,140,275,111
74,75,15,26,19
75,76,34,75,34
76,77,3,7,7
77,78,29,53,24
78,79,20,51,29
79,80,66,138,56
80,81,11,28,16
81,82,37,78,30
82,83,2,6,3
83,84,11,27,15
84,85,8,16,11
85,86,3,7,6
86,87,40,76,37
87,88,83,151,62
88,89,22,32,24
89,90,164,302,102
90,91,25,44,23
91,92,20,47,31
92,93,10,20,10
93,94,62,119,51
94,95,53,133,49
95,96,4,15,13
96,97,20,46,25
97,98,43,93,52
98,99,60,136,49
99,100,167,337,95
100,101,9,17,13
101,102,581,1129,191
102,103,73,177,55
103,104,522,1166,139
104,105,88,160,50
105,106,46,122,35
106,107,164,409,106
107,108,46,97,42
108,109,178,351,100
109,110,64,146,41
110,111,83,160,59
111,112,64,109,54
112,113,106,174,42
113,114,69,155,68
114,115,7,8,4
115,116,18,25,15
116,117,11,22,13
117,118,33,75,38
118,119,21,47,25
119,120,6,12,7
120,121,59,107,45
121,122,48,104,50
122,123,25,64,30
123,124,40,77,38
124,125,13,24,16
125,126,263,575,96
126,127,78,187,61
127,128,34,75,32
128,129,77,137,51
129,130,38,79,39
130,131,29,66,41
131,132,72,153,64
132,133,14,16,14
133,134,41,86,48
134,135,14,21,17
135,136,2,2,1
136,137,10,21,14
137,138,111,250,77
138,139,55,135,38
139,140,5,8,7
140,141,95,207,47
141,142,40,77,48
142,143,30,48,25
143,144,14,29,18
144,145,103,186,69
145,146,38,52,22
146,147,6,13,11
147,148,13,32,13
148,149,4,3,2
149,150,4,6,6
150,151,155,373,76
151,152,8,16,9
152,153,35,82,48
153,154,10,25,19
154,155,57,117,47
155,156,73,131,54
156,157,6,21,16
157,158,3,6,6
158,159,5,8,8
159,160,57,100,52
160,161,19,34,23
161,162,14,25,12
162,163,54,117,36
163,164,59,137,38
164,165,6,8,8
165,166,38,62,32
166,167,35,70,26
167,168,38,84,42
168,169,81,183,71
169,170,14,35,19
170,171,68,155,51
171,172,21,38,26
172,173,81,170,67
173,174,41,83,45
174,175,14,37,25
175,176,10,16,13
176,177,19,46,22
177,178,38,105,40
178,179,34,79,40
179,180,94,219,63
180,181,31,93,39
181,182,16,29,19
182,183,189,453,104
183,184,4,6,5
184,185,30,62,30
185,186,2,3,3
186,187,74,138,53
187,188,5,13,12
188,189,22,46,31
189,190,51,125,56
190,191,172,404,83
191,192,73,148,66
192,193,4,6,6
193,194,2,2,2
194,195,5,16,13
195,196,66,164,39
196,197,38,95,55
197,198,205,449,108
198,199,78,187,65
199,200,6,14,12
200,201,4,7,7
201,202,21,50,26
202,203,2,6,5
203,204,6,20,17
204,205,30,71,21
205,206,3,7,5
206,207,25,65,21
207,208,7,11,9
208,209,56,141,44
209,210,19,39,12
210,211,9,23,13
211,212,9,18,18
212,213,29,59,24
213,214,16,38,29
214,215,48,88,46
215,216,12,14,13
216,217,22,46,28
217,218,7,13,10
218,219,101,257,83
219,220,5,9,7
220,221,10,20,15
221,222,28,58,38
222,223,76,136,44
223,224,7,17,11
224,225,16,43,29
225,226,26,67,21
226,227,32,81,45
227,228,3,7,7
228,229,20,50,23
229,230,11,27,23
230,231,8,24,20
231,232,4,10,8
232,233,20,46,27
233,234,86,203,67
234,235,13,30,21
235,236,4,10,6
236,237,15,47,26
237,238,20,54,38
238,239,64,142,47
239,240,8,10,7
240,241,1,2,2
241,242,8,16,15
242,243,12,32,18
243,244,4,11,9
244,245,15,24,9
245,246,3,6,5
246,247,22,54,37
247,248,24,60,38
248,249,13,13,11
249,250,18,35,12
250,251,26,70,23
251,252,27,59,25
252,253,31,75,54
253,254,16,46,25
254,255,15,32,27
255,256,208,460,113
256,257,20,56,28
257,258,30,58,35
258,259,2,5,4
259,260,9,25,16
260,261,6,8,4
261,262,25,65,34
262,263,10,22,18
263,264,6,13,12
264,265,9,25,16
265,266,2,6,4
266,267,4,5,5
267,268,18,46,20
268,269,84,168,54
269,270,17,39,30
270,271,49,93,42
271,272,8,10,8
272,273,4,8,7
273,274,14,30,23
274,275,9,17,12
275,276,4,8,8
276,277,19,38,24
277,278,3,6,3
278,279,3,7,7
279,280,40,77,33
280,281,8,21,18
281,282,29,61,37
282,283,3,7,7
283,284,90,228,78
284,285,13,28,11
285,286,1,3,3
286,287,5,7,3
287,288,4,8,5
288,289,5,12,11
289,290,7,21,15
290,291,2,5,5
291,292,15,44,27
292,293,3,6,6
293,294,4,10,7
294,295,3,6,4
295,296,8,13,12
296,297,9,25,20
297,298,2,3,3
298,299,7,15,10
299,300,2,5,4
300,301,10,14,13
301,302,6,11,6
302,303,3,8,8
303,304,5,15,8
304,305,9,14,8
305,306,2,5,5
306,307,3,3,3
307,308,5,14,11
308,309,4,8,7
309,310,7,15,14
310,311,6,15,13
311,312,10,23,11
312,313,2,5,4
313,314,2,2,2
314,315,6,12,11
315,316,2,3,3
316,317,3,9,8
317,318,3,5,4
318,319,10,21,14
319,320,6,12,9
320,321,5,13,10
321,322,9,22,16
322,323,41,90,48
323,324,4,9,7
324,325,5,13,11
325,326,5,8,4
326,327,2,1,1
327,328,3,7,6
328,329,4,7,6
329,330,7,16,13
330,331,7,17,13
331,332,5,11,8
332,333,2,6,6
333,334,2,3,3
334,335,2,6,6
335,336,6,11,9
336,337,3,3,3
337,338,6,16,15
338,339,1,3,3
339,340,4,3,2
