,tag,ct,cotag,cotag_u
0,1,4140,7833,755
1,2,3445,7937,860
2,3,1654,3088,399
3,4,33,68,31
4,5,3012,7578,548
5,6,376,801,260
6,7,1722,4363,741
7,8,353,918,216
8,9,599,1459,433
9,10,409,1053,266
10,11,307,623,195
11,12,14017,33235,1866
12,13,2161,5181,895
13,14,5009,10838,1044
14,15,31297,79309,2534
15,16,12908,32190,1895
16,17,4476,10563,875
17,18,1041,2420,444
18,19,788,1948,381
19,20,158,402,202
20,21,908,2350,349
21,22,2039,5148,603
22,23,3166,5979,713
23,24,265,671,224
24,25,305,756,275
25,26,3164,7391,961
26,27,3171,8229,888
27,28,8573,19145,1378
28,29,887,1702,304
29,30,12237,31023,1559
30,31,5758,14409,1338
31,32,88,228,122
32,33,2160,5046,803
33,34,629,1553,398
34,35,379,818,260
35,36,6614,16526,1069
36,37,5475,13080,831
37,38,2905,6279,607
38,39,762,1474,250
39,40,1065,2713,589
40,41,1520,3375,559
41,42,218,478,205
42,43,170,455,223
43,44,15994,35353,1406
44,45,1827,4165,315
45,46,1725,3894,334
46,47,3928,10109,756
47,48,846,1518,336
48,49,197,452,203
49,50,22,47,25
50,51,45,119,67
51,52,41,98,62
52,53,305,786,344
53,54,2787,7491,982
54,55,311,835,255
55,56,582,1486,341
56,57,523,1381,463
57,58,74,122,68
58,59,469,1167,262
59,60,493,1244,359
60,61,258,676,239
61,62,5394,13766,927
62,63,985,2591,434
63,64,22,49,22
64,65,394,1065,302
65,66,933,2291,511
66,67,384,1054,307
67,68,148,404,123
68,69,1141,3018,583
69,70,1619,4248,624
70,71,1613,4292,588
71,72,1013,2442,339
72,73,240,633,165
73,74,203,531,208
74,75,93,201,119
75,76,3142,8015,848
76,77,883,2053,299
77,78,131,315,81
78,79,706,1988,246
79,80,23,77,34
80,81,47,105,66
81,82,342,757,279
82,83,7256,14707,1116
83,84,338,731,134
84,85,66,169,47
85,86,1568,3910,653
86,87,1076,2606,476
87,88,1739,4151,604
88,89,92,189,107
89,90,54,145,97
90,91,106,235,100
91,92,1076,2607,589
92,93,418,998,267
93,94,1769,4750,697
94,95,358,837,260
95,96,103,249,118
96,97,2353,6144,513
97,98,382,1068,216
98,99,2025,4409,522
99,100,266,716,179
100,101,53,152,72
101,102,112,300,92
102,103,38,80,44
103,104,52,140,100
104,105,64,159,95
105,106,5947,15124,1418
106,107,195,497,211
107,108,30,79,37
108,109,102,234,119
109,110,166,402,137
110,111,15,36,24
111,112,192,428,172
112,113,8329,18520,1058
113,114,72,178,59
114,115,738,1982,446
115,116,580,1488,326
116,117,172,377,138
117,118,87,129,46
118,119,8,22,20
119,120,523,1380,377
120,121,973,2310,382
121,122,136,294,171
122,123,128,319,130
123,124,534,945,177
124,125,543,1365,375
125,126,627,1677,440
126,127,515,0,0
127,128,1155,2427,339
128,129,18,46,26
129,130,3378,8969,876
130,131,6812,15355,1105
131,132,789,1977,438
132,133,308,574,187
133,134,39,86,51
134,135,179,335,109
135,136,2558,6232,566
136,137,1172,2822,327
137,138,106,195,82
138,139,4973,10198,585
139,140,774,1901,404
140,141,402,926,264
141,142,287,757,287
142,143,156,411,179
143,144,2156,5435,688
144,145,1782,4496,473
145,146,420,1146,280
146,147,564,1279,238
147,148,40,89,40
148,149,41,108,69
149,150,13,31,25
150,151,1364,3419,701
151,152,126,332,117
152,153,2673,7132,979
153,154,524,1198,268
154,155,5443,12622,1094
155,156,49,59,39
156,157,50,121,64
157,158,84,169,95
158,159,1724,4481,541
159,160,430,1102,341
160,161,1327,3378,623
161,162,368,826,237
162,163,97,176,70
163,164,621,1614,420
164,165,141,351,179
165,166,591,1563,460
166,167,2286,5735,1019
167,168,45,114,77
168,169,326,656,207
169,170,53,82,53
170,171,12271,23942,1214
171,172,1919,4365,585
172,173,186,397,155
173,174,147,348,142
174,175,811,2176,385
175,176,725,1856,342
176,177,94,192,72
177,178,151,392,149
178,179,19,43,34
179,180,2836,6672,812
180,181,1109,2839,477
181,182,338,822,263
182,183,2200,4775,597
183,184,75,135,49
184,185,2124,5599,816
185,186,15,29,22
186,187,2209,5710,654
187,188,114,314,116
188,189,186,460,191
189,190,217,460,145
190,191,9753,21477,1052
191,192,1559,4246,476
192,193,301,846,208
193,194,1126,2542,439
194,195,636,1365,377
195,196,1480,3350,616
196,197,78,184,103
197,198,657,1743,454
198,199,117,302,96
199,200,56,120,60
200,201,214,487,137
201,202,126,271,81
202,203,80,217,88
203,204,64,171,66
204,205,679,1899,433
205,206,607,1464,365
206,207,37,97,68
207,208,234,525,178
208,209,2586,6506,767
209,210,34,95,42
210,211,63,191,72
211,212,32,91,39
212,213,2224,5880,738
213,214,520,1427,333
214,215,1747,4224,502
215,216,134,283,118
216,217,33,80,57
217,218,917,2052,345
218,219,44,91,54
219,220,23,43,33
220,221,75,173,87
221,222,1388,3537,578
222,223,203,422,101
223,224,475,1281,242
224,225,2411,5660,636
225,226,27,72,37
226,227,803,2253,311
227,228,25,81,47
228,229,621,1562,388
229,230,1315,2921,702
230,231,1536,3710,691
231,232,17,47,37
232,233,1523,3633,616
233,234,120,325,151
234,235,1945,5534,604
235,236,14,32,24
236,237,357,764,218
237,238,205,554,143
238,239,955,2280,549
239,240,1330,2806,477
240,241,1280,2962,506
241,242,850,2283,353
242,243,35,92,48
243,244,353,776,263
244,245,1192,3173,515
245,246,468,969,168
246,247,214,584,130
247,248,1993,4503,569
248,249,1392,3454,681
249,250,106,189,69
250,251,176,458,233
251,252,516,1321,409
252,253,381,765,208
253,254,242,546,160
254,255,159,360,119
255,256,419,1039,259
256,257,539,1134,199
257,258,200,516,106
258,259,31,80,43
259,260,1070,2674,402
260,261,5018,11837,780
261,262,74,171,72
262,263,275,600,216
263,264,320,772,334
264,265,178,329,99
265,266,56,123,35
266,267,165,429,121
267,268,945,2200,509
268,269,2410,5678,884
269,270,430,1004,232
270,271,37,107,66
271,272,51,109,56
272,273,66,168,81
273,274,176,439,136
274,275,37,74,56
275,276,37,105,68
276,277,1058,2344,548
277,278,2269,5380,628
278,279,41,118,60
279,280,9,23,19
280,281,572,1486,331
281,282,38,93,65
282,283,74,160,81
283,284,121,323,118
284,285,281,506,141
285,286,96,240,71
286,287,344,802,221
287,288,66,147,67
288,289,52,116,76
289,290,5,11,9
290,291,2731,7228,884
291,292,260,593,204
292,293,206,481,171
293,294,2366,5192,559
294,295,1553,3983,712
295,296,323,839,277
296,297,36,103,61
297,298,181,435,112
298,299,76,196,117
299,300,153,372,128
300,301,18,37,35
301,302,6,15,12
302,303,97,245,132
303,304,204,501,183
304,305,1177,2789,337
305,306,1152,2472,316
306,307,348,492,167
307,308,25,58,27
308,309,719,1432,415
309,310,385,925,284
310,311,502,1017,207
311,312,953,1783,274
312,313,39,104,69
313,314,265,606,157
314,315,268,609,158
315,316,152,390,92
316,317,43,112,79
317,318,62,159,66
318,319,768,1876,351
319,320,179,379,90
320,321,922,2205,413
321,322,37,88,62
322,323,1265,3210,514
323,324,142,333,101
324,325,15,36,33
325,326,1794,4011,421
326,327,270,757,236
327,328,591,1499,408
328,329,21,51,30
329,330,129,284,116
330,331,529,1265,286
331,332,2658,5821,497
332,333,194,496,109
333,334,134,330,150
334,335,1536,2923,582
335,336,123,313,137
336,337,349,875,284
337,338,235,609,225
338,339,64,150,95
339,340,21,49,22
340,341,13,32,23
341,342,501,1307,432
342,343,246,670,224
343,344,1299,3150,424
344,345,452,1196,209
345,346,55,130,83
346,347,75,183,81
347,348,117,315,113
348,349,61,148,75
349,350,215,592,124
350,351,665,1736,337
351,352,34,102,45
352,353,74,196,69
353,354,81,244,82
354,355,69,149,82
355,356,249,673,235
356,357,329,723,231
357,358,218,601,230
358,359,52,134,61
359,360,6,18,18
360,361,211,547,197
361,362,14,30,25
362,363,161,438,127
363,364,16,45,23
364,365,737,1769,378
365,366,57,147,64
366,367,814,2075,545
367,368,76,175,90
368,369,12,30,18
369,370,180,465,233
370,371,82,189,95
371,372,43,81,40
372,373,435,1123,381
373,374,141,323,146
374,375,5,10,8
375,376,55,134,95
376,377,685,1717,293
377,378,103,250,110
378,379,259,683,214
379,380,213,519,272
380,381,194,443,114
381,382,93,242,147
382,383,257,621,191
383,384,119,290,116
384,385,944,2358,497
385,386,249,621,192
386,387,239,590,133
387,388,9071,22942,1600
388,389,535,1182,257
389,390,1344,3573,595
390,391,117,294,129
391,392,1220,2326,395
392,393,299,698,280
393,394,6,15,13
394,395,785,1789,306
395,396,1321,3259,616
396,397,583,1517,350
397,398,1862,5071,744
398,399,907,2391,369
399,400,17,43,24
400,401,248,603,197
401,402,484,1272,303
402,403,53,128,61
403,404,25,58,33
404,405,19,41,27
405,406,1328,3123,430
406,407,18,40,26
407,408,1,3,3
408,409,822,2299,459
409,410,262,713,257
410,411,1083,2444,454
411,412,260,640,202
412,413,233,468,139
413,414,48,83,50
414,415,43,121,76
415,416,344,957,268
416,417,445,1143,312
417,418,203,486,213
418,419,482,1260,206
419,420,2795,7636,611
420,421,206,546,128
421,422,1191,2486,408
422,423,100,176,106
423,424,36,58,42
424,425,7,12,7
425,426,229,394,117
426,427,61,164,76
427,428,267,689,165
428,429,181,513,188
429,430,89,226,66
430,431,96,268,51
431,432,96,239,104
432,433,1550,3817,511
433,434,36,80,61
434,435,15,39,34
435,436,248,613,188
436,437,43,102,51
437,438,38,87,21
438,439,805,1795,338
439,440,2173,5556,574
440,441,822,1676,293
441,442,55,134,58
442,443,139,337,126
443,444,10,34,22
444,445,49,98,58
445,446,190,430,199
446,447,346,895,280
447,448,12,23,19
448,449,1047,2757,429
449,450,477,1118,232
450,451,368,853,186
451,452,220,557,211
452,453,8,20,19
453,454,2701,5860,764
454,455,518,1288,326
455,456,649,1773,191
456,457,348,862,251
457,458,20,45,33
458,459,15,41,31
459,460,9,29,18
460,461,195,515,208
461,462,7,12,9
462,463,294,727,214
463,464,102,253,109
464,465,151,367,132
465,466,11,29,23
466,467,526,1000,229
467,468,69,151,70
468,469,172,326,73
469,470,353,787,135
470,471,15,33,27
471,472,891,2382,496
472,473,164,390,107
473,474,44,123,57
474,475,656,1661,408
475,476,196,399,141
476,477,347,868,203
477,478,19,46,25
478,479,284,748,210
479,480,99,232,118
480,481,383,931,228
481,482,43,110,65
482,483,25,68,34
483,484,404,963,202
484,485,953,2580,454
485,486,21,56,29
486,487,136,365,151
487,488,40,101,43
488,489,486,1182,339
489,490,1207,1939,443
490,491,41,106,58
491,492,129,337,161
492,493,44,118,54
493,494,159,371,127
494,495,115,301,109
495,496,22,44,16
496,497,7,13,13
497,498,142,281,95
498,499,9,15,13
499,500,186,444,172
500,501,313,674,218
501,502,48,142,100
502,503,103,267,156
503,504,7,21,16
504,505,634,1492,132
505,506,18,55,38
506,507,421,1161,283
507,508,503,1395,318
508,509,331,966,234
509,510,683,1850,412
510,511,290,760,180
511,512,25,65,52
512,513,109,261,146
513,514,42,109,70
514,515,72,183,108
515,516,1351,3759,450
516,517,128,309,120
517,518,1316,3395,429
518,519,52,146,76
519,520,169,376,81
520,521,783,1908,343
521,522,362,932,205
522,523,94,260,96
523,524,112,289,99
524,525,98,233,67
525,526,1085,2353,455
526,527,345,759,252
527,528,9,20,13
528,529,48,129,70
529,530,317,895,171
530,531,131,372,140
531,532,141,264,112
532,533,47,106,66
533,534,9,22,18
534,535,332,882,189
535,536,887,1839,276
536,537,268,759,227
537,538,15,35,30
538,539,77,185,81
539,540,495,1311,245
540,541,1207,2952,292
541,542,174,421,137
542,543,155,423,113
543,544,528,933,215
544,545,61,145,67
545,546,10,25,23
546,547,286,647,213
547,548,248,610,223
548,549,168,433,154
549,550,605,1550,219
550,551,235,642,124
551,552,471,1367,328
552,553,129,294,98
553,554,12,31,22
554,555,8,18,16
555,556,65,142,82
556,557,55,110,45
557,558,100,244,71
558,559,3,5,5
559,560,30,44,40
560,561,23,47,25
561,562,8,18,13
562,563,46,97,47
563,564,300,719,227
564,565,206,394,155
565,566,21,50,20
566,567,2,8,6
567,568,95,175,68
568,569,36,79,42
569,570,29,70,39
570,571,36,79,36
571,572,26,71,55
572,573,91,211,95
573,574,34,57,30
574,575,18,41,25
575,576,148,373,129
576,577,67,173,115
577,578,16,45,35
578,579,123,296,137
579,580,41,102,76
580,581,14,34,25
581,582,282,711,225
582,583,92,245,110
583,584,12,29,25
584,585,69,142,70
585,586,66,151,87
586,587,382,1001,308
587,588,177,458,160
588,589,70,178,74
589,590,164,405,115
590,591,134,339,177
591,592,61,146,94
592,593,38,100,41
593,594,113,276,133
594,595,16,29,26
595,596,30,65,45
596,597,37,89,33
597,598,85,163,82
598,599,15,31,18
599,600,113,294,161
600,601,67,141,52
601,602,412,1080,181
602,603,513,1125,264
603,604,317,721,166
604,605,420,1054,305
605,606,289,689,233
606,607,725,1601,332
607,608,282,712,186
608,609,59,159,69
609,610,18,31,21
610,611,750,1873,380
611,612,55,141,81
612,613,139,349,157
613,614,98,212,72
614,615,11,18,17
615,616,537,1243,290
616,617,211,490,156
617,618,50,127,57
618,619,177,437,138
619,620,112,218,101
620,621,90,227,62
621,622,87,234,81
622,623,28,70,53
623,624,12,17,12
624,625,45,80,61
625,626,410,1039,272
626,627,1007,2581,348
627,628,264,690,257
628,629,17,34,19
629,630,60,144,78
630,631,50,141,68
631,632,168,445,136
632,633,13,43,24
633,634,434,1062,309
634,635,127,302,161
635,636,326,842,216
636,637,152,393,189
637,638,1589,3051,523
638,639,266,727,135
639,640,122,279,136
640,641,378,1018,238
641,642,61,170,79
642,643,2353,5754,527
643,644,1818,4822,584
644,645,143,331,151
645,646,68,147,72
646,647,14,32,24
647,648,30,86,53
648,649,42,111,55
649,650,171,392,110
650,651,82,201,108
651,652,57,135,72
652,653,54,137,88
653,654,623,1537,352
654,655,1237,3032,372
655,656,4,8,7
656,657,620,1525,293
657,658,33,78,40
658,659,371,1070,309
659,660,83,230,100
660,661,19,35,29
661,662,127,294,101
662,663,634,1738,245
663,664,51,148,52
664,665,16,26,21
665,666,70,165,84
666,667,294,778,260
667,668,27,63,40
668,669,36,100,59
669,670,100,218,69
670,671,155,468,116
671,672,11,24,17
672,673,1,3,3
673,674,793,2058,378
674,675,69,202,82
675,676,112,287,148
676,677,178,480,170
677,678,104,220,105
678,679,31,63,42
679,680,514,1076,288
680,681,441,1114,201
681,682,223,573,236
682,683,10,24,18
683,684,48,129,73
684,685,29,77,48
685,686,193,471,161
686,687,386,973,247
687,688,77,194,80
688,689,22,49,38
689,690,117,281,111
690,691,912,2190,335
691,692,138,370,89
692,693,77,197,79
693,694,752,1747,291
694,695,41,113,58
695,696,140,236,91
696,697,354,901,354
697,698,605,1386,237
698,699,12,35,24
699,700,77,182,75
700,701,47,96,47
701,702,22,25,21
702,703,50,123,67
703,704,13,35,26
704,705,94,226,89
705,706,7,11,11
706,707,16,47,34
707,708,261,652,142
708,709,87,210,69
709,710,66,159,49
710,711,127,333,124
711,712,28,64,41
712,713,59,125,57
713,714,31,78,48
714,715,33,96,31
715,716,228,571,144
716,717,95,221,76
717,718,15,40,19
718,719,26,63,23
719,720,190,481,142
720,721,165,392,192
721,722,22,47,35
722,723,28,56,45
723,724,264,687,209
724,725,22,71,34
725,726,8,25,17
726,727,56,165,41
727,728,62,133,63
728,729,43,89,41
729,730,34,91,40
730,731,27,71,55
731,732,4,10,9
732,733,34,79,54
733,734,18,49,41
734,735,40,114,63
735,736,6,20,11
736,737,5,16,10
737,738,6,11,8
738,739,15,33,21
739,740,355,890,234
740,741,172,385,157
741,742,16,42,25
742,743,93,174,92
743,744,119,320,155
744,745,174,486,151
745,746,121,311,144
746,747,33,78,49
747,748,56,150,73
748,749,18,45,35
749,750,18,44,24
750,751,72,215,104
751,752,120,287,89
752,753,213,523,125
753,754,75,177,86
754,755,87,232,93
755,756,48,119,44
756,757,286,769,185
757,758,46,137,62
758,759,13,36,24
759,760,47,120,50
760,761,461,1230,352
761,762,86,201,86
762,763,126,324,102
763,764,44,126,65
764,765,31,80,67
765,766,57,131,68
766,767,9,22,19
767,768,138,307,157
768,769,93,229,100
769,770,23,51,36
770,771,31,82,56
771,772,72,135,91
772,773,248,600,174
773,774,23,68,30
774,775,17,48,23
775,776,40,94,31
776,777,13,32,18
777,778,44,99,50
778,779,4,8,8
779,780,293,784,176
780,781,83,127,58
781,782,203,261,112
782,783,359,841,282
783,784,284,623,172
784,785,113,210,91
785,786,19,46,37
786,787,189,518,222
787,788,145,294,131
788,789,39,94,56
789,790,9,30,21
790,791,349,822,195
791,792,146,397,165
792,793,51,137,83
793,794,109,269,102
794,795,41,102,52
795,796,12,34,24
796,797,81,197,93
797,798,12,34,14
798,799,37,86,50
799,800,2,3,3
800,801,63,166,88
801,802,1296,3331,520
802,803,409,1079,297
803,804,6,19,19
804,805,7,11,11
805,806,30,47,28
806,807,35,90,54
807,808,820,2259,329
808,809,42,81,44
809,810,575,1429,218
810,811,57,147,86
811,812,53,136,88
812,813,180,460,120
813,814,32,81,46
814,815,114,212,93
815,816,13,29,13
816,817,576,1518,256
817,818,88,215,97
818,819,329,728,206
819,820,350,729,197
820,821,43,81,42
821,822,2427,6163,599
822,823,9,21,19
823,824,51,108,69
824,825,462,1178,252
825,826,61,163,92
826,827,281,671,167
827,828,113,315,121
828,829,116,294,118
829,830,9,24,13
830,831,69,203,102
831,832,152,417,123
832,833,9,24,20
833,834,2209,4776,405
834,835,110,272,110
835,836,30,47,39
836,837,22,51,39
837,838,43,122,82
838,839,76,152,66
839,840,208,526,250
840,841,138,367,172
841,842,4,11,10
842,843,20,39,18
843,844,288,708,176
844,845,36,77,40
845,846,28,66,48
846,847,9,21,14
847,848,130,352,138
848,849,92,240,87
849,850,49,127,53
850,851,7,22,12
851,852,102,228,79
852,853,29,74,50
853,854,23,62,40
854,855,3,4,3
855,856,4,11,8
856,857,141,345,166
857,858,57,139,64
858,859,24,57,40
859,860,46,108,44
860,861,18,45,28
861,862,74,151,62
862,863,84,224,86
863,864,17,38,21
864,865,55,125,78
865,866,3,10,9
866,867,65,200,64
867,868,53,163,49
868,869,95,240,136
869,870,50,142,58
870,871,32,85,41
871,872,82,164,84
872,873,22,61,33
873,874,122,330,86
874,875,98,220,71
875,876,53,127,76
876,877,11,27,13
877,878,256,533,241
878,879,24,51,33
879,880,159,394,109
880,881,96,266,122
881,882,140,375,100
882,883,38,107,70
883,884,125,329,118
884,885,113,295,119
885,886,41,58,26
886,887,982,2054,426
887,888,189,490,188
888,889,42,97,52
889,890,16,52,30
890,891,30,73,37
891,892,34,77,43
892,893,48,114,43
893,894,74,215,122
894,895,48,121,81
895,896,30,78,56
896,897,19,46,26
897,898,31,80,38
898,899,529,1235,358
899,900,80,190,86
900,901,22,51,29
901,902,79,216,87
902,903,149,376,89
903,904,18,37,29
904,905,18,55,32
905,906,101,229,85
906,907,114,309,153
907,908,87,166,65
908,909,144,338,102
909,910,43,105,51
910,911,97,244,92
911,912,7,16,16
912,913,85,232,59
913,914,26,65,45
914,915,116,308,120
915,916,14,37,16
