,tag,ct,cotag,cotag_u
0,1,8221,17669,957
1,2,16,26,21
2,3,3784,9122,718
3,4,37,61,30
4,5,78,177,88
5,6,429,853,171
6,7,320,706,169
7,8,282,623,143
8,9,115,294,107
9,10,7,10,10
10,11,5,10,8
11,12,53,128,44
12,13,3,10,9
13,14,373,674,213
14,15,2262,4316,524
15,16,432,1061,238
16,17,3449,7077,648
17,18,376,839,165
18,19,557,1183,235
19,20,72,161,72
20,21,37,90,42
21,22,97,229,96
22,23,51,109,42
23,24,15,21,20
24,25,18,38,28
25,26,50,118,56
26,27,438,898,173
27,28,30,51,38
28,29,15,33,23
29,30,64,159,82
30,31,8,17,14
31,32,1123,2716,370
32,33,146,348,123
33,34,99,247,109
34,35,115,230,99
35,36,913,2038,290
36,37,138,321,72
37,38,442,904,183
38,39,117,257,98
39,40,685,1599,283
40,41,289,654,161
41,42,911,1999,310
42,43,419,890,195
43,44,8,13,12
44,45,53,116,54
45,46,146,322,147
46,47,5580,12716,949
47,48,391,888,200
48,49,214,536,124
49,50,43,95,64
50,51,21,43,30
51,52,9,26,18
52,53,710,1623,232
53,54,10,28,22
54,55,2447,5153,515
55,56,539,1220,287
56,57,3077,7034,640
57,58,698,1606,254
58,59,30,63,42
59,60,57,126,62
60,61,586,1357,290
61,62,221,480,101
62,63,4718,10644,674
63,64,573,1650,273
64,65,3187,6415,610
65,66,119,273,89
66,67,99,217,83
67,68,258,599,175
68,69,51,107,65
69,70,6,11,11
70,71,849,2105,360
71,72,11,24,17
72,73,4,5,5
73,74,20,43,32
74,75,66,146,52
75,76,966,2294,289
76,77,4523,10918,640
77,78,317,874,217
78,79,29,42,24
79,80,2836,6149,531
80,81,203,480,77
81,82,468,1089,235
82,83,199,406,142
83,84,4440,9285,539
84,85,2,2,2
85,86,67,143,77
86,87,696,1391,227
87,88,54,139,59
88,89,250,531,201
89,90,400,781,193
90,91,1328,2850,370
91,92,188,421,118
92,93,10293,21723,1051
93,94,17,38,27
94,95,190,411,127
95,96,85,199,87
96,97,318,685,176
97,98,465,953,156
98,99,134,324,87
99,100,139,286,100
100,101,28,62,41
101,102,900,2054,339
102,103,662,1497,307
103,104,12,31,22
104,105,27,70,42
105,106,831,1952,432
106,107,332,744,144
107,108,430,1007,215
108,109,4,11,11
109,110,220,442,141
110,111,264,499,175
111,112,107,220,99
112,113,53,106,54
113,114,79,138,73
114,115,155,332,116
115,116,283,665,180
116,117,11,22,20
117,118,926,1968,341
118,119,267,555,212
119,120,15,34,30
120,121,582,1312,240
121,122,36,83,44
122,123,424,940,218
123,124,6042,12963,680
124,125,278,590,130
125,126,56,87,52
126,127,139,289,97
127,128,366,890,146
128,129,45,121,50
129,130,7,12,10
130,131,326,816,154
131,132,29,58,31
132,133,139,262,82
133,134,16,26,24
134,135,89,187,66
135,136,1284,2881,377
136,137,686,1603,264
137,138,366,782,202
138,139,33,77,47
139,140,17,38,25
140,141,14,33,21
141,142,796,1698,222
142,143,173,385,89
143,144,457,1013,248
144,145,212,494,142
145,146,18,45,21
146,147,270,664,145
147,148,36,79,58
148,149,57,134,74
149,150,332,752,179
150,151,376,862,211
151,152,46,102,33
152,153,35,86,57
153,154,5,14,11
154,155,232,498,126
155,156,337,703,150
156,157,25,59,40
157,158,886,2045,287
158,159,13,32,29
159,160,19,48,34
160,161,210,443,163
161,162,28,68,39
