,tag,ct,cotag,cotag_u
0,1,26,36,15
1,2,255,406,139
2,3,596,830,178
3,4,171,294,81
4,5,25,47,20
5,6,1006,1895,290
6,7,54,74,29
7,8,16,29,16
8,9,13,19,11
9,10,1061,1683,276
10,11,47,86,32
11,12,33,51,29
12,13,4,6,5
13,14,4,9,7
14,15,10,18,16
15,16,37,73,39
16,17,121,148,58
17,18,31,49,19
18,19,31,54,24
19,20,353,572,174
20,21,118,178,79
21,22,4,9,8
22,23,23,42,22
23,24,63,104,51
24,25,59,109,64
25,26,30,60,23
26,27,13,25,18
27,28,66,135,64
28,29,7,16,7
29,30,5,10,7
30,31,69,107,47
31,32,4,6,5
32,33,24,38,21
33,34,95,157,66
34,35,64,106,43
35,36,20,30,18
36,37,14,25,9
37,38,15,19,12
38,39,118,195,76
39,40,93,199,81
40,41,72,104,55
41,42,39,66,45
42,43,20,31,20
43,44,55,98,44
44,45,62,112,45
45,46,3,5,4
46,47,39,77,42
47,48,17,35,26
48,49,307,480,151
49,50,123,219,75
50,51,57,87,45
51,52,82,130,68
52,53,16,26,13
53,54,5,10,8
54,55,5,6,6
55,56,650,1067,257
56,57,32,50,36
57,58,5,5,4
58,59,184,314,117
59,60,4,8,5
60,61,132,236,75
61,62,17,12,11
62,63,15,17,13
63,64,46,76,45
64,65,20,34,20
65,66,4,8,8
66,67,19,36,24
67,68,35,54,34
68,69,100,168,71
69,70,3,7,6
70,71,18,28,13
71,72,28,38,21
72,73,12,20,15
73,74,79,111,62
74,75,127,250,95
75,76,24,47,26
76,77,6,9,8
77,78,7,18,12
78,79,22,35,23
79,80,28,48,26
80,81,143,235,87
81,82,156,239,88
82,83,82,159,59
83,84,16,27,20
84,85,19,21,17
85,86,6,13,7
86,87,29,62,28
87,88,4,7,4
88,89,3,8,4
89,90,25,36,24
90,91,3,8,8
91,92,11,17,12
92,93,397,713,187
93,94,40,70,38
94,95,6,9,4
95,96,481,902,177
96,97,41,57,42
97,98,51,66,53
98,99,63,99,51
99,100,41,53,44
100,101,48,72,44
101,102,4,6,5
102,103,26,29,20
103,104,48,95,44
104,105,8,16,13
105,106,78,128,58
106,107,9,16,10
107,108,87,142,64
108,109,28,63,27
109,110,53,64,37
110,111,20,35,24
111,112,128,240,93
112,113,15,28,18
113,114,3,7,6
114,115,341,590,174
115,116,24,44,24
116,117,27,55,31
117,118,9,17,11
118,119,7,15,9
119,120,145,254,103
120,121,197,346,122
121,122,163,293,113
122,123,57,98,48
123,124,16,34,22
124,125,5,9,8
125,126,21,40,20
126,127,22,31,26
127,128,39,89,34
128,129,13,29,25
129,130,9,17,8
130,131,53,94,47
131,132,20,40,23
132,133,3,1,1
133,134,130,225,106
134,135,21,31,19
135,136,138,238,108
136,137,187,357,120
137,138,37,78,37
138,139,47,88,33
139,140,3,5,4
140,141,67,100,47
141,142,206,380,126
142,143,56,92,42
143,144,24,46,18
144,145,87,148,46
145,146,10,10,10
146,147,25,43,18
147,148,23,49,19
148,149,39,72,28
149,150,39,70,38
150,151,52,83,47
151,152,146,264,75
152,153,21,36,18
153,154,15,38,25
154,155,2,5,4
155,156,37,47,35
156,157,16,35,18
157,158,6,12,11
158,159,12,16,14
159,160,6,11,9
160,161,29,44,23
161,162,5,2,2
162,163,59,140,52
163,164,11,38,14
164,165,2,4,4
165,166,111,157,67
166,167,50,66,52
167,168,16,40,24
168,169,92,127,65
169,170,25,38,25
170,171,22,32,26
171,172,2,2,2
172,173,7,18,11
