,tag,ct,cotag,cotag_u
0,1,175,299,122
1,2,183,413,155
2,3,338,550,203
3,4,81,155,74
4,5,1243,2392,488
5,6,89,216,77
6,7,68,170,67
7,8,138,329,117
8,9,197,436,166
9,10,1330,3139,540
10,11,829,1768,345
11,12,40,99,40
12,13,6,5,5
13,14,199,385,181
14,15,151,186,85
15,16,614,1292,287
16,17,850,1721,345
17,18,26,54,34
18,19,3,5,4
19,20,277,292,125
20,21,56,84,52
21,22,27,61,46
22,23,15,31,24
23,24,193,285,126
24,25,50,102,64
25,26,20,56,40
26,27,30,73,56
27,28,113,197,111
28,29,476,1051,338
29,30,266,602,199
30,31,38,88,52
31,32,37,89,52
32,33,8,20,18
33,34,690,1735,445
34,35,556,1285,282
35,36,64,124,48
36,37,616,1299,334
37,38,558,1259,237
38,39,245,600,228
39,40,27,60,29
40,41,939,1949,281
41,42,60,124,62
42,43,599,972,370
43,44,311,588,250
44,45,175,390,126
45,46,336,649,192
46,47,16,37,30
47,48,3244,7666,683
48,49,115,283,102
49,50,4095,8915,879
50,51,855,1620,320
51,52,73,151,83
52,53,92,151,82
53,54,25,56,45
54,55,408,907,235
55,56,47,92,46
56,57,168,345,130
57,58,60,110,60
58,59,161,400,177
59,60,14,30,20
60,61,1337,2891,570
61,62,171,353,157
62,63,12,27,20
63,64,177,362,119
64,65,1315,2672,415
65,66,29,71,52
66,67,9,15,11
67,68,13,28,21
68,69,277,650,258
69,70,20,41,33
70,71,1121,2421,445
71,72,15,22,14
72,73,104,220,117
73,74,5,9,8
74,75,21,25,18
75,76,175,321,143
76,77,83,199,103
77,78,884,2318,465
78,79,244,577,212
79,80,14,30,21
80,81,196,450,176
81,82,79,193,100
82,83,40,93,52
83,84,824,1586,285
84,85,225,368,136
85,86,8,14,12
86,87,30,55,44
87,88,21,44,32
88,89,41,102,50
89,90,123,307,123
90,91,257,623,226
91,92,20,43,35
92,93,78,176,106
93,94,2524,5949,542
94,95,145,358,153
95,96,83,184,94
96,97,34,70,53
97,98,127,240,104
98,99,381,827,239
99,100,6,15,10
100,101,2,6,4
101,102,20,40,25
102,103,118,241,116
103,104,573,1457,332
104,105,166,391,141
105,106,382,713,178
106,107,97,213,85
107,108,102,248,141
108,109,16,37,20
109,110,3783,8419,780
110,111,1204,3013,567
111,112,122,255,119
112,113,107,230,93
113,114,55,123,59
114,115,212,420,201
115,116,47,100,62
116,117,283,517,177
117,118,126,235,131
118,119,14,28,21
119,120,8,25,22
120,121,155,394,170
121,122,78,139,84
122,123,466,1076,280
123,124,131,238,122
124,125,21,28,25
125,126,374,921,236
126,127,244,560,159
127,128,223,427,162
128,129,1812,4095,651
129,130,49,92,58
130,131,13,31,25
131,132,329,698,187
132,133,31,78,50
133,134,190,439,179
134,135,99,240,134
135,136,175,400,198
136,137,67,149,98
137,138,20,48,29
138,139,495,948,258
139,140,700,1488,377
140,141,110,213,110
141,142,1918,3092,449
142,143,178,386,160
143,144,74,180,92
144,145,5,11,9
145,146,116,172,85
146,147,69,64,42
147,148,82,179,87
148,149,65,152,104
149,150,47,98,58
150,151,76,143,64
151,152,252,486,139
152,153,1286,2230,280
153,154,129,293,115
154,155,53,88,46
155,156,12,15,12
156,157,15,29,22
157,158,823,1880,335
158,159,217,509,222
159,160,2,3,3
160,161,11,25,17
161,162,614,1215,179
162,163,24,55,26
163,164,116,273,117
164,165,153,367,135
165,166,114,228,127
166,167,86,143,82
167,168,274,655,251
168,169,227,473,175
169,170,6,14,8
170,171,72,145,100
171,172,128,315,107
172,173,244,477,177
173,174,61,146,96
174,175,100,192,82
175,176,124,279,102
176,177,7,14,12
177,178,53,127,72
178,179,78,184,95
179,180,369,752,180
180,181,63,163,74
181,182,50,101,62
182,183,3,4,4
183,184,26,60,23
184,185,18,38,24
185,186,40,103,64
186,187,255,526,204
187,188,202,492,166
188,189,73,150,77
189,190,91,200,88
190,191,66,155,96
191,192,35,67,47
192,193,2,3,3
193,194,220,465,174
194,195,79,184,107
195,196,41,75,48
196,197,208,523,154
197,198,27,71,47
198,199,14,31,24
199,200,1411,2915,591
200,201,272,585,247
201,202,54,110,60
202,203,103,216,130
203,204,28,66,38
204,205,29,57,49
205,206,74,122,72
206,207,123,259,129
207,208,123,214,121
208,209,3,5,5
209,210,11,22,14
210,211,42,104,70
211,212,12,28,22
212,213,9,20,16
213,214,3,5,5
214,215,5,4,4
215,216,67,134,72
216,217,33,81,49
217,218,15,32,22
218,219,20,47,39
219,220,16,33,23
220,221,173,329,104
221,222,77,180,69
222,223,137,342,89
223,224,573,1295,317
224,225,10,29,24
225,226,43,87,63
226,227,20,44,29
227,228,36,72,56
228,229,39,101,61
229,230,522,976,322
230,231,225,473,215
231,232,117,261,133
232,233,18,47,41
233,234,75,175,91
234,235,226,589,143
235,236,25,61,51
236,237,26,53,43
237,238,3707,8894,865
238,239,9,19,16
239,240,89,208,117
240,241,13,23,21
241,242,23,56,35
242,243,15,33,31
243,244,436,1076,267
244,245,9,21,16
245,246,93,194,101
246,247,1067,2307,482
247,248,11,26,23
248,249,29,63,50
249,250,25,57,42
250,251,200,402,153
251,252,81,205,93
252,253,264,638,180
253,254,480,966,134
254,255,12,24,21
255,256,22,49,20
256,257,35,77,36
257,258,95,207,116
258,259,570,1344,309
259,260,13,22,17
260,261,49,78,52
261,262,36,108,56
262,263,26,49,36
263,264,80,173,109
264,265,2142,4595,657
265,266,192,415,143
266,267,62,124,70
267,268,224,509,168
268,269,104,246,57
269,270,160,396,161
270,271,13,30,28
271,272,49,112,62
272,273,78,215,90
273,274,287,596,152
274,275,26,65,50
275,276,504,1078,260
276,277,23,55,41
277,278,99,258,110
278,279,20,55,47
279,280,2291,5880,737
280,281,42,90,37
281,282,13,32,24
282,283,26,66,35
283,284,27,79,51
284,285,54,131,70
285,286,228,511,200
286,287,31,81,56
287,288,75,146,90
288,289,48,108,78
289,290,290,586,178
290,291,138,236,94
291,292,208,489,184
292,293,5,7,7
293,294,1789,3911,621
294,295,52,113,84
295,296,11,18,15
296,297,13,26,24
297,298,125,306,148
298,299,228,642,204
299,300,50,90,50
300,301,53,114,74
301,302,129,321,142
302,303,56,141,76
303,304,3,6,6
304,305,31,50,38
305,306,4,5,4
306,307,66,161,73
307,308,18,39,26
308,309,206,487,179
309,310,20,29,22
310,311,6,7,6
311,312,17,33,26
312,313,65,129,56
313,314,912,2008,307
314,315,92,230,123
315,316,43,74,63
316,317,170,398,160
317,318,100,233,45
318,319,111,263,126
319,320,64,155,39
320,321,80,133,73
321,322,112,251,106
322,323,132,319,118
323,324,721,1517,339
324,325,28,66,50
325,326,9,10,9
326,327,18,44,33
327,328,104,265,133
328,329,135,286,101
329,330,90,205,114
330,331,309,768,263
331,332,176,328,87
332,333,32,75,49
333,334,158,394,147
334,335,65,150,68
335,336,63,159,81
336,337,1542,3703,578
337,338,20,46,36
338,339,25,55,45
339,340,114,266,54
340,341,155,355,66
341,342,102,251,129
342,343,421,1071,180
343,344,115,304,98
344,345,61,170,52
345,346,114,285,143
346,347,31,60,40
347,348,93,208,94
348,349,7,15,14
349,350,17,33,22
350,351,9,23,16
351,352,7,18,9
352,353,30,78,52
353,354,67,161,66
354,355,7,20,17
355,356,44,83,41
356,357,5,14,12
357,358,50,111,75
358,359,13,26,23
359,360,131,287,145
360,361,816,2074,421
361,362,215,496,162
362,363,33,35,27
363,364,19,42,38
364,365,21,35,31
365,366,127,299,72
366,367,7,14,8
367,368,20,44,34
368,369,12,25,21
369,370,88,175,87
370,371,85,196,129
371,372,294,728,155
372,373,140,298,147
373,374,133,330,135
374,375,29,55,45
375,376,3,6,5
376,377,30,68,39
377,378,5,12,11
378,379,81,163,76
379,380,98,170,99
380,381,19,40,27
381,382,35,69,35
382,383,27,61,41
383,384,34,94,61
384,385,3,8,7
385,386,60,162,93
386,387,44,99,43
387,388,3,6,6
388,389,7,12,12
389,390,4,6,5
390,391,56,91,53
391,392,10,18,9
392,393,4,6,6
393,394,130,291,107
394,395,114,239,119
395,396,17,42,29
396,397,3,7,5
397,398,78,179,39
398,399,5,7,7
399,400,231,578,151
400,401,35,77,52
401,402,7,15,15
402,403,158,425,112
403,404,73,161,98
404,405,18,47,29
405,406,13,29,16
406,407,11,31,17
407,408,7,11,11
408,409,6,11,9
409,410,55,125,60
410,411,74,198,84
411,412,143,344,114
412,413,7,6,6
413,414,51,116,60
414,415,313,711,253
415,416,239,521,204
416,417,56,137,55
417,418,28,74,58
418,419,26,58,40
419,420,24,50,33
420,421,41,83,46
421,422,60,137,73
422,423,16,35,30
423,424,152,372,160
424,425,233,535,208
425,426,14,32,24
426,427,34,76,48
427,428,19,50,32
428,429,241,489,177
429,430,171,400,137
430,431,48,130,56
431,432,51,109,67
432,433,3,6,6
433,434,79,173,94
434,435,18,29,27
435,436,532,1375,304
436,437,63,128,95
437,438,19,37,20
438,439,12,18,13
439,440,88,224,118
440,441,8,15,6
441,442,509,1164,342
442,443,34,68,44
443,444,44,109,67
444,445,15,39,37
445,446,161,380,179
446,447,108,231,104
447,448,6,14,14
448,449,100,263,118
449,450,71,164,85
450,451,17,42,32
451,452,115,214,54
452,453,26,63,46
453,454,64,157,92
454,455,150,273,117
455,456,23,57,38
456,457,92,212,94
457,458,3,6,6
458,459,8,13,12
459,460,29,71,28
460,461,16,42,19
461,462,97,238,99
462,463,29,67,47
463,464,42,90,34
464,465,24,51,25
465,466,2,3,3
466,467,10,32,19
467,468,19,43,27
468,469,199,481,194
469,470,11,20,20
470,471,67,150,78
471,472,28,61,48
472,473,132,309,117
473,474,877,1892,277
474,475,259,664,132
475,476,107,263,128
476,477,143,285,117
477,478,192,472,87
478,479,103,242,119
479,480,529,1296,270
480,481,55,116,76
481,482,119,275,86
482,483,90,171,83
483,484,152,358,175
484,485,3,5,5
485,486,16,35,28
486,487,63,114,52
487,488,1016,2410,344
488,489,6,11,11
489,490,7,16,13
490,491,91,206,83
491,492,7,8,7
492,493,145,294,140
493,494,8,21,14
494,495,58,149,80
495,496,51,142,67
496,497,78,194,78
497,498,55,158,88
498,499,39,110,55
499,500,47,106,47
500,501,75,169,68
501,502,68,160,72
502,503,3,7,7
503,504,305,727,212
504,505,374,930,259
505,506,12,27,17
506,507,19,41,31
507,508,175,454,122
508,509,2,4,4
509,510,37,98,60
510,511,23,53,39
511,512,96,214,100
512,513,44,123,46
513,514,3,8,6
514,515,131,311,142
515,516,3,8,7
516,517,19,51,37
517,518,10,15,13
518,519,32,75,38
519,520,176,460,147
520,521,108,268,122
521,522,53,133,78
522,523,32,81,51
523,524,30,70,52
524,525,45,112,66
525,526,42,99,49
526,527,8,14,14
527,528,48,105,61
528,529,10,7,7
529,530,13,22,21
530,531,108,252,105
531,532,99,212,115
532,533,16,34,27
533,534,142,312,110
534,535,5,11,9
535,536,23,47,33
536,537,41,100,58
537,538,6,16,12
538,539,21,50,37
539,540,4,4,4
540,541,57,142,92
541,542,12,28,23
542,543,32,89,52
543,544,14,36,31
544,545,121,302,108
545,546,8,19,15
546,547,93,261,121
547,548,9,16,13
548,549,17,34,22
549,550,16,41,31
550,551,92,270,117
551,552,97,194,82
552,553,27,79,36
553,554,502,1138,265
554,555,124,233,105
555,556,42,95,51
556,557,21,55,42
557,558,12,27,18
558,559,4,10,10
559,560,16,26,15
560,561,33,75,47
561,562,42,88,45
562,563,2,1,1
563,564,17,33,24
564,565,17,45,31
565,566,8,18,17
566,567,47,96,38
567,568,6,12,6
568,569,3,10,10
569,570,14,37,30
570,571,8,14,10
571,572,18,42,28
572,573,60,152,55
573,574,85,228,86
574,575,32,69,37
