,tag,ct,cotag,cotag_u
0,1,1716,4510,594
1,2,1362,2780,443
2,3,1176,3061,511
3,4,203,376,103
4,5,2641,5766,591
5,6,216,418,119
6,7,454,1095,262
7,8,215,579,200
8,9,83,197,85
9,10,439,989,196
10,11,64,151,60
11,12,506,1147,246
12,13,246,592,189
13,14,252,550,142
14,15,165,418,120
15,16,1370,3404,517
16,17,11,24,20
17,18,48,66,38
18,19,5,8,7
19,20,103,235,90
20,21,193,534,200
21,22,330,765,175
22,23,18,44,20
23,24,506,1089,322
24,25,230,654,204
25,26,85,212,82
26,27,76,167,72
27,28,14,35,24
28,29,30,60,40
29,30,333,802,186
30,31,194,442,140
31,32,138,292,98
32,33,24,46,25
33,34,83,130,61
34,35,188,411,105
35,36,174,397,101
36,37,10,28,14
37,38,267,570,156
38,39,19,43,19
39,40,317,769,205
40,41,312,733,217
41,42,43,106,51
42,43,422,973,190
43,44,312,720,138
44,45,61,170,57
45,46,65,181,97
46,47,93,203,54
47,48,55,90,18
48,49,172,391,132
49,50,635,1644,303
50,51,466,978,256
51,52,321,803,194
52,53,9,16,16
53,54,75,172,60
54,55,121,282,83
55,56,24,70,32
56,57,18,35,19
57,58,54,118,46
58,59,41,68,43
59,60,123,290,79
60,61,133,298,90
61,62,17,41,23
62,63,15,39,15
63,64,12,22,18
64,65,33,56,22
65,66,66,157,69
66,67,162,437,184
67,68,33,76,47
68,69,75,163,98
69,70,99,235,61
70,71,245,594,181
71,72,45,116,41
72,73,12,25,13
73,74,143,337,97
74,75,43,93,59
75,76,54,104,39
76,77,24,54,38
77,78,961,2170,394
78,79,131,293,127
79,80,55,115,56
80,81,72,183,60
81,82,108,233,79
82,83,56,128,69
83,84,11,27,13
84,85,110,243,128
85,86,67,195,88
86,87,89,199,78
87,88,85,234,75
88,89,12,22,14
89,90,84,168,64
90,91,211,443,105
91,92,319,713,172
92,93,53,105,58
93,94,170,327,69
94,95,16,45,26
95,96,2,7,7
96,97,259,513,158
97,98,125,276,83
98,99,45,96,52
99,100,206,453,153
100,101,158,339,100
101,102,127,293,92
102,103,196,454,188
103,104,17,34,24
104,105,49,91,29
105,106,12,25,16
106,107,55,100,59
107,108,37,92,54
108,109,33,60,32
109,110,13,32,23
110,111,94,186,53
111,112,52,111,42
112,113,25,47,30
113,114,54,92,44
114,115,39,62,37
115,116,30,66,36
116,117,35,89,48
117,118,103,155,73
118,119,7,15,11
119,120,69,179,72
120,121,56,138,55
121,122,42,88,39
122,123,4,15,12
123,124,99,203,86
124,125,13,33,20
125,126,58,122,58
126,127,25,63,37
127,128,7,14,11
128,129,65,139,72
129,130,34,95,40
130,131,99,223,64
131,132,61,104,48
132,133,14,27,19
133,134,350,699,233
134,135,261,373,132
135,136,63,154,77
136,137,46,107,43
137,138,18,46,22
138,139,102,233,98
139,140,53,95,44
140,141,60,124,55
141,142,2,5,5
142,143,2,7,5
143,144,19,43,32
144,145,3,5,5
145,146,2,6,6
146,147,73,206,92
147,148,371,798,211
148,149,61,127,58
149,150,38,69,42
150,151,17,44,24
151,152,65,134,64
152,153,221,492,151
153,154,50,118,57
154,155,52,111,58
155,156,10,25,18
156,157,44,93,45
157,158,59,126,41
158,159,5,14,13
159,160,12,25,21
160,161,148,328,122
161,162,31,70,37
162,163,40,87,49
163,164,49,113,48
164,165,135,283,86
165,166,21,40,30
166,167,9,23,16
167,168,46,92,44
168,169,31,57,27
169,170,4,7,5
170,171,12,28,19
