,tag,ct,cotag,cotag_u
0,1,27,58,38
1,2,6,15,13
2,3,95,183,79
3,4,3,9,5
4,5,37,103,76
5,6,50,115,63
6,7,32,72,56
7,8,402,1015,360
8,9,103,273,150
9,10,2,8,8
10,11,109,251,134
11,12,17,49,33
12,13,21,54,42
13,14,51,139,88
14,15,49,133,77
15,16,103,311,150
16,17,124,369,155
17,18,46,114,66
18,19,3,6,6
19,20,26,59,42
20,21,12,31,27
21,22,3,9,8
22,23,776,1716,472
23,24,24,55,44
24,25,194,429,198
25,26,64,170,95
26,27,31,59,44
27,28,28,74,53
28,29,79,198,87
29,30,21,53,36
30,31,55,128,69
31,32,328,777,292
32,33,29,70,48
33,34,106,294,145
34,35,11,31,24
35,36,8,22,19
36,37,18,45,38
37,38,4,10,7
38,39,120,241,118
39,40,21,58,40
40,41,47,108,67
41,42,78,160,86
42,43,35,87,63
43,44,143,359,189
44,45,25,61,44
45,46,2,7,7
46,47,4,7,7
47,48,2,8,8
48,49,612,1369,382
49,50,29,72,53
50,51,144,347,133
51,52,9,24,22
52,53,7,19,18
53,54,120,270,131
54,55,329,748,259
55,56,4,11,11
56,57,24,59,46
57,58,5,14,12
58,59,15,31,25
59,60,18,40,26
60,61,58,145,86
61,62,8,23,19
62,63,14,35,26
63,64,55,137,95
64,65,2,4,3
65,66,6,7,6
66,67,30,72,51
67,68,3,8,8
68,69,11,30,22
69,70,3,9,9
70,71,91,228,117
71,72,19,46,26
72,73,13,32,24
73,74,4,7,7
74,75,51,122,74
75,76,27,71,42
76,77,6,13,12
77,78,3,6,6
78,79,11,32,21
79,80,16,34,28
80,81,37,83,53
81,82,12,28,24
82,83,7,17,15
83,84,8,18,14
84,85,18,47,40
85,86,4,10,10
86,87,3,5,5
87,88,62,141,87
88,89,18,37,27
89,90,2,7,6
90,91,24,55,33
91,92,4,7,7
92,93,36,73,51
93,94,17,48,41
94,95,9,22,17
95,96,6,16,14
96,97,7,16,11
97,98,23,60,41
98,99,21,63,48
99,100,27,74,41
100,101,21,57,35
101,102,13,30,25
102,103,26,62,39
103,104,20,45,29
104,105,70,161,94
105,106,150,347,166
106,107,14,40,28
107,108,8,16,14
108,109,10,22,18
109,110,2,3,3
110,111,251,524,226
111,112,3,7,7
112,113,41,113,76
