,tag,ct,cotag,cotag_u
0,1,114,290,111
1,2,34,71,39
2,3,51,67,41
3,4,84,224,110
4,5,84,167,77
5,6,19,48,39
6,7,639,1579,290
7,8,74,199,122
8,9,213,487,162
9,10,12,31,17
10,11,305,791,244
11,12,747,1702,293
12,13,329,794,193
13,14,166,445,137
14,15,202,518,169
15,16,37,97,44
16,17,110,292,99
17,18,32,60,30
18,19,143,352,126
19,20,5,9,9
20,21,59,151,91
21,22,210,571,193
22,23,163,425,116
23,24,73,189,98
24,25,1,2,2
25,26,189,414,140
26,27,77,181,80
27,28,28,64,34
28,29,17,45,27
29,30,382,937,250
30,31,8,18,15
31,32,50,116,61
32,33,74,196,110
33,34,21,46,26
34,35,75,199,96
35,36,119,261,116
36,37,21,57,40
37,38,1,2,2
38,39,116,237,96
39,40,65,143,85
40,41,50,132,78
41,42,13,34,26
42,43,4,7,5
43,44,56,107,58
44,45,61,149,79
45,46,655,1631,319
46,47,298,699,177
47,48,15,24,17
48,49,38,96,55
49,50,101,292,120
50,51,75,179,91
51,52,71,204,101
52,53,49,115,55
53,54,123,285,124
54,55,36,82,41
55,56,567,1417,272
56,57,52,129,50
57,58,321,855,215
58,59,7,21,13
59,60,107,230,102
60,61,7,16,12
61,62,27,71,56
62,63,69,191,85
63,64,49,117,74
64,65,50,109,67
65,66,106,253,103
66,67,9,20,15
67,68,2,3,2
68,69,554,1083,275
69,70,100,227,105
70,71,18,46,30
71,72,21,61,26
72,73,27,76,59
73,74,59,166,98
74,75,15,37,32
75,76,28,72,37
76,77,316,758,257
77,78,6,18,17
78,79,12,24,12
79,80,72,165,75
80,81,76,192,98
81,82,13,33,18
82,83,56,148,75
83,84,11,32,24
84,85,7,23,12
85,86,29,60,43
86,87,84,237,96
87,88,66,179,81
88,89,17,42,27
89,90,2,7,6
90,91,87,156,68
91,92,37,113,58
92,93,81,200,101
93,94,16,38,19
94,95,14,40,24
95,96,66,161,58
96,97,31,66,36
97,98,35,82,37
98,99,100,227,89
99,100,178,414,165
100,101,66,169,60
101,102,3,6,4
102,103,72,172,62
103,104,53,136,52
104,105,12,32,21
105,106,88,220,99
106,107,32,97,67
107,108,35,91,57
108,109,163,388,119
109,110,65,148,50
110,111,16,45,23
111,112,36,88,49
112,113,17,54,39
113,114,45,112,61
114,115,39,114,59
115,116,64,137,68
116,117,9,27,24
117,118,40,93,52
118,119,31,80,47
119,120,82,185,84
120,121,5,15,10
121,122,3,11,7
122,123,489,1165,291
123,124,13,30,20
124,125,16,37,26
125,126,7,24,18
126,127,17,42,25
127,128,164,359,141
128,129,15,41,32
129,130,6,13,9
130,131,37,86,50
131,132,10,22,19
132,133,4,9,8
133,134,2,7,7
134,135,12,24,17
135,136,51,81,38
136,137,43,109,59
137,138,25,64,39
138,139,38,103,56
139,140,19,55,34
140,141,25,70,50
141,142,35,78,56
142,143,17,33,17
143,144,8,21,18
144,145,34,81,43
145,146,77,201,92
146,147,80,208,114
147,148,50,113,56
148,149,46,102,51
149,150,20,37,27
150,151,7,20,19
151,152,2,7,7
152,153,74,204,88
153,154,18,43,29
154,155,2,5,5
155,156,3,6,6
156,157,25,72,52
157,158,14,35,27
158,159,133,382,121
159,160,55,154,67
160,161,775,2163,292
161,162,27,64,43
162,163,48,110,62
163,164,11,30,18
164,165,9,27,18
165,166,6,11,9
166,167,18,47,40
167,168,44,116,60
168,169,363,1105,170
169,170,146,404,86
170,171,209,505,153
171,172,11,16,11
172,173,10,22,19
173,174,15,44,26
174,175,12,26,22
175,176,34,90,53
176,177,190,473,173
177,178,55,145,84
178,179,10,24,16
179,180,27,64,40
180,181,43,94,44
181,182,62,150,69
182,183,34,88,52
