,tag,ct,cotag,cotag_u
0,1,280,612,116
1,2,180,436,80
2,3,155,238,68
3,4,6,17,5
4,5,40,92,29
5,6,5,10,5
6,7,1360,1899,149
7,8,585,1032,110
8,9,209,381,75
9,10,210,368,83
10,11,70,118,48
11,12,193,374,59
12,13,9,16,8
13,14,412,745,103
14,15,17,44,21
15,16,832,1534,151
16,17,313,540,79
17,18,465,868,111
18,19,106,158,49
19,20,130,195,54
20,21,65,135,41
21,22,38,83,44
22,23,792,1144,132
23,24,53,82,31
24,25,23,32,18
25,26,5,16,7
26,27,109,149,44
27,28,13,28,17
28,29,158,338,74
29,30,215,474,77
30,31,174,219,51
31,32,409,823,104
32,33,112,229,62
33,34,3,10,8
34,35,10,27,13
35,36,285,527,89
36,37,23,41,24
37,38,75,91,33
38,39,80,167,46
39,40,20,40,25
40,41,23,57,26
41,42,42,101,30
42,43,140,271,57
43,44,30,79,30
44,45,24,59,28
45,46,4,13,7
46,47,26,52,28
47,48,235,510,107
48,49,42,81,35
49,50,34,57,24
50,51,28,58,26
51,52,7,22,16
52,53,26,22,17
53,54,117,251,38
54,55,54,97,40
55,56,55,119,40
56,57,21,44,26
57,58,291,562,66
58,59,3,7,6
59,60,22,39,17
60,61,146,286,61
61,62,6,18,14
62,63,28,51,31
63,64,6,13,9
64,65,15,39,26
65,66,16,20,15
66,67,30,51,22
67,68,10,18,10
68,69,6,14,13
69,70,5,12,11
70,71,52,122,47
71,72,15,30,15
72,73,44,73,33
73,74,46,66,30
74,75,5,11,10
75,76,6,9,9
76,77,23,51,38
77,78,50,104,26
78,79,44,92,25
79,80,9,22,7
80,81,13,27,20
81,82,42,70,31
82,83,10,25,14
83,84,11,25,17
84,85,44,101,36
85,86,70,126,50
86,87,8,23,16
87,88,152,327,79
88,89,6,14,11
89,90,6,15,11
90,91,51,75,37
91,92,21,54,21
92,93,38,81,40
93,94,50,88,44
94,95,25,49,25
95,96,49,98,26
96,97,8,22,12
97,98,2,4,4
98,99,13,22,12
99,100,9,21,16
100,101,6,17,11
101,102,6,11,10
102,103,24,63,27
103,104,33,60,21
104,105,300,521,89
105,106,8,12,9
106,107,3,4,4
107,108,11,18,13
108,109,23,30,16
109,110,21,57,28
110,111,30,53,22
111,112,56,84,30
112,113,43,77,27
113,114,13,25,16
114,115,47,100,32
115,116,15,28,11
116,117,13,27,14
117,118,66,177,58
118,119,46,109,42
119,120,14,34,22
120,121,33,72,34
121,122,28,52,27
122,123,9,21,13
123,124,23,57,28
124,125,43,90,21
125,126,10,26,14
126,127,11,25,14
127,128,14,36,20
128,129,15,20,12
129,130,11,24,16
130,131,12,27,18
131,132,1,3,3
132,133,1,3,3
133,134,9,21,13
134,135,63,101,36
135,136,4,10,7
136,137,6,16,10
137,138,1,2,2
138,139,60,143,28
139,140,1,1,1
140,141,9,14,9
141,142,4,6,3
142,143,15,35,18
143,144,7,8,7
144,145,7,11,9
145,146,28,55,21
146,147,16,36,18
147,148,17,31,21
148,149,8,19,14
149,150,18,29,14
150,151,274,553,92
151,152,1,1,1
152,153,21,46,25
153,154,12,22,15
154,155,7,19,16
155,156,14,29,16
156,157,8,19,15
157,158,11,19,13
158,159,9,15,10
159,160,15,35,19
160,161,2,6,5
161,162,7,13,11
162,163,8,13,11
163,164,3,11,8
164,165,3,9,6
165,166,13,29,17
166,167,4,5,4
167,168,4,11,9
168,169,4,6,4
169,170,18,38,11
170,171,1,4,4
171,172,1,2,2
172,173,4,9,8
173,174,3,9,4
174,175,4,5,4
175,176,7,12,10
176,177,10,22,14
177,178,8,16,10
178,179,1,3,3
179,180,2,5,4
180,181,4,6,6
181,182,1,2,2
182,183,18,41,22
183,184,13,30,15
184,185,4,11,9
185,186,2,7,5
186,187,6,14,11
187,188,5,10,7
188,189,4,14,12
189,190,8,14,11
190,191,48,115,17
191,192,5,15,13
192,193,8,17,12
193,194,6,13,8
194,195,15,32,14
195,196,3,8,8
196,197,2,8,7
197,198,5,12,9
198,199,6,18,12
199,200,5,12,10
200,201,38,71,32
201,202,12,20,11
202,203,3,5,5
203,204,7,15,14
204,205,42,77,15
205,206,3,5,5
206,207,3,10,8
207,208,7,13,12
208,209,3,6,5
209,210,9,16,14
210,211,2,5,5
211,212,1,0,0
212,213,6,11,8
213,214,3,5,4
214,215,3,6,6
215,216,18,44,19
216,217,5,14,10
217,218,7,19,12
218,219,45,106,9
219,220,22,64,19
220,221,5,8,4
221,222,4,4,3
222,223,2,6,5
223,224,8,16,6
224,225,1,4,4
225,226,2,3,3
226,227,1,4,4
227,228,2,5,5
228,229,1,3,3
229,230,1,3,3
230,231,1,2,2
231,232,1,4,4
232,233,2,6,6
233,234,4,12,8
234,235,3,8,7
235,236,1,1,1
236,237,1,4,4
237,238,1,4,4
238,239,1,4,4
239,240,1,2,2
240,241,1,2,2
241,242,1,3,3
242,243,1,2,2
243,244,1,2,2
244,245,4,9,9
245,246,2,3,3
246,247,1,2,2
247,248,1,4,4
248,249,2,4,4
249,250,1,2,2
250,251,1,2,2
251,252,1,4,4
252,253,1,0,0
253,254,1,2,2
254,255,1,2,2
