,tag,ct,cotag,cotag_u
0,1,445,629,59
1,2,243,475,71
2,3,16,33,8
3,4,806,1390,92
4,5,1225,2126,148
5,6,288,651,76
6,7,91,120,28
7,8,93,153,46
8,9,20,38,11
9,10,335,558,54
10,11,213,351,82
11,12,426,975,101
12,13,228,549,92
13,14,15,28,14
14,15,124,293,56
15,16,4,9,3
16,17,256,417,55
17,18,15,32,16
18,19,273,458,92
19,20,148,285,43
20,21,171,277,66
21,22,27,42,13
22,23,52,100,40
23,24,19,37,14
24,25,6,2,2
25,26,30,61,28
26,27,87,171,46
27,28,31,51,28
28,29,59,83,20
29,30,277,472,62
30,31,67,130,30
31,32,75,115,22
32,33,32,72,12
33,34,64,81,22
34,35,38,83,19
35,36,6,4,2
36,37,32,48,19
37,38,33,67,25
38,39,30,54,14
39,40,2,7,6
40,41,149,290,37
41,42,206,426,43
42,43,22,37,19
43,44,1,0,0
44,45,13,23,12
45,46,23,42,21
46,47,65,65,23
47,48,71,148,45
48,49,49,135,25
49,50,23,59,18
50,51,644,930,54
51,52,2,4,4
52,53,185,375,46
53,54,45,85,35
54,55,5,10,7
55,56,45,68,24
56,57,121,215,66
57,58,21,32,14
58,59,70,151,41
59,60,6,5,2
60,61,5,11,10
61,62,8,11,8
62,63,8,13,4
63,64,12,18,7
64,65,7,11,7
65,66,39,84,24
66,67,4,7,6
67,68,3,7,5
68,69,17,34,17
69,70,41,71,25
70,71,2,5,4
71,72,28,38,11
72,73,90,229,29
73,74,16,50,8
74,75,60,78,23
75,76,30,35,14
76,77,29,57,17
77,78,11,23,15
78,79,58,56,16
79,80,14,35,15
80,81,15,49,16
81,82,15,19,4
82,83,12,17,12
83,84,15,7,3
84,85,26,40,12
85,86,19,29,12
86,87,44,121,21
87,88,20,20,11
88,89,69,129,44
89,90,8,9,6
90,91,6,15,8
91,92,12,20,13
92,93,2,5,3
93,94,3,7,6
94,95,6,9,6
95,96,68,115,49
96,97,29,52,13
97,98,5,12,6
98,99,34,86,13
99,100,2,3,3
100,101,28,51,29
101,102,18,36,20
102,103,39,97,32
103,104,15,37,16
104,105,19,38,18
105,106,6,12,4
106,107,58,134,48
107,108,15,35,17
108,109,14,29,6
109,110,14,24,17
110,111,26,50,14
111,112,6,6,5
112,113,7,15,9
113,114,9,14,8
114,115,3,7,5
115,116,56,163,19
116,117,38,120,16
117,118,12,26,8
118,119,52,74,8
119,120,6,9,6
120,121,2,1,1
121,122,12,28,8
122,123,17,48,10
123,124,22,55,15
124,125,74,169,46
125,126,19,42,15
126,127,62,156,24
127,128,2,5,3
128,129,12,24,15
129,130,5,12,9
130,131,11,18,9
131,132,4,7,6
132,133,6,9,5
133,134,22,38,25
134,135,26,57,15
135,136,26,29,14
136,137,5,5,5
137,138,4,5,4
138,139,5,5,3
139,140,1,1,1
140,141,4,5,4
141,142,28,67,11
142,143,10,7,6
143,144,4,7,5
144,145,28,57,22
145,146,38,104,22
146,147,19,39,24
147,148,1,3,3
148,149,2,3,2
149,150,5,8,5
150,151,4,13,6
151,152,4,10,6
152,153,34,92,21
153,154,1,2,2
154,155,8,16,13
155,156,7,14,9
156,157,6,16,10
157,158,11,10,4
158,159,102,241,42
159,160,4,8,5
160,161,1,2,2
161,162,14,31,11
162,163,3,4,4
163,164,44,40,7
164,165,14,27,13
165,166,1,1,1
166,167,7,12,10
167,168,2,6,6
168,169,1,1,1
169,170,7,16,7
170,171,4,10,5
171,172,8,19,8
172,173,9,16,5
173,174,5,5,5
174,175,2,4,2
175,176,3,8,8
176,177,2,5,5
177,178,5,10,4
178,179,3,9,8
179,180,6,9,7
180,181,1,2,2
181,182,6,6,4
182,183,1,1,1
183,184,3,5,3
184,185,2,3,3
185,186,4,12,5
186,187,11,9,4
187,188,2,0,0
188,189,9,26,8
189,190,5,16,6
190,191,2,4,3
191,192,2,2,2
192,193,5,6,5
193,194,5,12,7
194,195,7,22,7
195,196,1,0,0
196,197,3,5,4
197,198,5,10,7
198,199,4,10,6
199,200,1,2,2
200,201,2,2,1
201,202,2,4,3
202,203,8,24,7
203,204,5,8,4
204,205,10,12,5
205,206,1,1,1
206,207,1,1,1
207,208,3,5,3
208,209,3,3,2
209,210,3,6,5
210,211,4,6,4
211,212,5,8,8
212,213,1,3,3
213,214,1,4,4
214,215,1,2,2
215,216,2,4,4
216,217,1,1,1
217,218,1,2,2
218,219,1,2,2
219,220,1,2,2
220,221,6,21,6
221,222,5,16,14
222,223,2,3,3
223,224,1,2,2
224,225,5,17,5
225,226,5,10,5
226,227,6,11,5
227,228,2,5,5
228,229,1,3,3
229,230,1,2,2
230,231,2,5,3
231,232,2,1,1
232,233,3,7,7
233,234,1,1,1
234,235,2,3,3
235,236,3,7,5
236,237,1,1,1
237,238,1,4,4
238,239,1,1,1
239,240,1,3,3
