,tag,ct,cotag,cotag_u
0,1,315,513,113
1,2,13,36,20
2,3,10,26,16
3,4,5,12,9
4,5,718,1458,137
5,6,56,111,38
6,7,221,548,85
7,8,36,98,35
8,9,19,55,22
9,10,10,24,15
10,11,12,35,17
11,12,11,28,15
12,13,24,60,27
13,14,294,578,98
14,15,56,80,21
15,16,46,118,35
16,17,14,41,12
17,18,394,657,110
18,19,3,11,5
19,20,14,39,18
20,21,6,18,10
21,22,18,41,15
22,23,300,674,72
23,24,60,150,45
24,25,5,10,8
25,26,383,987,110
26,27,6,23,15
27,28,25,69,37
28,29,55,132,39
29,30,396,880,85
30,31,60,115,40
31,32,2,5,4
32,33,12,38,15
33,34,69,189,41
34,35,42,115,28
35,36,7,22,12
36,37,17,30,15
37,38,3,7,6
38,39,28,83,32
39,40,11,28,13
40,41,4,11,9
41,42,5,9,5
42,43,14,25,12
43,44,16,34,17
44,45,20,36,15
45,46,40,82,27
46,47,50,114,40
47,48,27,62,27
48,49,4,14,10
49,50,116,315,75
50,51,12,24,11
51,52,4,9,6
52,53,54,156,39
53,54,6,15,10
54,55,20,50,22
55,56,4,10,7
56,57,51,116,34
57,58,52,125,33
58,59,87,225,38
59,60,7,14,7
60,61,22,58,18
61,62,49,103,35
62,63,8,24,11
63,64,2,2,1
64,65,26,52,15
65,66,31,72,29
66,67,8,11,5
67,68,74,207,51
68,69,22,60,19
69,70,47,112,38
70,71,12,31,20
71,72,5,15,13
72,73,4,13,5
73,74,12,31,15
74,75,8,23,11
75,76,22,57,24
76,77,64,155,52
77,78,8,21,14
78,79,2,5,4
79,80,34,69,22
80,81,11,35,23
81,82,16,36,19
82,83,12,29,15
83,84,10,22,9
84,85,11,27,13
85,86,2,6,5
86,87,8,14,7
87,88,3,8,6
88,89,21,54,26
89,90,5,13,11
90,91,15,34,18
91,92,7,17,11
92,93,13,36,16
93,94,55,128,31
94,95,5,7,4
95,96,11,27,17
96,97,5,15,9
97,98,2,3,3
98,99,4,13,7
99,100,20,55,17
100,101,35,87,24
101,102,18,43,18
102,103,4,13,6
103,104,4,6,5
104,105,9,19,11
105,106,9,20,13
106,107,24,63,25
107,108,7,18,12
108,109,23,31,9
109,110,5,14,14
110,111,2,4,4
111,112,5,8,4
112,113,4,7,5
113,114,46,105,40
114,115,6,18,14
115,116,21,33,13
116,117,4,13,10
117,118,7,16,9
118,119,9,20,12
119,120,6,16,10
120,121,12,28,14
121,122,5,14,11
122,123,10,25,15
123,124,2,4,3
124,125,3,8,6
125,126,4,9,7
126,127,7,11,6
127,128,12,29,14
128,129,72,135,35
129,130,5,13,7
130,131,16,38,23
131,132,1,3,3
132,133,5,11,7
133,134,4,9,7
134,135,6,12,10
135,136,3,8,6
136,137,378,514,86
137,138,12,30,15
138,139,52,136,31
139,140,4,7,4
140,141,10,22,7
141,142,78,230,32
142,143,39,84,28
143,144,19,43,16
144,145,24,59,33
145,146,28,72,33
146,147,5,14,12
147,148,2,4,3
148,149,2,4,2
149,150,2,4,2
150,151,4,4,2
151,152,2,5,5
152,153,4,10,7
153,154,5,15,11
154,155,28,80,23
155,156,41,123,21
156,157,3,9,8
157,158,10,24,9
158,159,3,11,7
159,160,7,12,7
160,161,2,6,5
161,162,7,21,16
162,163,6,18,12
163,164,2,4,4
164,165,2,5,4
165,166,136,399,67
166,167,43,119,28
167,168,2,6,5
168,169,5,10,7
169,170,4,13,10
170,171,3,10,9
171,172,37,110,21
172,173,41,108,37
173,174,7,9,4
174,175,2,6,4
175,176,2,7,5
176,177,3,4,2
177,178,22,55,19
178,179,1,2,2
179,180,18,39,16
180,181,2,3,2
181,182,12,21,10
182,183,1,2,2
183,184,3,10,6
184,185,12,32,18
185,186,24,62,35
186,187,6,12,9
187,188,9,18,11
188,189,7,17,10
189,190,8,19,11
190,191,4,8,3
191,192,3,7,6
192,193,2,6,6
193,194,2,5,3
194,195,6,12,8
195,196,5,11,6
196,197,2,3,2
197,198,4,11,7
198,199,1,3,3
199,200,3,6,2
200,201,2,4,4
201,202,3,5,2
202,203,2,4,3
203,204,1,4,4
204,205,1,3,3
