,tag,ct,cotag,cotag_u
0,1,88,185,65
1,2,2,6,5
2,3,175,442,135
3,4,304,690,149
4,5,178,369,120
5,6,182,359,87
6,7,165,346,105
7,8,105,243,73
8,9,103,240,85
9,10,58,133,53
10,11,64,137,60
11,12,25,45,36
12,13,283,578,137
13,14,46,83,39
14,15,9,17,16
15,16,8,18,15
16,17,133,300,87
17,18,1,3,3
18,19,5,16,12
19,20,102,200,89
20,21,28,58,31
21,22,18,40,29
22,23,5,7,7
23,24,89,165,78
24,25,27,54,35
25,26,42,93,50
26,27,10,19,16
27,28,64,138,46
28,29,47,108,56
29,30,54,93,32
30,31,30,59,30
31,32,22,47,31
32,33,24,57,36
33,34,93,202,68
34,35,31,63,31
35,36,4,8,6
36,37,50,100,43
37,38,34,81,43
38,39,53,119,54
39,40,47,94,52
40,41,18,42,28
41,42,9,12,8
42,43,11,29,14
43,44,5,13,9
44,45,306,628,142
45,46,22,50,29
46,47,26,59,33
47,48,17,45,36
48,49,71,155,64
49,50,17,20,9
50,51,10,18,14
51,52,14,29,20
52,53,5,3,3
53,54,2,6,5
54,55,8,24,17
55,56,18,42,25
56,57,15,29,18
57,58,114,243,86
58,59,34,56,31
59,60,22,48,30
60,61,5,10,8
61,62,16,47,30
62,63,12,25,21
63,64,7,10,10
64,65,7,12,11
65,66,14,16,16
66,67,4,7,6
67,68,5,10,9
68,69,24,55,36
69,70,14,32,21
70,71,15,41,30
71,72,13,33,25
72,73,13,31,16
73,74,11,23,22
74,75,4,9,8
75,76,7,16,12
76,77,24,46,31
77,78,56,123,55
78,79,15,27,21
79,80,8,18,16
80,81,155,344,111
81,82,1,3,3
82,83,2,2,2
83,84,2,3,2
84,85,15,44,19
85,86,9,11,8
86,87,5,9,9
87,88,4,13,12
88,89,36,77,42
89,90,79,183,72
90,91,21,45,22
91,92,18,41,30
92,93,6,16,16
93,94,46,113,45
94,95,89,194,61
95,96,2,4,4
96,97,173,367,109
97,98,5,13,8
