,tag,ct,cotag,cotag_u
0,1,26,53,29
1,2,105,181,61
2,3,11,17,8
3,4,20,20,15
4,5,9,16,13
5,6,26,48,22
6,7,9,19,12
7,8,3,7,5
8,9,28,58,28
9,10,2,4,4
10,11,2,5,4
11,12,21,38,24
12,13,41,73,32
13,14,7,10,9
14,15,15,29,15
15,16,5,15,10
16,17,3,8,5
17,18,2,7,5
18,19,11,24,13
19,20,20,34,16
20,21,3,5,5
21,22,44,69,33
22,23,4,7,5
23,24,20,34,21
24,25,2,4,4
25,26,10,11,8
26,27,7,8,7
27,28,94,161,53
28,29,17,34,14
29,30,18,33,15
30,31,2,4,3
31,32,3,1,1
32,33,25,41,20
33,34,45,70,33
34,35,20,33,19
35,36,2,5,5
36,37,5,12,6
37,38,18,28,11
38,39,2,4,4
39,40,3,7,6
40,41,19,39,20
41,42,14,17,15
42,43,10,10,8
43,44,1,3,3
44,45,8,20,12
45,46,21,43,22
46,47,72,123,43
47,48,22,41,20
48,49,11,23,11
49,50,2,4,3
50,51,9,22,17
51,52,17,30,17
52,53,2,4,4
53,54,1,2,2
54,55,15,23,14
55,56,4,3,3
56,57,8,9,8
57,58,2,4,4
58,59,15,23,9
59,60,7,13,9
60,61,1,0,0
61,62,2,4,4
62,63,2,2,2
63,64,16,14,10
64,65,15,12,11
65,66,12,18,11
66,67,6,13,7
67,68,13,25,16
68,69,2,3,3
69,70,8,15,11
70,71,2,4,4
71,72,4,9,8
72,73,3,7,5
73,74,2,3,3
74,75,1,3,3
75,76,6,16,9
76,77,4,9,5
77,78,29,27,16
78,79,9,11,6
79,80,9,12,9
80,81,3,6,6
81,82,3,2,2
82,83,3,2,2
83,84,9,12,9
84,85,6,12,10
85,86,3,3,3
86,87,6,11,10
87,88,2,3,3
88,89,1,3,3
89,90,3,6,6
90,91,9,15,10
91,92,8,16,9
92,93,5,8,8
93,94,9,15,12
94,95,2,5,5
95,96,1,2,2
96,97,4,6,5
97,98,3,11,8
98,99,2,6,6
99,100,1,3,3
100,101,1,0,0
101,102,1,0,0
102,103,1,0,0
103,104,1,1,1
104,105,1,1,1
105,106,1,3,3
106,107,1,2,2
107,108,1,0,0
108,109,1,1,1
109,110,1,2,2
110,111,1,2,2
111,112,3,7,4
112,113,1,0,0
113,114,1,2,2
