,tag,ct,cotag,cotag_u
0,1,39854,94779,3302
1,2,715,1677,382
2,3,43,102,37
3,4,42524,110439,3321
4,5,3332,8222,911
5,6,832,2220,378
6,7,7710,20172,1801
7,8,1415,3736,703
8,9,745,2178,275
9,10,9216,25367,1207
10,11,3017,6486,1052
11,12,632,1527,289
12,13,48,134,51
13,14,4127,9503,833
14,15,158,428,131
15,16,96,224,83
16,17,2931,6312,691
17,18,2822,6107,720
18,19,16314,42466,2394
19,20,3991,11052,962
20,21,2509,6098,694
21,22,495,1041,266
22,23,802,2003,488
23,24,6463,16007,1035
24,25,118,323,132
25,26,6940,14054,1224
26,27,87,198,96
27,28,243,659,201
28,29,1184,3051,523
29,30,1034,2620,431
30,31,71,178,82
31,32,707,1756,318
32,33,4144,10624,1262
33,34,383,1094,225
34,35,18384,44366,2472
35,36,207,471,175
36,37,3865,9511,708
37,38,3996,9038,857
38,39,106,251,138
39,40,3777,9547,1181
40,41,1587,3385,467
41,42,1030,2221,415
42,43,1255,3313,570
43,44,692,1839,317
44,45,799,2097,332
45,46,264,597,244
46,47,488,1297,284
47,48,59,157,67
48,49,1658,3613,444
49,50,1684,4338,701
50,51,455,1159,306
51,52,863,2117,581
52,53,64,153,93
53,54,1445,3705,493
54,55,426,979,232
55,56,737,1814,407
56,57,610,1573,393
57,58,1130,3043,526
58,59,4341,11986,1382
59,60,547,1487,219
60,61,38,81,49
61,62,45073,99042,3210
62,63,24370,64890,1834
63,64,8611,18133,1745
64,65,1341,3319,530
65,66,3449,8731,973
66,67,390,998,180
67,68,129,375,109
68,69,266,682,266
69,70,948,2652,632
70,71,895,2391,382
71,72,395,1088,243
72,73,4,13,10
73,74,6414,16948,1197
74,75,1793,4410,559
75,76,1471,3623,394
76,77,11553,28725,1182
77,78,1039,2729,580
78,79,2079,5597,909
79,80,1089,2651,436
80,81,35,85,42
81,82,1275,3422,419
82,83,587,1599,393
83,84,368,848,215
84,85,22,51,26
85,86,143,353,153
86,87,11846,29998,1217
87,88,520,1165,265
88,89,8,13,10
89,90,1224,2784,370
90,91,94,229,108
91,92,31,79,29
92,93,7925,21770,847
93,94,675,1763,359
94,95,420,1051,347
95,96,109,295,194
96,97,11,27,18
97,98,3747,8585,877
98,99,214,556,227
99,100,197,552,156
100,101,109,207,100
101,102,541,1266,457
102,103,1036,2589,757
103,104,3787,9586,673
104,105,92,218,82
105,106,1003,2435,328
106,107,371,705,202
107,108,83,210,110
108,109,2374,5460,671
109,110,328,703,182
110,111,318,766,259
111,112,29,80,63
112,113,15,41,29
113,114,7,18,9
114,115,189,501,130
115,116,79,223,82
116,117,8773,16931,1349
117,118,1295,2950,545
118,119,453,930,275
119,120,5698,14195,1088
120,121,1250,3109,552
121,122,275,805,194
122,123,1751,4343,694
123,124,775,1968,450
124,125,3560,9556,971
125,126,1898,5275,433
126,127,160,407,123
127,128,1258,3261,433
128,129,770,2106,309
129,130,278,593,189
130,131,277,653,148
131,132,3421,9003,1100
132,133,772,1855,425
133,134,4,8,8
134,135,5388,8628,749
135,136,2095,5716,739
136,137,75,209,107
137,138,1463,2781,454
138,139,82,201,65
139,140,5140,11093,898
140,141,11,29,16
141,142,65,171,56
142,143,1051,2395,499
143,144,117,311,111
144,145,233,543,151
145,146,121,330,189
146,147,465,1135,262
147,148,349,946,314
148,149,815,2174,276
149,150,394,1001,222
150,151,313,680,231
151,152,2145,4670,379
152,153,664,1693,295
153,154,2870,7175,899
154,155,178,476,208
155,156,2101,5812,907
156,157,3905,10312,752
157,158,569,1691,297
158,159,768,1902,263
159,160,275,725,265
160,161,95,237,85
161,162,297,701,147
162,163,202,514,220
163,164,161,264,108
164,165,208,425,117
165,166,184,363,164
166,167,194,498,195
167,168,5,13,10
168,169,785,1962,419
169,170,246,668,141
170,171,7,23,19
171,172,2251,6670,459
172,173,233,480,147
173,174,11,22,19
174,175,5484,15464,656
175,176,43,109,49
176,177,3533,8267,526
177,178,141,365,166
178,179,514,1291,423
179,180,508,1070,267
180,181,98,169,77
181,182,245,662,239
182,183,222,556,185
183,184,677,1682,436
184,185,25,62,48
185,186,159,346,93
186,187,3041,6962,761
187,188,168,421,150
188,189,561,1177,247
189,190,241,476,177
190,191,64,126,91
191,192,19,39,31
192,193,4330,11257,974
193,194,267,602,184
194,195,1974,4835,573
195,196,775,1820,263
196,197,64,171,90
197,198,82,242,96
198,199,2782,7314,693
199,200,5318,13360,1011
200,201,176,427,135
201,202,3700,8881,786
202,203,394,860,324
203,204,1310,3135,330
204,205,231,414,117
205,206,9482,23854,1706
206,207,8427,20508,1220
207,208,43,108,46
208,209,4196,10894,636
209,210,1104,2013,485
210,211,556,1311,301
211,212,44,96,54
212,213,76,229,73
213,214,27,68,42
214,215,4270,11037,752
215,216,91,207,125
216,217,4484,10495,907
217,218,23,53,40
218,219,14,31,11
219,220,30,63,37
220,221,225,526,178
221,222,1800,5017,595
222,223,11,28,19
223,224,232,568,215
224,225,99,192,118
225,226,4049,8144,654
226,227,804,1404,248
227,228,6,16,11
228,229,1716,3798,621
229,230,246,659,179
230,231,268,676,264
231,232,42,100,63
232,233,94,241,98
233,234,42,112,60
234,235,75,147,57
235,236,10,21,16
236,237,27,72,49
237,238,1824,4727,411
238,239,1021,2725,560
239,240,28,76,30
240,241,665,1769,234
241,242,207,567,116
242,243,52,132,68
243,244,43,105,69
244,245,45,129,76
245,246,1375,3869,519
246,247,84,222,112
247,248,47,114,56
248,249,36,91,39
249,250,1016,2547,500
250,251,735,2104,251
251,252,628,1815,177
252,253,23,61,43
253,254,87,208,65
254,255,478,1025,204
255,256,254,611,249
256,257,40,100,44
257,258,119,329,84
258,259,611,1669,312
259,260,67,188,80
260,261,69,163,37
261,262,972,2342,467
262,263,27,56,30
263,264,460,1156,349
264,265,268,570,122
265,266,425,1019,279
266,267,926,2276,470
267,268,17,36,28
268,269,45,108,66
269,270,787,2047,351
270,271,1135,3186,507
271,272,642,1345,238
272,273,617,817,229
273,274,324,749,260
274,275,349,645,170
275,276,412,1038,356
276,277,553,1443,380
277,278,16747,23555,868
278,279,1014,2541,419
279,280,109,245,89
280,281,538,1272,207
281,282,221,547,150
282,283,1852,4559,713
283,284,217,554,251
284,285,1586,4124,674
285,286,66,163,100
286,287,38,98,41
287,288,103,244,99
288,289,897,2542,456
289,290,188,437,155
290,291,60,121,53
291,292,19,29,20
292,293,88,230,108
293,294,73,187,95
294,295,1267,3355,333
295,296,1515,4263,408
296,297,108,294,108
297,298,3280,5303,567
298,299,371,816,210
299,300,210,423,129
300,301,4,10,8
301,302,581,1479,220
302,303,686,1722,214
