,tag,ct,cotag,cotag_u
0,1,11,17,13
1,2,1200,1819,159
2,3,45,84,32
3,4,2,3,3
4,5,395,685,102
5,6,410,766,111
6,7,456,655,125
7,8,12,25,16
8,9,73,152,50
9,10,12,20,18
10,11,70,127,48
11,12,62,99,36
12,13,15,33,21
13,14,4,8,8
14,15,5,6,4
15,16,66,124,38
16,17,112,250,72
17,18,12,36,23
18,19,7,10,10
19,20,11,20,12
20,21,9,16,10
21,22,5,11,7
22,23,100,237,62
23,24,11,26,16
24,25,6,15,12
25,26,87,162,54
26,27,14,33,20
27,28,154,275,63
28,29,402,753,132
29,30,16,28,18
30,31,133,247,60
31,32,127,217,51
32,33,19,42,26
33,34,84,133,47
34,35,52,96,42
35,36,3,8,6
36,37,3,8,6
37,38,51,96,36
38,39,26,25,15
39,40,139,251,66
40,41,44,95,39
41,42,45,58,33
42,43,39,64,35
43,44,4,8,8
44,45,84,147,57
45,46,164,306,90
46,47,28,60,33
47,48,158,275,83
48,49,52,114,42
49,50,15,36,19
50,51,32,62,29
51,52,2,4,3
52,53,820,1454,146
53,54,3,6,6
54,55,27,28,15
55,56,46,104,45
56,57,2,2,2
57,58,40,76,31
58,59,30,39,20
59,60,49,97,36
60,61,2,2,1
61,62,4,11,9
62,63,11,15,10
63,64,10,16,13
64,65,14,37,23
65,66,39,83,39
66,67,111,217,65
67,68,21,33,24
68,69,23,51,33
69,70,8,11,10
70,71,33,45,22
71,72,35,62,25
72,73,96,175,53
73,74,6,5,5
74,75,55,102,30
75,76,20,35,23
76,77,3,7,6
77,78,30,49,31
78,79,254,347,81
79,80,240,395,89
80,81,15,22,14
81,82,27,39,21
82,83,11,26,16
83,84,9,12,6
84,85,52,108,38
85,86,12,31,19
86,87,20,39,20
87,88,64,129,46
88,89,12,12,9
89,90,6,12,12
90,91,60,117,39
91,92,34,59,29
92,93,12,33,17
93,94,19,33,13
94,95,11,17,14
95,96,16,30,10
96,97,2,6,3
97,98,4,10,6
98,99,9,20,11
99,100,3,4,4
100,101,28,56,34
101,102,127,161,54
102,103,3,4,3
103,104,12,19,15
104,105,99,195,67
105,106,34,69,30
106,107,15,22,15
107,108,58,88,27
108,109,8,11,8
109,110,291,486,91
110,111,40,77,47
111,112,14,31,19
112,113,298,395,89
113,114,53,111,33
114,115,4,6,5
115,116,15,19,11
116,117,25,46,19
117,118,50,94,34
118,119,18,33,20
119,120,40,81,32
120,121,7,17,13
121,122,3,3,3
122,123,24,35,17
123,124,20,39,18
124,125,29,74,35
125,126,21,52,27
126,127,14,17,10
127,128,23,48,22
128,129,11,24,15
129,130,4,7,6
130,131,4,6,4
131,132,17,32,20
132,133,40,51,28
133,134,4,4,4
134,135,5,12,12
135,136,2,3,3
136,137,3,6,5
137,138,38,63,31
138,139,2,7,7
139,140,5,10,9
140,141,6,14,11
141,142,43,75,35
142,143,11,16,13
143,144,106,226,72
144,145,7,0,0
145,146,2,5,4
146,147,19,28,18
147,148,8,23,15
148,149,3,9,8
149,150,2,4,3
150,151,18,31,22
151,152,19,47,27
152,153,4,7,6
153,154,27,53,32
154,155,5,8,6
155,156,21,42,20
156,157,11,20,14
157,158,8,9,5
158,159,15,22,12
159,160,33,46,18
160,161,138,254,63
161,162,10,19,15
162,163,35,69,30
163,164,4,5,3
164,165,20,40,21
165,166,5,18,14
166,167,4,9,7
167,168,5,12,9
168,169,1,2,2
169,170,22,40,17
170,171,38,82,42
171,172,2,4,4
172,173,61,105,54
173,174,3,5,5
174,175,11,24,15
175,176,10,9,7
176,177,16,43,19
177,178,99,149,41
178,179,37,75,24
179,180,12,18,13
180,181,63,96,33
181,182,10,16,10
182,183,7,16,9
183,184,13,33,12
184,185,17,21,13
185,186,114,213,65
186,187,4,7,3
187,188,16,25,15
188,189,15,34,14
189,190,19,20,12
190,191,9,20,13
191,192,20,42,28
192,193,6,15,10
193,194,82,112,41
194,195,11,21,14
195,196,6,14,10
196,197,5,17,14
197,198,3,5,4
198,199,3,5,5
199,200,2,4,3
200,201,17,49,22
201,202,15,40,22
202,203,4,14,14
203,204,5,8,6
204,205,74,90,40
205,206,3,3,3
206,207,18,26,20
207,208,2,5,5
208,209,1,2,2
209,210,6,5,4
210,211,3,2,2
211,212,4,6,6
212,213,1,1,1
213,214,1,2,2
214,215,1,2,2
