,tag,ct,cotag,cotag_u
0,1,45,122,77
1,2,116,261,126
2,3,47,126,84
3,4,57,158,101
4,5,33,97,63
5,6,10,28,15
6,7,9,22,16
7,8,216,443,113
8,9,137,428,207
9,10,76,192,46
10,11,28,72,44
11,12,17,53,30
12,13,125,344,127
13,14,390,1137,377
14,15,11,21,17
15,16,958,2704,578
16,17,525,1585,439
17,18,171,476,203
18,19,7,18,16
19,20,251,684,248
20,21,99,279,122
21,22,487,1310,405
22,23,759,2114,458
23,24,538,1263,291
24,25,215,512,150
25,26,354,1003,268
26,27,7006,17608,717
27,28,544,1473,325
28,29,65,196,105
29,30,18,58,23
30,31,678,1799,387
31,32,88,221,99
32,33,70,205,106
33,34,40,118,50
34,35,588,1733,286
35,36,62,172,73
36,37,106,279,110
37,38,79,226,100
38,39,37,98,60
39,40,821,2358,427
40,41,395,1100,337
41,42,1198,3337,476
42,43,722,2207,503
43,44,431,917,214
44,45,92,242,59
45,46,58,144,66
46,47,60,166,53
47,48,3318,8252,780
48,49,38,85,46
49,50,31,83,59
50,51,3606,9398,687
51,52,147,370,202
52,53,64,189,115
53,54,68,183,103
54,55,10,22,17
55,56,69,201,112
56,57,56,167,117
57,58,46,109,64
58,59,7,21,17
59,60,321,876,258
60,61,27,78,52
61,62,18,47,33
62,63,63,195,97
63,64,17,45,25
64,65,36,104,50
65,66,15,42,22
66,67,989,2455,387
67,68,801,2185,497
68,69,227,602,212
69,70,149,395,140
70,71,9,31,16
71,72,468,1062,278
72,73,675,1719,331
73,74,7,20,14
74,75,2972,7433,523
75,76,580,1494,286
76,77,323,887,309
77,78,165,419,168
78,79,19,54,32
79,80,10,31,22
80,81,701,2037,351
81,82,270,758,243
82,83,51,143,59
83,84,181,459,154
84,85,144,363,141
85,86,151,395,151
86,87,8,21,16
87,88,282,637,184
88,89,65,153,87
89,90,41,129,67
90,91,41,120,68
91,92,4,13,8
92,93,23,56,25
93,94,382,1074,318
94,95,773,2019,393
95,96,7,14,11
96,97,163,442,187
97,98,53,143,79
98,99,7,19,12
99,100,117,318,123
100,101,80,277,148
101,102,257,715,184
102,103,5,16,13
103,104,94,296,137
104,105,18,38,27
105,106,97,226,121
106,107,66,162,113
107,108,10,24,16
108,109,31,82,52
109,110,306,822,213
110,111,35,103,72
111,112,28,79,56
112,113,53,181,64
113,114,106,283,106
114,115,31,92,61
115,116,16,51,33
116,117,6,19,16
117,118,199,586,221
118,119,103,293,117
119,120,128,320,160
120,121,20,44,29
121,122,123,326,133
122,123,65,187,91
123,124,5,18,13
124,125,6,18,13
125,126,367,1019,265
126,127,53,140,83
127,128,13,36,34
128,129,132,366,140
129,130,24,70,44
130,131,25,63,35
131,132,2,6,5
132,133,206,578,231
133,134,12,36,25
134,135,27,87,45
135,136,47,148,68
136,137,49,148,75
137,138,43,130,59
138,139,6,18,14
139,140,489,1362,322
140,141,84,234,98
141,142,62,177,92
142,143,87,235,121
143,144,11,33,22
144,145,9,19,17
145,146,497,1296,314
146,147,191,473,205
147,148,68,188,119
148,149,9,24,17
149,150,63,187,94
150,151,48,141,65
151,152,10,34,17
152,153,28,69,33
153,154,174,472,140
154,155,60,161,105
155,156,34,90,48
156,157,211,583,211
157,158,133,359,165
158,159,90,204,78
159,160,113,291,147
160,161,530,1409,334
161,162,415,1004,282
162,163,55,154,75
163,164,439,1249,389
164,165,58,173,85
165,166,138,381,167
166,167,154,382,170
167,168,52,144,63
168,169,135,363,96
169,170,4,13,10
170,171,282,829,256
171,172,6,15,12
172,173,139,409,143
173,174,18,57,32
174,175,342,1066,262
175,176,96,294,126
176,177,30,67,48
177,178,8,31,20
178,179,28,86,59
179,180,81,224,99
180,181,80,228,104
181,182,27,84,54
182,183,1184,2889,331
183,184,176,469,137
184,185,33,112,57
185,186,24,76,50
186,187,248,744,178
187,188,17,46,32
188,189,99,289,110
189,190,55,172,57
190,191,11,28,21
191,192,10,31,24
192,193,297,850,232
193,194,129,386,136
194,195,56,163,90
195,196,19,44,20
196,197,143,328,130
197,198,49,122,34
198,199,792,2394,340
199,200,122,314,132
200,201,16,45,32
201,202,154,464,213
202,203,143,391,158
203,204,82,227,124
204,205,27,85,48
205,206,7,28,23
206,207,17,42,31
207,208,2383,6658,599
208,209,1008,2747,409
