,tag,ct,cotag,cotag_u
0,1,117,193,53
1,2,421,683,92
2,3,992,1427,133
3,4,475,825,108
4,5,232,332,48
5,6,127,249,60
6,7,546,1042,129
7,8,38,46,15
8,9,28,46,24
9,10,4,7,5
10,11,5,7,6
11,12,5,10,7
12,13,112,204,54
13,14,219,363,69
14,15,82,165,47
15,16,193,283,50
16,17,109,169,59
17,18,16,28,16
18,19,14,20,14
19,20,486,683,95
20,21,441,664,80
21,22,11,20,13
22,23,22,35,15
23,24,205,305,54
24,25,907,1468,146
25,26,27,39,20
26,27,78,154,50
27,28,25,43,22
28,29,60,82,21
29,30,20,42,20
30,31,76,96,27
31,32,2,5,5
32,33,22,44,25
33,34,21,34,13
34,35,34,53,15
35,36,24,37,11
36,37,385,568,92
37,38,216,261,40
38,39,21,46,22
39,40,5,9,7
40,41,40,93,21
41,42,77,125,38
42,43,28,54,28
43,44,27,48,21
44,45,69,118,33
45,46,16,24,14
46,47,90,99,27
47,48,60,103,28
48,49,91,212,58
49,50,6,10,8
50,51,59,74,31
51,52,37,68,27
52,53,153,327,73
53,54,21,47,21
54,55,46,75,17
55,56,50,97,32
56,57,5,4,4
57,58,26,41,22
58,59,7,9,8
59,60,4,9,9
60,61,6,11,10
61,62,12,15,10
62,63,113,156,43
63,64,3,3,3
64,65,37,71,29
65,66,46,107,43
66,67,17,44,24
67,68,5,4,4
68,69,101,196,46
69,70,6,9,7
70,71,6,10,7
71,72,42,71,17
72,73,84,112,39
73,74,611,1094,157
74,75,47,92,35
75,76,198,377,90
76,77,15,28,14
77,78,28,59,28
78,79,23,43,26
79,80,797,1473,169
80,81,107,155,30
81,82,11,14,8
82,83,10,21,11
83,84,40,95,34
84,85,15,27,12
85,86,25,56,28
86,87,21,33,20
87,88,6,16,12
88,89,74,138,41
89,90,40,66,26
90,91,83,104,29
91,92,8,23,13
92,93,59,94,39
93,94,5,9,8
94,95,2,2,2
95,96,3,5,4
96,97,53,109,39
97,98,37,95,39
98,99,4,6,6
99,100,46,66,22
100,101,10,15,7
101,102,12,21,18
102,103,14,30,18
103,104,11,18,13
104,105,6,14,12
105,106,5,6,5
106,107,140,236,79
107,108,26,50,16
108,109,24,47,19
109,110,8,22,12
110,111,4,12,10
111,112,10,19,10
112,113,87,129,20
113,114,8,17,12
114,115,11,25,15
115,116,30,45,19
116,117,3,5,3
117,118,15,28,15
118,119,16,34,18
119,120,104,206,48
120,121,5,8,6
121,122,10,12,10
122,123,15,26,21
123,124,7,11,11
124,125,8,19,13
125,126,18,43,17
126,127,4,5,5
127,128,7,14,10
128,129,60,118,45
129,130,48,101,35
130,131,10,16,11
131,132,23,41,17
132,133,4,11,7
133,134,2,4,3
134,135,111,237,69
135,136,6,13,9
136,137,17,26,19
137,138,5,14,11
138,139,14,31,15
139,140,13,33,18
140,141,9,19,10
141,142,8,11,7
142,143,33,69,30
143,144,41,104,23
144,145,11,24,17
145,146,15,37,18
146,147,3,4,3
147,148,2,5,5
148,149,687,1307,112
149,150,39,82,37
150,151,8,21,15
151,152,9,24,16
152,153,2,6,4
153,154,23,56,26
154,155,9,19,13
155,156,5,0,0
156,157,6,6,4
157,158,6,6,6
158,159,4,8,6
159,160,4,11,10
160,161,3,6,4
161,162,3,8,6
162,163,5,11,9
163,164,19,41,18
164,165,28,72,28
165,166,12,26,15
166,167,5,7,2
167,168,4,11,6
168,169,8,13,10
169,170,8,20,9
170,171,4,10,7
171,172,4,9,8
172,173,38,24,8
173,174,15,36,14
174,175,13,33,18
175,176,3,9,8
176,177,5,11,5
177,178,5,14,9
178,179,2,6,6
179,180,9,20,13
180,181,57,97,40
181,182,200,520,52
182,183,85,145,40
183,184,42,102,22
184,185,36,73,20
185,186,11,31,14
186,187,2,4,3
187,188,5,9,6
188,189,2,4,2
189,190,40,99,41
190,191,47,94,22
191,192,34,76,13
192,193,3,8,6
193,194,23,58,18
194,195,5,9,8
195,196,81,225,42
196,197,2,3,3
197,198,7,12,9
198,199,15,43,19
199,200,51,117,44
200,201,17,43,19
201,202,5,6,5
202,203,5,15,11
203,204,6,10,5
204,205,5,12,9
205,206,26,68,20
206,207,6,13,9
207,208,61,144,30
208,209,344,703,130
209,210,5,12,9
210,211,2,5,5
211,212,4,8,6
212,213,9,24,19
213,214,2,6,6
214,215,6,16,12
215,216,4,5,4
216,217,3,7,7
217,218,7,17,7
218,219,2,5,5
219,220,9,24,13
220,221,3,5,5
221,222,3,6,4
222,223,8,23,12
223,224,7,17,15
224,225,2,3,2
225,226,3,7,7
226,227,1,2,2
227,228,1,2,2
228,229,4,6,5
229,230,4,8,6
230,231,73,201,37
231,232,2,4,4
232,233,1,2,2
233,234,2,4,3
234,235,2,3,2
235,236,7,21,11
236,237,8,26,9
237,238,1,2,2
238,239,1,1,1
239,240,1,4,4
240,241,3,9,6
241,242,1,3,3
242,243,1,3,3
243,244,1,3,3
244,245,2,8,7
245,246,1,4,4
246,247,1,4,4
247,248,1,2,2
248,249,1,4,4
