,tag,ct,cotag,cotag_u
0,1,21679,51870,1950
1,2,1230,2661,676
2,3,1659,4037,348
3,4,261,658,212
4,5,99,255,107
5,6,178,380,151
6,7,1135,2679,442
7,8,232,537,187
8,9,551,1381,327
9,10,336,753,232
10,11,7873,18159,942
11,12,4196,9647,1045
12,13,1655,3903,737
13,14,900,1868,254
14,15,2141,5424,663
15,16,652,1654,448
16,17,391,1031,282
17,18,422,925,191
18,19,2109,5556,576
19,20,4866,11886,800
20,21,1740,3985,505
21,22,113,289,110
22,23,1486,3517,450
23,24,1690,3848,642
24,25,358,727,217
25,26,90,185,86
26,27,263,458,141
27,28,116,291,121
28,29,1694,4006,359
29,30,175,446,99
30,31,1837,4648,690
31,32,475,1110,372
32,33,214,560,101
33,34,1193,2783,399
34,35,154,366,135
35,36,311,616,267
36,37,558,1292,335
37,38,370,912,236
38,39,599,1443,276
39,40,3029,6283,443
40,41,2796,6510,778
41,42,14260,29444,1122
42,43,18,35,23
43,44,1140,2418,295
44,45,526,1308,266
45,46,20,30,23
46,47,762,1915,256
47,48,946,2582,224
48,49,2158,4260,348
49,50,229,484,234
50,51,132,328,165
51,52,1374,2071,349
52,53,397,659,207
53,54,50,119,54
54,55,21,59,27
55,56,205,508,227
56,57,709,1616,265
57,58,209,488,132
58,59,1064,2540,399
59,60,813,1840,350
60,61,866,2167,391
61,62,463,1180,345
62,63,232,497,196
63,64,53,149,78
64,65,497,1240,190
65,66,419,865,166
66,67,29,71,49
67,68,2524,5957,609
68,69,170,447,98
69,70,277,651,159
70,71,417,1083,236
71,72,387,920,199
72,73,469,972,225
73,74,754,1908,388
74,75,6,17,15
75,76,114,259,107
76,77,26,70,43
77,78,13,38,18
78,79,1360,3677,441
79,80,290,647,199
80,81,412,763,192
81,82,5024,10454,860
82,83,486,984,208
83,84,390,888,197
84,85,302,578,264
85,86,180,483,135
86,87,1483,2614,454
87,88,262,578,152
88,89,1294,3033,547
89,90,297,731,274
90,91,42,110,65
91,92,465,1065,250
92,93,3,0,0
93,94,40,86,56
94,95,642,1661,267
95,96,1710,3609,361
96,97,195,457,96
97,98,1840,3822,472
98,99,7262,17171,1456
99,100,764,1736,521
100,101,1084,2562,374
101,102,128,332,109
102,103,2465,5731,861
103,104,407,1029,294
104,105,8,18,10
105,106,386,967,232
106,107,42,103,58
107,108,10,25,22
108,109,22,61,39
109,110,938,1814,476
110,111,491,1314,317
111,112,90,254,89
112,113,38,79,53
113,114,20,59,39
114,115,680,1728,204
115,116,90,214,113
116,117,967,2254,457
117,118,66,179,97
118,119,764,1981,320
119,120,104,292,90
120,121,69,190,87
121,122,2941,6696,942
122,123,1511,3655,547
123,124,1145,2533,348
124,125,131,308,93
125,126,39,87,53
126,127,2768,6467,947
127,128,113,300,166
128,129,11,27,20
129,130,1481,3722,448
130,131,1085,2325,347
131,132,88,205,110
132,133,1003,2284,311
133,134,263,632,135
134,135,784,1429,286
135,136,947,2136,408
136,137,2903,6441,644
137,138,117,284,100
138,139,26,69,44
139,140,209,468,163
140,141,33,46,35
141,142,901,2040,345
142,143,23,37,24
143,144,108,293,149
144,145,855,2360,432
145,146,52,113,67
146,147,155,273,111
147,148,55,149,81
148,149,5159,9602,413
149,150,3489,8248,680
150,151,175,300,85
151,152,127,320,105
152,153,488,1079,352
153,154,196,463,164
154,155,24,71,35
155,156,275,602,147
156,157,1190,2006,363
157,158,703,1421,233
158,159,693,1139,268
159,160,59,133,73
160,161,8,15,11
161,162,105,266,94
162,163,302,760,257
163,164,11,26,22
164,165,458,1182,329
165,166,363,797,213
166,167,125,318,129
167,168,526,1426,365
168,169,488,930,158
169,170,211,429,121
170,171,612,1320,231
171,172,1410,2750,366
172,173,17,34,24
173,174,19,38,30
174,175,36,94,32
175,176,777,1170,249
176,177,168,423,170
177,178,326,726,167
178,179,46,78,52
179,180,6,13,9
180,181,897,1928,278
181,182,450,1102,189
182,183,62,161,90
183,184,166,384,154
184,185,8,12,5
185,186,291,644,186
186,187,526,1031,310
187,188,283,594,235
188,189,24,52,32
189,190,254,497,174
190,191,1169,2642,501
191,192,168,371,168
192,193,54,113,43
193,194,593,1246,298
194,195,470,1082,218
195,196,351,656,161
196,197,1287,3175,471
197,198,1062,2546,281
198,199,416,1179,189
199,200,237,593,175
200,201,2533,6013,734
201,202,108,264,130
202,203,244,591,161
203,204,117,218,118
204,205,423,961,263
205,206,71,179,86
206,207,54,140,65
207,208,9107,20679,1568
208,209,236,509,117
209,210,398,1054,361
210,211,120,253,88
211,212,1926,4620,634
212,213,186,413,147
213,214,755,1744,372
214,215,9,18,15
215,216,711,1669,357
216,217,959,2052,382
217,218,292,685,218
218,219,169,420,149
219,220,117,237,81
220,221,569,1411,324
221,222,783,1601,200
222,223,789,1809,293
223,224,32,89,32
224,225,86,188,79
225,226,1131,2805,408
226,227,77,200,127
227,228,365,973,280
228,229,505,1262,329
229,230,799,1928,304
230,231,738,1639,277
231,232,289,763,182
232,233,169,446,142
233,234,1324,2758,412
234,235,532,834,263
235,236,322,597,162
236,237,582,1274,242
237,238,728,1669,175
238,239,293,651,211
239,240,89,223,88
240,241,57,135,65
241,242,104,251,90
242,243,12,30,27
243,244,362,837,184
244,245,1523,3147,472
245,246,4080,8425,371
246,247,434,1090,236
247,248,160,327,137
248,249,1045,2515,659
249,250,47,103,69
250,251,319,810,237
251,252,426,1018,259
252,253,93,210,81
253,254,453,1069,156
254,255,70,183,99
255,256,80,202,79
256,257,118,325,70
257,258,244,653,203
258,259,59,151,93
259,260,656,1463,314
260,261,4308,8943,375
261,262,947,2204,303
262,263,520,1163,248
263,264,26,66,48
264,265,58,147,88
265,266,13,30,24
266,267,62,143,74
267,268,420,928,190
268,269,377,911,208
269,270,67,155,78
270,271,291,735,183
271,272,114,278,119
272,273,53,134,79
273,274,9,20,16
274,275,324,535,153
275,276,386,866,175
276,277,355,710,205
277,278,30,74,35
278,279,29,92,53
279,280,24,53,40
280,281,101,226,116
281,282,97,211,81
282,283,128,269,96
283,284,245,533,167
284,285,13,28,22
285,286,7,17,11
286,287,12,37,26
287,288,92,221,68
288,289,275,661,105
289,290,32,86,45
290,291,120,276,113
291,292,370,778,192
292,293,191,513,189
293,294,91,220,115
294,295,33,74,45
295,296,527,1315,240
296,297,184,420,148
297,298,329,777,118
298,299,1014,2059,329
299,300,219,503,104
300,301,848,2203,187
301,302,229,554,182
302,303,36,62,31
303,304,49,101,49
304,305,495,1167,247
305,306,23,62,32
306,307,178,439,115
307,308,197,467,193
308,309,746,1674,350
309,310,233,584,198
310,311,554,1183,206
311,312,30,77,48
312,313,187,411,179
313,314,50,84,50
314,315,65,172,61
315,316,388,924,198
316,317,72,162,72
317,318,373,812,145
318,319,181,431,137
319,320,251,460,115
320,321,266,577,178
321,322,406,947,177
322,323,5753,12753,1181
323,324,153,334,153
324,325,52,131,49
325,326,6,20,15
326,327,428,898,302
327,328,359,850,220
328,329,28,74,33
329,330,184,418,130
330,331,635,1376,285
331,332,188,465,177
332,333,145,279,109
333,334,716,1772,338
334,335,89,235,75
335,336,88,241,112
336,337,228,508,211
337,338,700,1527,327
338,339,110,264,100
339,340,150,369,127
340,341,354,713,193
341,342,51,105,37
342,343,70,174,97
343,344,12,25,19
344,345,620,1403,359
345,346,67,140,85
346,347,151,420,109
347,348,381,830,171
348,349,30,66,43
349,350,1282,3523,512
350,351,96,204,95
351,352,33,83,51
352,353,275,638,178
353,354,147,365,110
354,355,750,1469,313
355,356,169,370,102
356,357,533,957,159
357,358,2174,5304,584
358,359,308,808,284
359,360,595,1091,298
360,361,26,44,30
361,362,49,118,67
362,363,61,157,60
363,364,173,464,129
364,365,153,402,127
365,366,2,7,5
366,367,73,185,79
367,368,232,585,191
368,369,243,602,169
369,370,34,58,28
370,371,450,1091,272
371,372,102,253,93
372,373,221,476,158
373,374,5,10,9
374,375,225,454,121
375,376,71,163,75
376,377,14,39,32
377,378,51,120,54
378,379,139,343,158
379,380,335,687,205
380,381,8,24,16
381,382,19,49,34
382,383,130,284,65
383,384,290,717,179
384,385,410,900,185
385,386,64,166,64
386,387,265,675,187
387,388,19,48,33
388,389,495,1050,211
389,390,107,296,99
390,391,235,463,131
391,392,514,1210,170
392,393,179,377,94
393,394,41,98,40
394,395,668,1604,227
395,396,170,428,137
396,397,127,273,118
397,398,23,52,27
398,399,126,293,104
399,400,444,1035,215
400,401,78,169,92
401,402,35,75,28
402,403,83,160,93
403,404,47,115,63
404,405,93,233,125
405,406,403,838,205
406,407,11,26,21
407,408,139,383,133
408,409,31,69,40
409,410,16,39,19
410,411,884,2233,338
411,412,73,194,67
412,413,4,12,7
413,414,927,2048,254
414,415,585,1526,298
415,416,651,1298,289
416,417,1279,2912,623
417,418,6,11,8
418,419,335,606,283
419,420,65,143,84
420,421,3,10,7
421,422,4,12,8
422,423,62,145,76
423,424,334,713,153
424,425,26,59,44
425,426,49,90,47
426,427,16,32,18
427,428,211,559,218
428,429,67,170,73
429,430,13,36,20
430,431,353,924,200
431,432,156,382,195
432,433,66,172,79
433,434,37,77,45
434,435,510,1194,260
435,436,275,727,141
436,437,264,486,206
437,438,32,70,46
