,tag,ct,cotag,cotag_u
0,1,233,452,97
1,2,31,88,28
2,3,12,36,21
3,4,4,12,7
4,5,13,22,11
5,6,70,154,51
6,7,11,27,15
7,8,4,9,5
8,9,3,4,3
9,10,18,37,23
10,11,9,24,11
11,12,3,8,7
12,13,49,131,45
13,14,21,39,17
14,15,22,36,26
15,16,6,13,8
16,17,8,17,10
17,18,4,9,9
18,19,17,35,16
19,20,5,10,5
20,21,28,63,20
21,22,29,75,26
22,23,14,27,14
23,24,16,41,13
24,25,12,22,17
25,26,14,30,17
26,27,5,9,6
27,28,24,59,24
28,29,16,42,18
29,30,11,25,11
30,31,8,19,13
31,32,39,81,26
32,33,13,32,16
33,34,37,88,31
34,35,25,58,18
35,36,9,24,18
36,37,9,16,13
37,38,8,13,8
38,39,2,5,5
39,40,8,17,7
40,41,24,71,27
41,42,29,83,29
42,43,9,16,8
43,44,13,37,13
44,45,31,56,23
45,46,3,4,4
46,47,7,11,6
47,48,10,25,8
48,49,6,19,10
49,50,9,20,10
50,51,9,20,12
51,52,4,9,6
52,53,9,18,11
53,54,6,14,9
54,55,4,9,6
55,56,4,8,5
56,57,3,7,5
57,58,5,13,7
58,59,4,10,5
59,60,4,6,5
60,61,1,3,3
61,62,7,17,11
62,63,3,7,7
63,64,3,6,6
64,65,4,13,9
65,66,5,9,5
66,67,3,6,4
67,68,5,11,9
68,69,5,5,5
69,70,4,7,7
70,71,4,9,6
71,72,2,6,5
72,73,3,7,5
73,74,5,10,7
74,75,1,3,3
75,76,7,13,11
76,77,8,22,15
77,78,7,15,9
78,79,5,14,9
79,80,4,7,5
80,81,2,7,4
81,82,4,13,7
82,83,2,6,4
83,84,14,34,12
84,85,8,9,6
85,86,3,6,6
86,87,3,5,3
87,88,5,7,5
88,89,4,5,4
89,90,7,19,13
90,91,3,9,6
91,92,4,8,7
92,93,3,7,6
93,94,3,7,3
94,95,2,5,4
95,96,3,9,5
96,97,4,9,7
97,98,3,8,5
98,99,8,11,4
99,100,6,15,11
100,101,7,22,11
101,102,1,1,1
102,103,3,9,6
103,104,3,7,4
104,105,3,5,3
105,106,1,4,4
106,107,2,1,1
107,108,4,9,8
108,109,1,3,3
109,110,2,7,7
110,111,3,9,5
111,112,1,2,2
112,113,5,11,9
113,114,2,6,5
114,115,1,3,3
115,116,1,1,1
116,117,1,3,3
117,118,2,7,6
