,tag,ct,cotag,cotag_u
0,1,210,393,104
1,2,52,76,32
2,3,42,83,34
3,4,26,47,20
4,5,21,34,20
5,6,15,22,15
6,7,75,132,56
7,8,32,59,24
8,9,302,415,85
9,10,23,48,24
10,11,87,142,58
11,12,8,12,10
12,13,211,314,74
13,14,114,157,45
14,15,24,61,26
15,16,34,75,36
16,17,31,52,27
17,18,15,35,26
18,19,87,134,45
19,20,17,34,23
20,21,86,120,49
21,22,3,7,3
22,23,101,187,70
23,24,113,189,59
24,25,16,36,24
25,26,43,82,31
26,27,24,44,34
27,28,8,19,15
28,29,37,65,32
29,30,32,45,22
30,31,17,25,17
31,32,31,62,29
32,33,32,48,23
33,34,28,44,30
34,35,20,34,28
35,36,22,39,20
36,37,9,14,9
37,38,93,163,68
38,39,5,9,7
39,40,5,9,6
40,41,26,45,22
41,42,29,34,22
42,43,23,46,29
43,44,33,61,27
44,45,4,6,4
45,46,23,31,15
46,47,50,68,36
47,48,85,173,53
48,49,43,70,27
49,50,6,9,7
50,51,128,231,67
51,52,16,20,15
52,53,11,22,15
53,54,39,65,41
54,55,17,39,20
55,56,28,60,35
56,57,172,300,88
57,58,9,14,9
58,59,6,6,4
59,60,1,1,1
60,61,12,21,14
61,62,37,78,38
62,63,117,222,60
63,64,35,73,30
64,65,15,38,21
65,66,6,11,8
66,67,10,17,10
67,68,4,5,5
68,69,5,9,8
69,70,13,20,14
70,71,2,4,3
71,72,11,23,19
72,73,6,13,9
73,74,5,4,3
74,75,25,44,29
75,76,10,21,15
76,77,4,9,4
77,78,5,10,7
78,79,12,22,16
79,80,23,37,25
80,81,3,3,2
81,82,3,4,4
82,83,5,10,8
83,84,7,12,10
84,85,27,41,24
85,86,10,18,15
86,87,57,126,55
87,88,69,115,51
88,89,30,30,16
89,90,7,8,7
90,91,3,8,8
91,92,5,6,6
92,93,17,36,21
93,94,41,82,37
94,95,7,10,5
95,96,37,46,29
96,97,3,3,1
97,98,13,24,17
98,99,9,16,13
99,100,4,2,2
100,101,25,36,23
101,102,9,16,13
102,103,13,19,14
103,104,4,8,8
104,105,4,7,5
105,106,3,7,6
106,107,3,1,1
107,108,27,57,38
108,109,72,111,53
109,110,5,8,7
110,111,22,42,31
111,112,28,33,18
112,113,10,19,16
113,114,24,43,32
114,115,42,76,28
115,116,8,12,9
116,117,7,15,14
117,118,15,29,18
118,119,3,6,5
119,120,41,82,35
120,121,9,18,15
121,122,26,50,28
122,123,11,21,9
123,124,17,31,20
124,125,20,36,18
125,126,28,38,32
126,127,22,25,16
127,128,4,7,6
128,129,16,30,12
129,130,12,27,14
130,131,17,42,23
131,132,23,41,17
132,133,4,4,3
133,134,9,17,13
134,135,101,179,57
135,136,9,14,12
136,137,9,17,11
137,138,12,18,16
138,139,7,11,8
139,140,5,7,6
140,141,3,8,7
141,142,16,35,23
142,143,5,12,10
143,144,3,5,5
144,145,2,4,4
145,146,4,6,4
146,147,4,6,5
147,148,15,19,16
148,149,31,52,24
149,150,12,24,17
150,151,4,7,7
151,152,14,29,15
152,153,2,5,3
153,154,14,34,18
154,155,2,6,4
155,156,7,8,6
156,157,13,25,16
157,158,11,20,16
158,159,18,15,9
159,160,7,11,10
160,161,72,152,56
161,162,54,97,39
162,163,18,28,17
163,164,10,20,15
164,165,3,9,9
165,166,1,4,4
166,167,7,2,2
167,168,7,10,9
168,169,6,12,8
169,170,2,4,4
170,171,6,13,10
171,172,2,6,6
172,173,39,81,34
173,174,13,18,9
174,175,2,5,4
175,176,2,6,6
176,177,4,7,7
177,178,2,5,5
178,179,11,20,14
179,180,35,59,27
180,181,7,16,11
181,182,2,3,3
182,183,10,23,20
183,184,1,0,0
184,185,6,12,11
185,186,2,2,1
186,187,2,1,1
187,188,2,3,3
188,189,4,0,0
189,190,3,5,5
190,191,3,1,1
191,192,3,4,4
192,193,2,3,3
193,194,4,13,13
194,195,10,17,13
195,196,2,6,5
196,197,9,13,12
197,198,10,18,11
198,199,3,5,4
199,200,2,3,2
200,201,1,3,3
201,202,1,3,3
202,203,2,5,3
203,204,3,6,4
204,205,1,2,2
205,206,2,5,5
206,207,1,3,3
207,208,1,2,2
208,209,1,2,2
209,210,1,2,2
210,211,1,2,2
