,tag,ct,cotag,cotag_u
0,1,2291,4458,421
1,2,86,191,91
2,3,454,1028,138
3,4,8210,16135,506
4,5,8052,15196,670
5,6,48,101,40
6,7,51,66,24
7,8,3283,6991,528
8,9,13,25,12
9,10,2671,4133,315
10,11,496,909,204
11,12,7,18,11
12,13,817,1744,201
13,14,239,438,138
14,15,4805,9994,504
15,16,1531,3318,276
16,17,88,179,82
17,18,237,510,143
18,19,80,141,65
19,20,1920,3929,379
20,21,1084,2341,218
21,22,125,235,80
22,23,3512,6987,495
23,24,1229,2190,263
24,25,834,1545,293
25,26,440,926,239
26,27,783,1735,280
27,28,3002,6143,405
28,29,726,1374,246
29,30,127,265,101
30,31,1538,3175,330
31,32,85,198,71
32,33,465,703,182
33,34,41,73,37
34,35,211,470,115
35,36,79,152,74
36,37,2116,4384,389
37,38,93,181,58
38,39,1016,2158,281
39,40,446,794,211
40,41,240,452,143
41,42,21,42,27
42,43,23,46,30
43,44,108,187,75
44,45,1573,2446,320
45,46,345,660,149
46,47,304,605,160
47,48,16,29,20
48,49,1732,3489,406
49,50,1564,3493,373
50,51,127,251,93
51,52,206,435,144
52,53,67,128,77
53,54,30,83,42
54,55,53,115,48
55,56,1491,3178,353
56,57,376,817,173
57,58,253,509,118
58,59,27,44,34
59,60,245,495,113
60,61,255,547,131
61,62,49,95,43
62,63,71,165,87
63,64,247,451,147
64,65,4567,8957,558
65,66,495,933,227
66,67,94,183,74
67,68,43,77,51
68,69,435,788,179
69,70,665,1329,274
70,71,482,925,204
71,72,62,109,60
72,73,522,1051,239
73,74,85,149,58
74,75,66,144,68
75,76,697,1406,237
76,77,1676,3455,340
77,78,1833,3014,332
78,79,100,183,88
79,80,1525,2761,227
80,81,452,887,193
81,82,1327,2439,273
82,83,43,57,34
83,84,437,847,212
84,85,145,298,118
85,86,240,526,159
86,87,1874,3818,331
87,88,1697,3651,353
88,89,137,312,103
89,90,71,120,56
90,91,34,63,45
91,92,62,114,35
92,93,87,164,64
93,94,54,97,44
94,95,2418,4678,388
95,96,385,653,142
96,97,441,898,155
97,98,2494,4047,426
98,99,950,1799,205
99,100,25,53,39
100,101,171,385,157
101,102,156,261,102
102,103,12,22,13
103,104,7,10,10
104,105,1723,3365,337
105,106,660,1120,179
106,107,189,378,109
107,108,90,197,65
108,109,361,728,160
109,110,3606,6607,382
110,111,105,214,74
111,112,835,1913,256
112,113,231,385,131
113,114,3602,7627,345
114,115,310,695,181
115,116,6,12,11
116,117,694,1289,184
117,118,31,58,43
118,119,17,37,30
119,120,49,86,39
120,121,2227,4764,394
121,122,151,320,91
122,123,184,381,111
123,124,2487,4586,321
124,125,162,313,108
125,126,57,102,49
126,127,35,66,40
127,128,20,46,27
128,129,867,1738,247
129,130,566,1205,157
130,131,1151,2428,294
131,132,411,833,197
132,133,1428,2766,267
133,134,1562,3449,257
134,135,305,601,146
135,136,571,1080,192
136,137,243,466,125
137,138,35,72,28
138,139,6921,14783,622
139,140,29,67,32
140,141,65,115,41
141,142,135,227,86
142,143,67,139,67
143,144,12,22,19
144,145,496,756,176
145,146,77,161,64
146,147,1046,1936,246
147,148,223,532,104
148,149,644,1163,165
149,150,88,164,63
150,151,16,39,28
151,152,84,167,85
152,153,306,555,144
153,154,138,265,99
154,155,176,351,108
155,156,127,256,82
156,157,103,241,106
157,158,50,111,63
158,159,45,93,58
159,160,12,24,17
160,161,952,1749,236
161,162,11,29,20
162,163,551,814,157
163,164,124,188,67
164,165,6,14,10
165,166,1401,2467,269
166,167,50,102,50
167,168,64,152,87
168,169,301,547,128
169,170,105,158,85
170,171,216,368,101
171,172,4344,8544,375
172,173,662,1303,194
173,174,156,248,75
174,175,74,128,50
175,176,112,193,83
176,177,163,345,147
177,178,320,683,177
178,179,1533,3138,308
179,180,1098,2468,271
180,181,229,473,131
181,182,1617,3372,230
182,183,9,21,18
183,184,30,57,31
184,185,33,71,40
185,186,67,98,59
186,187,12,17,12
187,188,10,11,6
188,189,13,20,16
189,190,21,55,32
190,191,197,449,95
191,192,141,254,76
192,193,160,297,118
193,194,32,72,48
194,195,118,170,83
195,196,30,61,40
196,197,164,330,91
197,198,424,890,177
198,199,105,204,79
199,200,18,26,16
200,201,38,72,45
201,202,209,421,105
202,203,26,59,36
203,204,86,181,63
204,205,197,384,120
205,206,127,222,83
206,207,28,51,32
207,208,24,47,34
208,209,345,733,103
209,210,302,614,164
210,211,995,2034,253
211,212,840,1529,164
212,213,4173,9242,521
213,214,1173,2518,282
214,215,163,313,106
215,216,63,128,44
216,217,383,784,124
217,218,1049,2024,240
218,219,27,64,39
219,220,135,330,113
220,221,1329,2144,260
221,222,299,497,147
222,223,99,194,62
223,224,2041,3223,335
224,225,152,319,96
225,226,19,35,22
226,227,93,127,63
227,228,15,20,17
228,229,17,25,21
229,230,64,154,78
230,231,1197,2517,274
231,232,51,106,69
232,233,20,31,17
233,234,2766,5680,339
234,235,143,238,110
235,236,72,143,62
236,237,111,227,88
237,238,45,84,33
238,239,171,310,101
239,240,286,527,148
240,241,469,899,215
241,242,35,75,47
242,243,35,80,50
243,244,72,129,58
244,245,1949,3929,360
245,246,218,262,111
246,247,89,125,59
247,248,27,39,29
248,249,28,52,36
249,250,109,225,46
250,251,226,310,93
251,252,10,16,9
252,253,7,6,6
253,254,35,54,27
254,255,13,28,18
255,256,757,1506,198
256,257,529,1047,158
257,258,87,155,65
258,259,53,105,63
259,260,20,47,30
260,261,41,85,32
261,262,305,651,104
262,263,75,160,73
263,264,184,414,132
264,265,53,112,40
265,266,111,182,92
266,267,144,337,69
267,268,25,52,17
268,269,49,91,33
269,270,74,139,60
270,271,75,151,65
271,272,89,175,74
272,273,23,48,33
273,274,165,305,86
274,275,43,82,39
275,276,78,173,84
276,277,28,57,41
277,278,111,217,75
278,279,20,32,21
279,280,38,55,28
280,281,40,81,44
281,282,28,56,33
282,283,220,402,101
283,284,774,1792,196
284,285,480,1102,215
285,286,70,141,70
286,287,925,1737,247
287,288,28,48,26
288,289,56,115,43
289,290,290,588,134
290,291,9,14,12
291,292,747,1702,162
292,293,420,741,142
293,294,258,584,139
294,295,464,871,158
295,296,118,253,91
296,297,83,167,51
297,298,60,123,62
298,299,92,229,61
299,300,14,28,20
300,301,74,137,58
301,302,113,226,102
302,303,33,63,36
303,304,8,14,11
304,305,129,296,96
305,306,131,324,71
306,307,167,380,84
307,308,345,584,131
308,309,51,92,35
309,310,714,1360,225
310,311,43,102,48
311,312,732,1504,215
312,313,60,122,51
313,314,568,1231,204
314,315,103,212,81
315,316,91,149,58
316,317,21,39,20
317,318,62,114,45
318,319,10,15,7
319,320,178,349,125
320,321,15,34,19
321,322,164,339,72
322,323,213,451,70
323,324,48,97,32
324,325,89,168,73
325,326,76,154,40
326,327,207,421,168
327,328,119,285,106
328,329,156,343,106
