,tag,ct,cotag,cotag_u
0,1,140,250,102
1,2,1106,2208,213
2,3,49,108,39
3,4,31,78,33
4,5,467,780,127
5,6,460,1004,162
6,7,43,89,35
7,8,335,718,122
8,9,189,357,107
9,10,136,291,95
10,11,27,72,28
11,12,82,143,59
12,13,6,8,5
13,14,166,337,90
14,15,58,117,50
15,16,44,76,48
16,17,13,26,20
17,18,271,493,124
18,19,103,136,64
19,20,11,20,16
20,21,23,46,28
21,22,27,45,33
22,23,5,7,6
23,24,10,22,20
24,25,13,27,23
25,26,51,95,47
26,27,4,6,5
27,28,25,48,26
28,29,43,87,46
29,30,5,8,6
30,31,68,115,46
31,32,892,1533,192
32,33,171,312,72
33,34,45,106,37
34,35,42,85,37
35,36,62,98,41
36,37,9,17,12
37,38,211,363,83
38,39,74,135,38
39,40,27,49,30
40,41,93,183,53
41,42,64,102,40
42,43,5,12,7
43,44,3,5,3
44,45,5,11,11
45,46,4,6,6
46,47,484,1040,178
47,48,10,13,13
48,49,7,17,13
49,50,161,300,85
50,51,12,17,12
51,52,83,136,59
52,53,100,208,71
53,54,105,171,56
54,55,453,914,122
55,56,97,160,65
56,57,33,71,43
57,58,14,22,17
58,59,42,100,42
59,60,16,32,18
60,61,157,283,104
61,62,9,19,14
62,63,201,348,92
63,64,129,245,80
64,65,24,39,16
65,66,39,87,34
66,67,25,53,33
67,68,174,250,76
68,69,15,28,19
69,70,14,24,18
70,71,57,118,55
71,72,35,71,35
72,73,3,4,4
73,74,11,24,16
74,75,5,8,6
75,76,37,64,33
76,77,42,94,40
77,78,30,61,35
78,79,24,38,31
79,80,16,32,16
80,81,238,401,83
81,82,29,46,25
82,83,26,50,19
83,84,9,16,13
84,85,23,52,30
85,86,24,48,29
86,87,4,8,6
87,88,8,20,12
88,89,255,565,114
89,90,20,47,26
90,91,14,30,21
91,92,25,52,24
92,93,15,31,23
93,94,29,55,29
94,95,19,33,22
95,96,55,119,56
96,97,28,70,39
97,98,73,160,68
98,99,63,125,51
99,100,33,61,33
100,101,6,8,5
101,102,107,233,71
102,103,34,69,35
103,104,11,6,6
104,105,29,49,25
105,106,1122,2007,201
106,107,60,101,49
107,108,50,89,36
108,109,30,60,27
109,110,9,10,9
110,111,5,9,9
111,112,10,17,13
112,113,337,636,100
113,114,18,41,27
114,115,32,56,31
115,116,55,75,39
116,117,21,39,21
117,118,73,113,43
118,119,330,562,123
119,120,3,3,2
120,121,14,22,20
121,122,25,50,26
122,123,23,52,34
123,124,11,33,19
124,125,83,120,58
125,126,13,35,21
126,127,228,461,102
127,128,5,8,7
128,129,16,37,32
129,130,117,221,63
130,131,6,11,7
131,132,52,104,54
132,133,210,321,82
133,134,205,315,57
134,135,25,41,19
135,136,11,14,10
136,137,43,60,35
137,138,13,34,17
138,139,13,21,13
139,140,47,88,36
140,141,17,30,16
141,142,121,172,57
142,143,33,46,27
143,144,11,26,12
144,145,247,406,97
145,146,242,422,98
146,147,20,31,18
147,148,18,44,32
148,149,59,99,40
149,150,37,76,34
150,151,10,22,15
151,152,18,33,25
152,153,50,71,32
153,154,35,56,26
154,155,16,28,22
155,156,87,120,43
156,157,27,57,31
157,158,28,65,33
158,159,16,24,17
159,160,33,71,28
160,161,10,19,14
161,162,38,78,30
162,163,2,4,2
163,164,22,46,33
164,165,7,19,15
165,166,7,25,22
166,167,18,44,20
167,168,36,92,61
168,169,275,437,81
169,170,39,78,42
170,171,27,48,31
171,172,2,1,1
172,173,9,17,12
173,174,21,37,22
174,175,2,0,0
175,176,25,59,35
176,177,21,47,25
177,178,17,30,22
178,179,29,65,40
179,180,12,21,16
180,181,25,60,31
181,182,20,34,16
182,183,8,11,8
183,184,69,106,26
184,185,136,291,94
185,186,21,30,15
186,187,13,29,22
187,188,19,24,14
188,189,6,12,7
189,190,23,39,23
190,191,20,42,29
191,192,9,7,6
192,193,24,56,21
193,194,15,34,18
194,195,92,129,50
195,196,4,7,3
196,197,14,31,20
197,198,5,11,9
198,199,20,36,22
199,200,15,24,17
200,201,4,7,7
201,202,3,10,8
202,203,2,6,5
203,204,10,16,9
204,205,18,21,15
205,206,24,54,30
206,207,10,21,16
207,208,9,15,12
208,209,25,47,26
209,210,26,37,20
210,211,4,10,8
211,212,29,61,17
212,213,52,59,27
213,214,8,9,7
214,215,10,24,13
215,216,11,28,12
216,217,6,15,12
217,218,7,8,5
218,219,44,63,15
219,220,4,4,3
220,221,9,24,20
221,222,18,23,14
222,223,9,17,15
223,224,17,34,23
224,225,5,10,8
225,226,20,43,22
226,227,2,3,2
227,228,12,24,20
228,229,5,17,15
229,230,5,13,7
230,231,88,205,65
231,232,2,3,3
232,233,21,49,26
233,234,12,27,16
234,235,7,16,10
235,236,16,28,10
236,237,44,95,43
237,238,14,24,18
238,239,2,4,2
239,240,4,9,6
240,241,8,20,16
241,242,12,23,18
242,243,14,33,22
243,244,23,55,31
244,245,10,19,14
245,246,9,28,24
246,247,7,15,12
247,248,2,5,4
248,249,4,2,2
249,250,21,35,27
250,251,12,29,19
251,252,7,13,8
252,253,1,2,2
253,254,21,47,22
254,255,12,26,15
255,256,2,6,4
256,257,6,16,12
257,258,32,67,32
258,259,13,28,15
259,260,77,135,60
260,261,7,15,15
261,262,5,8,6
262,263,12,31,11
263,264,20,37,15
264,265,10,21,10
265,266,3,5,4
266,267,12,28,20
267,268,2,2,2
268,269,8,17,16
269,270,2,4,4
270,271,2,3,3
271,272,22,44,27
272,273,23,56,20
273,274,6,11,10
274,275,10,20,14
275,276,22,39,18
276,277,11,21,19
277,278,2,6,5
278,279,13,27,19
279,280,4,12,9
280,281,27,56,26
281,282,6,10,9
282,283,5,8,5
283,284,2,6,5
284,285,5,3,3
285,286,5,15,11
286,287,5,5,4
287,288,12,31,20
288,289,3,3,3
289,290,15,27,18
290,291,2,4,4
291,292,2,1,1
292,293,2,4,4
293,294,4,8,6
294,295,2,3,3
295,296,10,21,19
296,297,1,2,2
297,298,18,50,31
298,299,1,3,3
299,300,1,3,3
300,301,2,3,3
301,302,2,6,6
302,303,1,3,3
303,304,7,16,11
304,305,5,14,13
305,306,2,4,3
306,307,3,1,1
307,308,2,7,5
308,309,1,2,2
309,310,2,4,4
310,311,1,1,1
311,312,1,3,3
312,313,4,8,6
313,314,1,3,3
314,315,2,4,4
315,316,2,5,5
316,317,1,3,3
317,318,1,4,4
318,319,1,4,4
319,320,1,4,4
320,321,1,2,2
321,322,3,7,6
322,323,2,4,4
323,324,2,4,4
324,325,1,1,1
325,326,1,3,3
326,327,1,3,3
327,328,1,2,2
328,329,2,0,0
329,330,1,2,2
330,331,1,2,2
